Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.003222e+01 +7.137500e+04 -3.752458e-01 +3.647997e+02 +5.569998e+04 +5.570118e+04 -1.564247e+00 +7.137347e+04 -4.674511e+02
+4.192663e+01 +7.062500e+04 -3.926991e-01 +3.683881e+02 +5.374790e+04 +5.374916e+04 -1.563942e+00 +7.062334e+04 -4.840523e+02
+4.391069e+01 +6.975000e+04 -4.014257e-01 +3.640698e+02 +5.196309e+04 +5.196437e+04 -1.563790e+00 +6.974829e+04 -4.886785e+02
+4.598864e+01 +6.912500e+04 -4.101524e-01 +3.583878e+02 +5.006374e+04 +5.006502e+04 -1.563638e+00 +6.912323e+04 -4.948277e+02
+4.816493e+01 +6.825000e+04 -4.188790e-01 +3.539555e+02 +4.841444e+04 +4.841574e+04 -1.563486e+00 +6.824818e+04 -4.989589e+02
+5.044420e+01 +6.750000e+04 -4.450590e-01 +3.630744e+02 +4.674036e+04 +4.674177e+04 -1.563029e+00 +6.749796e+04 -5.243175e+02
+5.283133e+01 +6.662500e+04 -4.537856e-01 +3.581087e+02 +4.521450e+04 +4.521592e+04 -1.562876e+00 +6.662291e+04 -5.276680e+02
+5.533143e+01 +6.575000e+04 -4.625123e-01 +3.531412e+02 +4.374600e+04 +4.374742e+04 -1.562724e+00 +6.574786e+04 -5.307520e+02
+5.794984e+01 +6.500000e+04 -4.712389e-01 +3.475107e+02 +4.225128e+04 +4.225271e+04 -1.562572e+00 +6.499780e+04 -5.345975e+02
+6.069215e+01 +6.412500e+04 -4.886922e-01 +3.487930e+02 +4.089257e+04 +4.089406e+04 -1.562267e+00 +6.412267e+04 -5.469339e+02
+6.356424e+01 +6.312500e+04 -4.974188e-01 +3.443500e+02 +3.966336e+04 +3.966486e+04 -1.562115e+00 +6.312262e+04 -5.480189e+02
+6.657224e+01 +6.212500e+04 -5.061455e-01 +3.399442e+02 +3.848076e+04 +3.848226e+04 -1.561962e+00 +6.212258e+04 -5.487992e+02
+6.972259e+01 +6.137500e+04 -5.148721e-01 +3.342151e+02 +3.719098e+04 +3.719248e+04 -1.561810e+00 +6.137252e+04 -5.515215e+02
+7.302202e+01 +6.037500e+04 -5.323254e-01 +3.353957e+02 +3.609861e+04 +3.610016e+04 -1.561505e+00 +6.037239e+04 -5.609259e+02
+7.647758e+01 +5.937500e+04 -5.410521e-01 +3.309728e+02 +3.504798e+04 +3.504954e+04 -1.561353e+00 +5.937235e+04 -5.606781e+02
+8.009667e+01 +5.850000e+04 -5.497787e-01 +3.259181e+02 +3.396486e+04 +3.396642e+04 -1.561201e+00 +5.849731e+04 -5.613251e+02
+8.388702e+01 +5.737500e+04 -5.585054e-01 +3.223298e+02 +3.306603e+04 +3.306760e+04 -1.561049e+00 +5.737227e+04 -5.592687e+02
+8.785674e+01 +5.650000e+04 -5.759587e-01 +3.222982e+02 +3.206082e+04 +3.206244e+04 -1.560744e+00 +5.649715e+04 -5.679496e+02
