Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +4.775491e+00 +2.510534e+00 -1.966320e+09 -2.690869e+09 +3.332745e+09 +2.201855e+00 -3.855747e+00 +2.817540e+00
+1.778279e+01 +8.957607e-01 +2.436685e+00 -6.474089e+09 -7.610194e+09 +9.991440e+09 +2.275704e+00 -6.822753e-01 +5.804203e-01
+3.162278e+01 +2.062813e+00 +2.370769e+00 -1.699897e+09 -1.750182e+09 +2.439833e+09 +2.341620e+00 -1.479732e+00 +1.437217e+00
+5.623413e+01 +2.568439e+00 -1.047068e+00 +9.542214e+08 +5.510845e+08 +1.101922e+09 -5.237281e-01 +1.284507e+00 -2.224167e+00
+1.000000e+02 +6.773235e-01 +1.709449e+00 -2.327212e+09 -3.247576e+08 +2.349763e+09 +3.002940e+00 -9.361199e-02 +6.708233e-01
+1.778279e+02 +1.172066e+00 -3.054569e+00 +6.636760e+07 -7.607140e+08 +7.636036e+08 +1.483773e+00 -1.167631e+00 -1.018686e-01
+3.162278e+02 +2.946286e-01 +2.518318e+00 -9.970865e+08 -1.387030e+09 +1.708226e+09 +2.194071e+00 -2.392300e-01 +1.719739e-01
+5.623413e+02 +4.823040e-01 -2.831300e-01 +1.639333e+08 +5.634489e+08 +5.868124e+08 -1.287666e+00 +4.631014e-01 -1.347376e-01
+1.000000e+03 +8.710608e-01 +4.272249e-01 -7.570692e+07 +1.662914e+08 +1.827139e+08 -1.998021e+00 +7.927691e-01 +3.609212e-01
+1.778279e+03 +5.143354e-01 -4.754573e-01 +7.965213e+07 +1.547092e+08 +1.740098e+08 -1.095339e+00 +4.572871e-01 -2.354345e-01
+3.162278e+03 +5.010049e-01 +4.147100e-02 -4.164839e+06 +1.003702e+08 +1.004565e+08 -1.612267e+00 +5.005741e-01 +2.077122e-02
+5.623413e+03 +2.371094e+00 +2.220621e+00 -9.503597e+06 -7.222048e+06 +1.193634e+07 +2.491768e+00 -1.434623e+00 +1.887841e+00
+1.000000e+04 +1.465080e-01 +1.172963e+00 -1.001484e+08 +4.208648e+07 +1.086323e+08 -2.743760e+00 +5.676035e-02 +1.350661e-01
+1.778279e+04 +2.689365e-01 +3.113536e-01 -1.019494e+07 +3.167894e+07 +3.327901e+07 -1.882150e+00 +2.560060e-01 +8.238801e-02
+3.162278e+04 +3.704603e-01 -1.060276e+00 +1.185329e+07 +6.638347e+06 +1.358559e+07 -5.105206e-01 +1.810186e-01 -3.232230e-01
+5.623413e+04 +2.156032e-02 +1.157487e+00 -1.202165e+08 +5.272348e+07 +1.312698e+08 -2.728284e+00 +8.659530e-03 +1.974487e-02
+1.000000e+05 +6.149416e-02 +6.413484e-01 -1.548418e+07 +2.073843e+07 +2.588131e+07 -2.212145e+00 +4.927464e-02 +3.679051e-02
+1.778279e+05 +9.640936e-01 +2.524730e+00 -5.370176e+05 -7.572337e+05 +9.283269e+05 +2.187659e+00 -7.864085e-01 +5.577079e-01
+3.162278e+05 +5.006286e-02 -1.320238e+00 +9.739284e+06 +2.492638e+06 +1.005320e+07 -2.505581e-01 +1.241282e-02 -4.849961e-02
+5.623413e+05 +7.752409e-02 +2.650817e+00 -1.720639e+06 -3.219854e+06 +3.650761e+06 +2.061572e+00 -6.837375e-02 +3.653786e-02
+1.000000e+06 +1.856089e-02 +1.467414e+00 -8.528965e+06 +8.849010e+05 +8.574747e+06 -3.038210e+00 +1.915456e-03 +1.846179e-02
+1.778279e+06 +6.406990e-03 +2.729655e+00 -5.592993e+06 -1.280047e+07 +1.396903e+07 +1.982734e+00 -5.871025e-03 +2.565265e-03
+3.162278e+06 +4.005692e-02 -4.478525e-01 +5.440783e+05 +1.132531e+06 +1.256442e+06 -1.122944e+00 +3.610647e-02 -1.734588e-02
+5.623413e+06 +3.182065e-03 +2.969284e+00 -1.524988e+06 -8.762575e+06 +8.894285e+06 +1.743105e+00 -3.134944e-03 +5.455875e-04
+1.000000e+07 +1.506205e-03 -6.995371e-02 +7.385716e+05 +1.054078e+07 +1.056662e+07 -1.500843e+00 +1.502521e-03 -1.052787e-04
