Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +1.866151e+05 +8.691801e+01 -8.516177e+04 +4.585355e+03 +8.528513e+04 -3.087802e+00 +1.003336e+04 +1.863452e+05
+1.264855e+01 +2.571403e+05 +9.031445e+01 -4.893310e+04 -2.685535e+02 +4.893383e+04 +3.136105e+00 -1.411210e+03 +2.571364e+05
+1.599859e+01 +2.177928e+05 +8.076116e+01 -4.508419e+04 +7.333409e+03 +4.567672e+04 -2.980345e+00 +3.496669e+04 +2.149675e+05
+2.023590e+01 +1.697691e+05 +7.830384e+01 -4.536558e+04 +9.391593e+03 +4.632751e+04 -2.937456e+00 +3.441589e+04 +1.662441e+05
+2.559548e+01 +1.355574e+05 +7.548136e+01 -4.440570e+04 +1.149951e+04 +4.587052e+04 -2.888195e+00 +3.398355e+04 +1.312285e+05
+3.237458e+01 +1.093592e+05 +7.197141e+01 -4.274612e+04 +1.391264e+04 +4.495322e+04 -2.826934e+00 +3.384574e+04 +1.039899e+05
+4.094915e+01 +8.805662e+04 +6.764767e+01 -4.082164e+04 +1.678575e+04 +4.413806e+04 -2.751471e+00 +3.348803e+04 +8.144029e+04
+5.179475e+01 +7.132751e+04 +6.196791e+01 -3.802620e+04 +2.024622e+04 +4.308017e+04 -2.652340e+00 +3.352150e+04 +6.295968e+04
+6.551286e+01 +6.081084e+04 +5.686409e+01 -3.345286e+04 +2.183753e+04 +3.994961e+04 -2.563262e+00 +3.324084e+04 +5.092156e+04
+8.286428e+01 +5.200227e+04 +5.025066e+01 -2.839695e+04 +2.361694e+04 +3.693435e+04 -2.447836e+00 +3.325182e+04 +3.998190e+04
+1.048113e+02 +4.588451e+04 +4.368858e+01 -2.285911e+04 +2.393024e+04 +3.309374e+04 -2.333306e+00 +3.317932e+04 +3.169419e+04
+1.325711e+02 +4.138170e+04 +3.675778e+01 -1.736116e+04 +2.324283e+04 +2.901101e+04 -2.212341e+00 +3.315388e+04 +2.476419e+04
+1.676833e+02 +3.828204e+04 +3.055652e+01 -1.260464e+04 +2.135025e+04 +2.479335e+04 -2.104108e+00 +3.296574e+04 +1.946213e+04
+2.120951e+02 +3.641456e+04 +2.512255e+01 -8.748814e+03 +1.865760e+04 +2.060699e+04 -2.009267e+00 +3.296981e+04 +1.546001e+04
+2.682696e+02 +3.513016e+04 +2.043189e+01 -5.895364e+03 +1.582519e+04 +1.688763e+04 -1.927400e+00 +3.292004e+04 +1.226372e+04
+3.393222e+02 +3.433207e+04 +1.644151e+01 -3.866785e+03 +1.310316e+04 +1.366180e+04 -1.857755e+00 +3.292821e+04 +9.717223e+03
+4.291934e+02 +3.374501e+04 +1.308590e+01 -2.488033e+03 +1.070362e+04 +1.098898e+04 -1.799188e+00 +3.286871e+04 +7.640262e+03
+5.428675e+02 +3.343903e+04 +1.038065e+01 -1.579778e+03 +8.623933e+03 +8.767435e+03 -1.751973e+00 +3.289171e+04 +6.025280e+03
+6.866488e+02 +3.320514e+04 +8.187808e+00 -9.941364e+02 +6.909243e+03 +6.980398e+03 -1.713701e+00 +3.286666e+04 +4.729019e+03
+8.685114e+02 +3.308264e+04 +6.430459e+00 -6.203713e+02 +5.504318e+03 +5.539168e+03 -1.683029e+00 +3.287450e+04 +3.705163e+03
+1.098541e+03 +3.297815e+04 +5.122493e+00 -3.922451e+02 +4.375619e+03 +4.393165e+03 -1.660201e+00 +3.284644e+04 +2.944464e+03
+1.389495e+03 +3.287231e+04 +4.038517e+00 -2.453988e+02 +3.475786e+03 +3.484438e+03 -1.641282e+00 +3.279069e+04 +2.315101e+03
+1.757511e+03 +3.288795e+04 +3.123153e+00 -1.500171e+02 +2.749412e+03 +2.753502e+03 -1.625306e+00 +3.283910e+04 +1.791811e+03
+2.222996e+03 +3.283097e+04 +2.525074e+00 -9.607456e+01 +2.178591e+03 +2.180708e+03 -1.614867e+00 +3.279910e+04 +1.446421e+03
+2.811769e+03 +3.277360e+04 +1.970343e+00 -5.938133e+01 +1.726074e+03 +1.727096e+03 -1.605185e+00 +3.275423e+04 +1.126828e+03
+3.556480e+03 +3.271610e+04 +1.468311e+00 -3.504986e+01 +1.367400e+03 +1.367849e+03 -1.596423e+00 +3.270535e+04 +8.383194e+02
+4.498433e+03 +3.264867e+04 +1.147593e+00 -2.170350e+01 +1.083443e+03 +1.083661e+03 -1.590826e+00 +3.264213e+04 +6.538858e+02
+5.689866e+03 +3.259457e+04 +8.005092e-01 -1.198954e+01 +8.580853e+02 +8.581691e+02 -1.584768e+00 +3.259139e+04 +4.553809e+02
+7.196857e+03 +3.248053e+04 +4.603859e-01 -5.470775e+00 +6.808324e+02 +6.808543e+02 -1.578832e+00 +3.247948e+04 +2.609863e+02
+9.102982e+03 +3.241026e+04 +1.585068e-01 -1.492378e+00 +5.394514e+02 +5.394534e+02 -1.573563e+00 +3.241014e+04 +8.966177e+01
+1.151395e+04 +3.221779e+04 +1.875304e-01 -1.404262e+00 +4.290398e+02 +4.290421e+02 -1.574069e+00 +3.221762e+04 +1.054494e+02
+1.456348e+04 +3.211428e+04 +6.131911e-01 -3.641846e+00 +3.402763e+02 +3.402958e+02 -1.581499e+00 +3.211244e+04 +3.436870e+02
+1.842070e+04 +3.183458e+04 +1.291328e+00 -6.116347e+00 +2.713342e+02 +2.714031e+02 -1.593334e+00 +3.182650e+04 +7.174249e+02
+2.329952e+04 +3.172435e+04 +2.591816e+00 -9.736747e+00 +2.150978e+02 +2.153181e+02 -1.616032e+00 +3.169190e+04 +1.434585e+03
+2.947052e+04 +3.165355e+04 +3.882988e+00 -1.155369e+01 +1.702205e+02 +1.706121e+02 -1.638567e+00 +3.158089e+04 +2.143549e+03
+3.727594e+04 +3.170446e+04 +5.411333e+00 -1.270009e+01 +1.340699e+02 +1.346701e+02 -1.665242e+00 +3.156317e+04 +2.989897e+03
+4.714866e+04 +3.158499e+04 +7.546840e+00 -1.403641e+01 +1.059477e+02 +1.068735e+02 -1.702514e+00 +3.131140e+04 +4.148267e+03
+5.963623e+04 +3.186887e+04 +9.808185e+00 -1.426547e+01 +8.251797e+01 +8.374197e+01 -1.741981e+00 +3.140307e+04 +5.428872e+03
+7.543120e+04 +3.228509e+04 +1.262636e+01 -1.428570e+01 +6.377275e+01 +6.535323e+01 -1.791168e+00 +3.150432e+04 +7.057268e+03
+9.540955e+04 +3.294939e+04 +1.602505e+01 -1.397593e+01 +4.865954e+01 +5.062685e+01 -1.850486e+00 +3.166901e+04 +9.095932e+03
+1.206793e+05 +3.407882e+04 +1.921663e+01 -1.273751e+01 +3.654300e+01 +3.869929e+01 -1.906190e+00 +3.217998e+04 +1.121673e+04
+1.526418e+05 +3.669012e+04 +2.505434e+01 -1.203450e+01 +2.574429e+01 +2.841826e+01 -2.008077e+00 +3.323782e+04 +1.553745e+04
+1.930698e+05 +4.029425e+04 +2.601136e+01 -8.971834e+00 +1.838573e+01 +2.045798e+01 -2.024780e+00 +3.621273e+04 +1.767102e+04
+2.442053e+05 +4.282882e+04 +3.153779e+01 -7.959415e+00 +1.296938e+01 +1.521700e+01 -2.121235e+00 +3.650280e+04 +2.240208e+04
