Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +2.492489e+05 +8.280611e+01 -6.335116e+04 +7.996250e+03 +6.385381e+04 -3.016036e+00 +3.121281e+04 +2.472869e+05
+1.264855e+01 +2.543554e+05 +9.217619e+01 -4.943392e+04 -1.878485e+03 +4.946960e+04 +3.103611e+00 -9.658514e+03 +2.541719e+05
+1.599859e+01 +2.180040e+05 +8.112640e+01 -4.508630e+04 +7.039041e+03 +4.563247e+04 -2.986719e+00 +3.362823e+04 +2.153947e+05
+2.023590e+01 +1.697703e+05 +7.867360e+01 -4.542495e+04 +9.098571e+03 +4.632720e+04 -2.943910e+00 +3.334254e+04 +1.664639e+05
+2.559548e+01 +1.358073e+05 +7.572556e+01 -4.437251e+04 +1.128933e+04 +4.578612e+04 -2.892457e+00 +3.348555e+04 +1.316143e+05
+3.237458e+01 +1.093775e+05 +7.221297e+01 -4.279722e+04 +1.373000e+04 +4.494569e+04 -2.831150e+00 +3.341261e+04 +1.041491e+05
+4.094915e+01 +8.811534e+04 +6.806903e+01 -4.091670e+04 +1.647410e+04 +4.410864e+04 -2.758825e+00 +3.291013e+04 +8.173883e+04
+5.179475e+01 +7.136017e+04 +6.334285e+01 -3.848343e+04 +1.931910e+04 +4.306045e+04 -2.676338e+00 +3.201580e+04 +6.377509e+04
+6.551286e+01 +6.105827e+04 +5.750766e+01 -3.355949e+04 +2.137344e+04 +3.978773e+04 -2.574494e+00 +3.279970e+04 +5.150041e+04
+8.286428e+01 +5.213852e+04 +5.105112e+01 -2.864905e+04 +2.315725e+04 +3.683784e+04 -2.461807e+00 +3.277566e+04 +4.054850e+04
+1.048113e+02 +4.760675e+04 +4.412409e+01 -2.220683e+04 +2.289640e+04 +3.189653e+04 -2.340907e+00 +3.417373e+04 +3.314452e+04
+1.325711e+02 +4.273607e+04 +3.752297e+01 -1.711002e+04 +2.227971e+04 +2.809161e+04 -2.225696e+00 +3.389437e+04 +2.602966e+04
+1.676833e+02 +3.964729e+04 +3.090979e+01 -1.229748e+04 +2.053963e+04 +2.393960e+04 -2.110274e+00 +3.401647e+04 +2.036633e+04
+2.120951e+02 +3.737567e+04 +2.549837e+01 -8.642888e+03 +1.812152e+04 +2.007708e+04 -2.015827e+00 +3.373519e+04 +1.608968e+04
+2.682696e+02 +3.588924e+04 +2.046263e+01 -5.778984e+03 +1.548738e+04 +1.653044e+04 -1.927937e+00 +3.362464e+04 +1.254675e+04
+3.393222e+02 +3.483933e+04 +1.641444e+01 -3.804385e+03 +1.291418e+04 +1.346288e+04 -1.857282e+00 +3.341937e+04 +9.845008e+03
+4.291934e+02 +3.416271e+04 +1.302232e+01 -2.445880e+03 +1.057547e+04 +1.085462e+04 -1.798079e+00 +3.328412e+04 +7.697905e+03
+5.428675e+02 +3.362268e+04 +1.029722e+01 -1.558659e+03 +8.579107e+03 +8.719547e+03 -1.750517e+00 +3.308114e+04 +6.010207e+03
+6.866488e+02 +3.333877e+04 +8.106751e+00 -9.804152e+02 +6.882942e+03 +6.952417e+03 -1.712286e+00 +3.300562e+04 +4.701363e+03
+8.685114e+02 +3.308891e+04 +6.457218e+00 -6.228237e+02 +5.502984e+03 +5.538117e+03 -1.683496e+00 +3.287900e+04 +3.721222e+03
+1.098541e+03 +3.291271e+04 +5.102720e+00 -3.915119e+02 +4.384455e+03 +4.401900e+03 -1.659856e+00 +3.278227e+04 +2.927308e+03
+1.389495e+03 +3.282098e+04 +4.150824e+00 -2.526057e+02 +3.480733e+03 +3.489887e+03 -1.643242e+00 +3.273489e+04 +2.375655e+03
+1.757511e+03 +3.280640e+04 +3.333982e+00 -1.605311e+02 +2.755675e+03 +2.760347e+03 -1.628985e+00 +3.275087e+04 +1.907893e+03
+2.222996e+03 +3.286513e+04 +2.567641e+00 -9.759157e+01 +2.176255e+03 +2.178442e+03 -1.615610e+00 +3.283214e+04 +1.472318e+03
