Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.003222e+01 +3.875000e+04 -4.886922e-01 +8.750770e+02 +1.025942e+05 +1.025980e+05 -1.562267e+00 +3.874859e+04 -3.305059e+02
+4.192663e+01 +3.700000e+04 -4.625123e-01 +8.281792e+02 +1.025922e+05 +1.025955e+05 -1.562724e+00 +3.699879e+04 -2.986741e+02
+4.391069e+01 +3.600000e+04 -5.323254e-01 +9.353964e+02 +1.006766e+05 +1.006810e+05 -1.561505e+00 +3.599845e+04 -3.344651e+02
+4.598864e+01 +3.675000e+04 -5.410521e-01 +8.892465e+02 +9.416572e+04 +9.416992e+04 -1.561353e+00 +3.674836e+04 -3.470302e+02
+4.816493e+01 +3.662500e+04 -5.410521e-01 +8.519646e+02 +9.021780e+04 +9.022182e+04 -1.561353e+00 +3.662337e+04 -3.458499e+02
+5.044420e+01 +3.612500e+04 -5.410521e-01 +8.247285e+02 +8.733366e+04 +8.733756e+04 -1.561353e+00 +3.612339e+04 -3.411284e+02
+5.283133e+01 +3.512500e+04 -5.672320e-01 +8.490695e+02 +8.576122e+04 +8.576542e+04 -1.560896e+00 +3.512328e+04 -3.477341e+02
+5.533143e+01 +3.356250e+04 -5.759587e-01 +8.615000e+02 +8.569826e+04 +8.570259e+04 -1.560744e+00 +3.356080e+04 -3.373771e+02
+5.794984e+01 +3.262500e+04 -5.410521e-01 +7.949272e+02 +8.417789e+04 +8.418164e+04 -1.561353e+00 +3.262355e+04 -3.080779e+02
+6.069215e+01 +3.362500e+04 -5.585054e-01 +7.601917e+02 +7.798385e+04 +7.798756e+04 -1.561049e+00 +3.362340e+04 -3.277632e+02
+6.356424e+01 +3.193750e+04 -5.934119e-01 +8.119555e+02 +7.839404e+04 +7.839825e+04 -1.560439e+00 +3.193579e+04 -3.307705e+02
+6.657224e+01 +3.200000e+04 -5.672320e-01 +7.396189e+02 +7.470604e+04 +7.470970e+04 -1.560896e+00 +3.199843e+04 -3.167969e+02
+6.972259e+01 +3.075000e+04 -6.108652e-01 +7.914365e+02 +7.422955e+04 +7.423377e+04 -1.560135e+00 +3.074825e+04 -3.278383e+02
+7.302202e+01 +3.137500e+04 -6.108652e-01 +7.406229e+02 +6.946370e+04 +6.946765e+04 -1.560135e+00 +3.137322e+04 -3.345017e+02
+7.647758e+01 +2.956250e+04 -5.934119e-01 +7.290725e+02 +7.039171e+04 +7.039549e+04 -1.560439e+00 +2.956091e+04 -3.061731e+02
+8.009667e+01 +2.900000e+04 -6.283185e-01 +7.513741e+02 +6.851435e+04 +6.851847e+04 -1.559830e+00 +2.899826e+04 -3.180142e+02
+8.388702e+01 +2.931250e+04 -6.457718e-01 +7.294907e+02 +6.472095e+04 +6.472506e+04 -1.559525e+00 +2.931064e+04 -3.303696e+02
+8.785674e+01 +2.893750e+04 -6.457718e-01 +7.055557e+02 +6.259742e+04 +6.260140e+04 -1.559525e+00 +2.893566e+04 -3.261432e+02
+9.201432e+01 +2.837500e+04 -6.457718e-01 +6.870306e+02 +6.095387e+04 +6.095774e+04 -1.559525e+00 +2.837320e+04 -3.198034e+02
+9.636864e+01 +2.768750e+04 -6.457718e-01 +6.722765e+02 +5.964486e+04 +5.964865e+04 -1.559525e+00 +2.768574e+04 -3.120549e+02
+1.009290e+02 +2.718750e+04 -6.544985e-01 +6.625389e+02 +5.799712e+04 +5.800091e+04 -1.559373e+00 +2.718573e+04 -3.105602e+02
+1.057052e+02 +2.668750e+04 -6.806784e-01 +6.702317e+02 +5.641378e+04 +5.641776e+04 -1.558916e+00 +2.668562e+04 -3.170422e+02
+1.107074e+02 +2.600000e+04 -6.981317e-01 +6.737116e+02 +5.528889e+04 +5.529299e+04 -1.558612e+00 +2.599807e+04 -3.167943e+02
+1.159463e+02 +2.543750e+04 -6.981317e-01 +6.574953e+02 +5.395807e+04 +5.396208e+04 -1.558612e+00 +2.543561e+04 -3.099406e+02
+1.214332e+02 +2.468750e+04 -7.155850e-01 +6.630297e+02 +5.308500e+04 +5.308914e+04 -1.558307e+00 +2.468557e+04 -3.083219e+02
+1.271797e+02 +2.393750e+04 -6.894051e-01 +6.290208e+02 +5.227478e+04 +5.227857e+04 -1.558764e+00 +2.393577e+04 -2.880183e+02
+1.331981e+02 +2.337500e+04 -7.068583e-01 +6.306222e+02 +5.111372e+04 +5.111761e+04 -1.558459e+00 +2.337322e+04 -2.883702e+02
+1.395013e+02 +2.331250e+04 -7.330383e-01 +6.261021e+02 +4.893476e+04 +4.893876e+04 -1.558002e+00 +2.331059e+04 -2.982504e+02
+1.461028e+02 +2.262500e+04 -7.417649e-01 +6.233105e+02 +4.814337e+04 +4.814741e+04 -1.557850e+00 +2.262310e+04 -2.929005e+02
+1.530167e+02 +2.200000e+04 -7.330383e-01 +6.048542e+02 +4.727407e+04 +4.727793e+04 -1.558002e+00 +2.199820e+04 -2.814588e+02
+1.602578e+02 +2.175000e+04 -7.592182e-01 +6.050244e+02 +4.565659e+04 +4.566060e+04 -1.557545e+00 +2.174809e+04 -2.881977e+02
+1.678416e+02 +2.087500e+04 -7.504916e-01 +5.949834e+02 +4.542101e+04 +4.542491e+04 -1.557698e+00 +2.087321e+04 -2.734244e+02
+1.757842e+02 +2.087500e+04 -7.592182e-01 +5.747050e+02 +4.336862e+04 +4.337243e+04 -1.557545e+00 +2.087317e+04 -2.766036e+02
+1.841027e+02 +2.037500e+04 -7.853982e-01 +5.815886e+02 +4.242496e+04 +4.242895e+04 -1.557089e+00 +2.037309e+04 -2.792874e+02
+1.928149e+02 +1.968750e+04 -7.766715e-01 +5.683167e+02 +4.192269e+04 +4.192654e+04 -1.557241e+00 +1.968569e+04 -2.668652e+02
+2.019393e+02 +1.950000e+04 -8.028515e-01 +5.663214e+02 +4.041308e+04 +4.041705e+04 -1.556784e+00 +1.949809e+04 -2.732329e+02
+2.114955e+02 +1.881250e+04 -7.941248e-01 +5.544018e+02 +3.999730e+04 +4.000114e+04 -1.556936e+00 +1.881069e+04 -2.607346e+02
+2.215040e+02 +1.843750e+04 -8.028515e-01 +5.460532e+02 +3.896673e+04 +3.897055e+04 -1.556784e+00 +1.843569e+04 -2.583452e+02
+2.319860e+02 +1.825000e+04 -8.115781e-01 +5.324620e+02 +3.758823e+04 +3.759200e+04 -1.556632e+00 +1.824817e+04 -2.584973e+02
+2.429641e+02 +1.756250e+04 -8.115781e-01 +5.283051e+02 +3.729478e+04 +3.729852e+04 -1.556632e+00 +1.756074e+04 -2.487594e+02
+2.544617e+02 +1.718750e+04 -8.290314e-01 +5.265239e+02 +3.638643e+04 +3.639024e+04 -1.556327e+00 +1.718570e+04 -2.486829e+02
+2.665034e+02 +1.668750e+04 -8.377580e-01 +5.232467e+02 +3.578324e+04 +3.578706e+04 -1.556175e+00 +1.668572e+04 -2.439899e+02
+2.791150e+02 +1.631250e+04 -8.464847e-01 +5.164130e+02 +3.495176e+04 +3.495558e+04 -1.556022e+00 +1.631072e+04 -2.409912e+02
+2.923233e+02 +1.593750e+04 -8.552113e-01 +5.098837e+02 +3.415766e+04 +3.416146e+04 -1.555870e+00 +1.593572e+04 -2.378783e+02
+3.061567e+02 +1.550000e+04 -8.552113e-01 +5.005867e+02 +3.353484e+04 +3.353858e+04 -1.555870e+00 +1.549827e+04 -2.313483e+02
+3.206447e+02 +1.512500e+04 -8.726646e-01 +4.998142e+02 +3.281333e+04 +3.281713e+04 -1.555565e+00 +1.512325e+04 -2.303580e+02
+3.358183e+02 +1.475000e+04 -8.813913e-01 +4.942568e+02 +3.212716e+04 +3.213096e+04 -1.555413e+00 +1.474825e+04 -2.268930e+02
+3.517100e+02 +1.431250e+04 -8.813913e-01 +4.863500e+02 +3.161320e+04 +3.161694e+04 -1.555413e+00 +1.431081e+04 -2.201631e+02
+3.683537e+02 +1.400000e+04 -8.901179e-01 +4.794402e+02 +3.085849e+04 +3.086221e+04 -1.555261e+00 +1.399831e+04 -2.174881e+02
+3.857850e+02 +1.368750e+04 -8.988446e-01 +4.728188e+02 +3.013680e+04 +3.014051e+04 -1.555109e+00 +1.368582e+04 -2.147179e+02
+4.040412e+02 +1.325000e+04 -9.162979e-01 +4.754163e+02 +2.972508e+04 +2.972888e+04 -1.554804e+00 +1.324831e+04 -2.118905e+02
+4.231614e+02 +1.287500e+04 -9.162979e-01 +4.671565e+02 +2.920864e+04 +2.921238e+04 -1.554804e+00 +1.287335e+04 -2.058936e+02
+4.431863e+02 +1.256250e+04 -9.250245e-01 +4.614976e+02 +2.858256e+04 +2.858628e+04 -1.554652e+00 +1.256086e+04 -2.028093e+02
+4.641589e+02 +1.218750e+04 -9.337511e-01 +4.584882e+02 +2.813074e+04 +2.813448e+04 -1.554499e+00 +1.218588e+04 -1.986113e+02
+4.861239e+02 +1.187500e+04 -9.424778e-01 +4.534908e+02 +2.756645e+04 +2.757018e+04 -1.554347e+00 +1.187339e+04 -1.953271e+02
+5.091284e+02 +1.150000e+04 -9.512044e-01 +4.512594e+02 +2.717910e+04 +2.718285e+04 -1.554195e+00 +1.149842e+04 -1.909102e+02
+5.332215e+02 +1.118750e+04 -9.512044e-01 +4.429052e+02 +2.667593e+04 +2.667961e+04 -1.554195e+00 +1.118596e+04 -1.857224e+02
+5.584547e+02 +1.087500e+04 -9.599311e-01 +4.390359e+02 +2.620245e+04 +2.620613e+04 -1.554042e+00 +1.087347e+04 -1.821908e+02
+5.848820e+02 +1.056250e+04 -9.686577e-01 +4.355241e+02 +2.575865e+04 +2.576233e+04 -1.553890e+00 +1.056099e+04 -1.785639e+02
+6.125599e+02 +1.025000e+04 -9.773844e-01 +4.323838e+02 +2.534454e+04 +2.534823e+04 -1.553738e+00 +1.024851e+04 -1.748419e+02
+6.415476e+02 +9.937500e+03 -9.773844e-01 +4.258295e+02 +2.496036e+04 +2.496399e+04 -1.553738e+00 +9.936054e+03 -1.695114e+02
+6.719071e+02 +9.625000e+03 -9.861110e-01 +4.235375e+02 +2.460627e+04 +2.460992e+04 -1.553585e+00 +9.623575e+03 -1.656466e+02
+7.037033e+02 +9.375000e+03 -9.948377e-01 +4.188582e+02 +2.412092e+04 +2.412455e+04 -1.553433e+00 +9.373587e+03 -1.627718e+02
+7.370041e+02 +9.062500e+03 -1.003564e+00 +4.173521e+02 +2.382515e+04 +2.382880e+04 -1.553281e+00 +9.061110e+03 -1.587261e+02
+7.718807e+02 +8.750000e+03 -9.948377e-01 +4.091378e+02 +2.356115e+04 +2.356470e+04 -1.553433e+00 +8.748681e+03 -1.519203e+02
+8.084079e+02 +8.500000e+03 -1.012291e+00 +4.091955e+02 +2.315810e+04 +2.316171e+04 -1.553129e+00 +8.498673e+03 -1.501686e+02
+8.466635e+02 +8.250000e+03 -1.021018e+00 +4.060158e+02 +2.278171e+04 +2.278533e+04 -1.552976e+00 +8.248690e+03 -1.470082e+02
+8.867295e+02 +8.000000e+03 -1.029744e+00 +4.032017e+02 +2.243204e+04 +2.243567e+04 -1.552824e+00 +7.998708e+03 -1.437717e+02
+9.286915e+02 +7.750000e+03 -1.029744e+00 +3.974022e+02 +2.210939e+04 +2.211296e+04 -1.552824e+00 +7.748748e+03 -1.392788e+02
+9.726393e+02 +7.500000e+03 -1.029744e+00 +3.920942e+02 +2.181408e+04 +2.181760e+04 -1.552824e+00 +7.498789e+03 -1.347860e+02
+1.018667e+03 +7.250000e+03 -1.038471e+00 +3.905691e+02 +2.154660e+04 +2.155014e+04 -1.552672e+00 +7.248809e+03 -1.313971e+02
+1.066872e+03 +7.000000e+03 -1.038471e+00 +3.862403e+02 +2.130778e+04 +2.131129e+04 -1.552672e+00 +6.998850e+03 -1.268662e+02
+1.117359e+03 +6.750000e+03 -1.064651e+00 +3.920877e+02 +2.109836e+04 +2.110200e+04 -1.552215e+00 +6.748835e+03 -1.254190e+02
+1.170235e+03 +6.562500e+03 -1.064651e+00 +3.850679e+02 +2.072062e+04 +2.072420e+04 -1.552215e+00 +6.561367e+03 -1.219351e+02
