Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.003222e+01 +3.075000e+04 -3.752458e-01 +8.467505e+02 +1.292874e+05 +1.292901e+05 -1.564247e+00 +3.074934e+04 -2.013888e+02
+4.192663e+01 +2.943750e+04 -4.188790e-01 +9.427387e+02 +1.289489e+05 +1.289523e+05 -1.563486e+00 +2.943671e+04 -2.152103e+02
+4.391069e+01 +3.018750e+04 -4.363323e-01 +9.143516e+02 +1.200633e+05 +1.200667e+05 -1.563181e+00 +3.018662e+04 -2.298887e+02
+4.598864e+01 +2.993750e+04 -4.188790e-01 +8.451156e+02 +1.155959e+05 +1.155990e+05 -1.563486e+00 +2.993670e+04 -2.188657e+02
+4.816493e+01 +2.925000e+04 -4.188790e-01 +8.258962e+02 +1.129670e+05 +1.129701e+05 -1.563486e+00 +2.924922e+04 -2.138395e+02
+5.044420e+01 +2.881250e+04 -4.276057e-01 +8.172308e+02 +1.095004e+05 +1.095035e+05 -1.563333e+00 +2.881170e+04 -2.150293e+02
+5.283133e+01 +2.875000e+04 -4.537856e-01 +8.298780e+02 +1.047797e+05 +1.047830e+05 -1.562876e+00 +2.874910e+04 -2.276991e+02
+5.533143e+01 +2.843750e+04 -4.799655e-01 +8.473038e+02 +1.011443e+05 +1.011479e+05 -1.562419e+00 +2.843650e+04 -2.382176e+02
+5.794984e+01 +2.718750e+04 -4.974188e-01 +8.769863e+02 +1.010142e+05 +1.010180e+05 -1.562115e+00 +2.718648e+04 -2.360279e+02
+6.069215e+01 +2.675000e+04 -4.712389e-01 +8.062643e+02 +9.802777e+04 +9.803109e+04 -1.562572e+00 +2.674910e+04 -2.200075e+02
+6.356424e+01 +2.725000e+04 -5.061455e-01 +8.116856e+02 +9.188060e+04 +9.188419e+04 -1.561962e+00 +2.724894e+04 -2.407208e+02
+6.657224e+01 +2.568750e+04 -4.974188e-01 +8.079775e+02 +9.306551e+04 +9.306902e+04 -1.562115e+00 +2.568653e+04 -2.230057e+02
+6.972259e+01 +2.637500e+04 -5.323254e-01 +8.040860e+02 +8.654369e+04 +8.654743e+04 -1.561505e+00 +2.637386e+04 -2.450422e+02
