Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.003222e+01 +4.106250e+04 -4.625123e-01 +7.815576e+02 +9.681685e+04 +9.682001e+04 -1.562724e+00 +4.106116e+04 -3.314677e+02
+4.192663e+01 +3.918750e+04 -5.497787e-01 +9.294825e+02 +9.686405e+04 +9.686851e+04 -1.561201e+00 +3.918570e+04 -3.760159e+02
+4.391069e+01 +4.068750e+04 -5.410521e-01 +8.411991e+02 +8.907780e+04 +8.908177e+04 -1.561353e+00 +4.068569e+04 -3.842120e+02
+4.598864e+01 +3.987500e+04 -4.974188e-01 +7.534648e+02 +8.678656e+04 +8.678983e+04 -1.562115e+00 +3.987350e+04 -3.461743e+02
+4.816493e+01 +3.843750e+04 -5.148721e-01 +7.725115e+02 +8.596398e+04 +8.596746e+04 -1.561810e+00 +3.843595e+04 -3.454029e+02
+5.044420e+01 +3.768750e+04 -5.235988e-01 +7.650353e+02 +8.371310e+04 +8.371660e+04 -1.561658e+00 +3.768593e+04 -3.444033e+02
+5.283133e+01 +3.775000e+04 -5.410521e-01 +7.535665e+02 +7.979804e+04 +7.980160e+04 -1.561353e+00 +3.774832e+04 -3.564732e+02
+5.533143e+01 +3.775000e+04 -5.759587e-01 +7.659363e+02 +7.619199e+04 +7.619584e+04 -1.560744e+00 +3.774809e+04 -3.794708e+02
+5.794984e+01 +3.575000e+04 -6.108652e-01 +8.190425e+02 +7.681874e+04 +7.682311e+04 -1.560135e+00 +3.574797e+04 -3.811453e+02
+6.069215e+01 +3.425000e+04 -5.759587e-01 +7.696413e+02 +7.656056e+04 +7.656443e+04 -1.560744e+00 +3.424827e+04 -3.442880e+02
+6.356424e+01 +3.568750e+04 -6.021386e-01 +7.373217e+02 +7.015638e+04 +7.016025e+04 -1.560287e+00 +3.568553e+04 -3.750438e+02
+6.657224e+01 +3.300000e+04 -6.108652e-01 +7.723739e+02 +7.244165e+04 +7.244577e+04 -1.560135e+00 +3.299812e+04 -3.518265e+02
+6.972259e+01 +3.437500e+04 -6.283185e-01 +7.282030e+02 +6.640149e+04 +6.640548e+04 -1.559830e+00 +3.437293e+04 -3.769565e+02
+7.302202e+01 +3.218750e+04 -6.108652e-01 +7.219276e+02 +6.771025e+04 +6.771409e+04 -1.560135e+00 +3.218567e+04 -3.431641e+02
+7.647758e+01 +3.181250e+04 -6.544985e-01 +7.472480e+02 +6.541237e+04 +6.541663e+04 -1.559373e+00 +3.181042e+04 -3.633912e+02
+8.009667e+01 +3.218750e+04 -6.544985e-01 +7.051719e+02 +6.172912e+04 +6.173315e+04 -1.559373e+00 +3.218540e+04 -3.676747e+02
+8.388702e+01 +3.137500e+04 -6.370452e-01 +6.723266e+02 +6.046649e+04 +6.047023e+04 -1.559678e+00 +3.137306e+04 -3.488369e+02
+8.785674e+01 +2.993750e+04 -6.457718e-01 +6.819880e+02 +6.050648e+04 +6.051033e+04 -1.559525e+00 +2.993560e+04 -3.374138e+02
+9.201432e+01 +2.931250e+04 -6.544985e-01 +6.740442e+02 +5.900428e+04 +5.900813e+04 -1.559373e+00 +2.931059e+04 -3.348339e+02
