Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.003222e+01 +3.268750e+04 -4.537856e-01 +9.632795e+02 +1.216228e+05 +1.216267e+05 -1.562876e+00 +3.268647e+04 -2.588840e+02
+4.192663e+01 +3.318750e+04 -4.101524e-01 +8.187938e+02 +1.143785e+05 +1.143815e+05 -1.563638e+00 +3.318665e+04 -2.375710e+02
+4.391069e+01 +3.143750e+04 -4.363323e-01 +8.779957e+02 +1.152894e+05 +1.152927e+05 -1.563181e+00 +3.143659e+04 -2.394079e+02
+4.598864e+01 +3.106250e+04 -4.799655e-01 +9.332876e+02 +1.114084e+05 +1.114123e+05 -1.562419e+00 +3.106141e+04 -2.602069e+02
+4.816493e+01 +3.106250e+04 -4.974188e-01 +9.235214e+02 +1.063742e+05 +1.063782e+05 -1.562115e+00 +3.106133e+04 -2.696687e+02
+5.044420e+01 +3.068750e+04 -4.974188e-01 +8.925684e+02 +1.028090e+05 +1.028128e+05 -1.562115e+00 +3.068634e+04 -2.664131e+02
+5.283133e+01 +2.993750e+04 -5.061455e-01 +8.889148e+02 +1.006227e+05 +1.006267e+05 -1.561962e+00 +2.993633e+04 -2.644616e+02
+5.533143e+01 +2.918750e+04 -4.974188e-01 +8.555502e+02 +9.854509e+04 +9.854880e+04 -1.562115e+00 +2.918640e+04 -2.533909e+02
+5.794984e+01 +2.962500e+04 -4.886922e-01 +7.907097e+02 +9.270300e+04 +9.270637e+04 -1.562267e+00 +2.962392e+04 -2.526771e+02
+6.069215e+01 +2.962500e+04 -5.323254e-01 +8.223895e+02 +8.851370e+04 +8.851752e+04 -1.561505e+00 +2.962372e+04 -2.752369e+02
+6.356424e+01 +2.787500e+04 -5.235988e-01 +8.208473e+02 +8.982025e+04 +8.982400e+04 -1.561658e+00 +2.787384e+04 -2.547328e+02
+6.657224e+01 +2.881250e+04 -5.323254e-01 +7.708934e+02 +8.297118e+04 +8.297476e+04 -1.561505e+00 +2.881126e+04 -2.676882e+02
+6.972259e+01 +2.706250e+04 -5.323254e-01 +7.836589e+02 +8.434512e+04 +8.434876e+04 -1.561505e+00 +2.706133e+04 -2.514295e+02
+7.302202e+01 +2.756250e+04 -5.672320e-01 +7.828503e+02 +7.907267e+04 +7.907655e+04 -1.560896e+00 +2.756115e+04 -2.728661e+02
+7.647758e+01 +2.706250e+04 -5.497787e-01 +7.378647e+02 +7.689500e+04 +7.689854e+04 -1.561201e+00 +2.706125e+04 -2.596728e+02
+8.009667e+01 +2.587500e+04 -5.585054e-01 +7.485540e+02 +7.679000e+04 +7.679365e+04 -1.561049e+00 +2.587377e+04 -2.522192e+02
+8.388702e+01 +2.550000e+04 -5.846853e-01 +7.592367e+02 +7.439822e+04 +7.440210e+04 -1.560592e+00 +2.549867e+04 -2.602149e+02
+8.785674e+01 +2.562500e+04 -5.934119e-01 +7.321618e+02 +7.068998e+04 +7.069377e+04 -1.560439e+00 +2.562363e+04 -2.653932e+02
+9.201432e+01 +2.531250e+04 -6.021386e-01 +7.181175e+02 +6.832910e+04 +6.833287e+04 -1.560287e+00 +2.531110e+04 -2.660118e+02
+9.636864e+01 +2.475000e+04 -6.195919e-01 +7.215789e+02 +6.672426e+04 +6.672817e+04 -1.559982e+00 +2.474855e+04 -2.676393e+02
+1.009290e+02 +2.431250e+04 -6.283185e-01 +7.112511e+02 +6.485573e+04 +6.485963e+04 -1.559830e+00 +2.431104e+04 -2.666111e+02
+1.057052e+02 +2.387500e+04 -6.370452e-01 +7.011630e+02 +6.305994e+04 +6.306383e+04 -1.559678e+00 +2.387352e+04 -2.654496e+02
+1.107074e+02 +2.350000e+04 -6.370452e-01 +6.801649e+02 +6.117144e+04 +6.117522e+04 -1.559678e+00 +2.349855e+04 -2.612802e+02
