Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +2.355829e+05 +8.397108e+01 -6.718427e+04 +7.095635e+03 +6.755793e+04 -3.036368e+00 +2.474336e+04 +2.342799e+05
+1.264855e+01 +2.539533e+05 +9.184755e+01 -4.952216e+04 -1.597436e+03 +4.954792e+04 +3.109347e+00 -8.187512e+03 +2.538213e+05
+1.599859e+01 +2.188097e+05 +8.099403e+01 -4.490397e+04 +7.116887e+03 +4.546446e+04 -2.984409e+00 +3.425189e+04 +2.161122e+05
+2.023590e+01 +1.727826e+05 +7.875611e+01 -4.464582e+04 +8.875654e+03 +4.551952e+04 -2.945350e+00 +3.369013e+04 +1.694662e+05
+2.559548e+01 +1.382963e+05 +7.588212e+01 -4.360404e+04 +1.096704e+04 +4.496207e+04 -2.895189e+00 +3.373290e+04 +1.341192e+05
+3.237458e+01 +1.113625e+05 +7.235455e+01 -4.206758e+04 +1.338136e+04 +4.414455e+04 -2.833621e+00 +3.375686e+04 +1.061229e+05
+4.094915e+01 +9.019470e+04 +6.811126e+01 -3.998525e+04 +1.606485e+04 +4.309176e+04 -2.759562e+00 +3.362508e+04 +8.369252e+04
+5.179475e+01 +7.420505e+04 +6.314169e+01 -3.694259e+04 +1.870826e+04 +4.140959e+04 -2.672827e+00 +3.352479e+04 +6.620029e+04
+6.551286e+01 +6.216002e+04 +5.723405e+01 -3.286403e+04 +2.115179e+04 +3.908251e+04 -2.569719e+00 +3.364153e+04 +5.226964e+04
+8.286428e+01 +5.325003e+04 +5.080865e+01 -2.795484e+04 +2.279238e+04 +3.606890e+04 -2.457575e+00 +3.364935e+04 +4.127090e+04
+1.048113e+02 +4.862188e+04 +4.359257e+01 -2.153430e+04 +2.261911e+04 +3.123059e+04 -2.331630e+00 +3.521494e+04 +3.352604e+04
+1.325711e+02 +4.378841e+04 +3.687479e+01 -1.645177e+04 +2.193179e+04 +2.741650e+04 -2.214383e+00 +3.502848e+04 +2.627604e+04
+1.676833e+02 +3.920499e+04 +3.105485e+01 -1.248876e+04 +2.073980e+04 +2.420968e+04 -2.112806e+00 +3.358589e+04 +2.022422e+04
+2.120951e+02 +3.809863e+04 +2.476570e+01 -8.250864e+03 +1.788462e+04 +1.969610e+04 -2.003039e+00 +3.459464e+04 +1.595984e+04
+2.682696e+02 +3.651959e+04 +1.975123e+01 -5.489826e+03 +1.528940e+04 +1.624512e+04 -1.915520e+00 +3.437109e+04 +1.234132e+04
+3.393222e+02 +3.545849e+04 +1.547876e+01 -3.530252e+03 +1.274802e+04 +1.322780e+04 -1.840952e+00 +3.417239e+04 +9.463204e+03
+4.291934e+02 +3.475839e+04 +1.187756e+01 -2.195822e+03 +1.044018e+04 +1.066860e+04 -1.778099e+00 +3.401421e+04 +7.154007e+03
