Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+6.657224e+01 +2.255751e+04 +3.261881e-01 -6.033633e+02 +1.059812e+05 +1.059829e+05 -1.576489e+00 +2.255714e+04 +1.284205e+02
+7.302202e+01 +2.242405e+04 +3.068565e-01 -5.205507e+02 +9.719549e+04 +9.719689e+04 -1.576152e+00 +2.242372e+04 +1.200949e+02
+7.647758e+01 +2.158995e+04 +2.679158e-01 -4.507217e+02 +9.638946e+04 +9.639052e+04 -1.575472e+00 +2.158972e+04 +1.009545e+02
+8.009667e+01 +2.118164e+04 +2.512548e-01 -4.113736e+02 +9.380844e+04 +9.380934e+04 -1.575182e+00 +2.118144e+04 +9.288594e+01
+8.388702e+01 +1.992122e+04 +2.179812e-01 -3.623304e+02 +9.523711e+04 +9.523780e+04 -1.574601e+00 +1.992108e+04 +7.578992e+01
+8.785674e+01 +1.940039e+04 +1.829278e-01 -2.981198e+02 +9.337537e+04 +9.337585e+04 -1.573989e+00 +1.940029e+04 +6.193937e+01
+9.201432e+01 +1.850000e+04 +1.718375e-01 -2.804063e+02 +9.349557e+04 +9.349599e+04 -1.573795e+00 +1.849992e+04 +5.548383e+01
+9.636864e+01 +1.754080e+04 +1.420461e-01 -2.334217e+02 +9.415290e+04 +9.415319e+04 -1.573275e+00 +1.754074e+04 +4.348660e+01
+1.009290e+02 +1.752539e+04 +1.271648e-01 -1.997011e+02 +8.997778e+04 +8.997801e+04 -1.573016e+00 +1.752535e+04 +3.889661e+01
+1.057052e+02 +1.752539e+04 +1.128966e-01 -1.692832e+02 +8.591227e+04 +8.591244e+04 -1.572767e+00 +1.752536e+04 +3.453231e+01
+1.159463e+02 +1.750998e+04 +1.010940e-01 -1.383184e+02 +7.839290e+04 +7.839302e+04 -1.572561e+00 +1.750996e+04 +3.089501e+01
+1.214332e+02 +1.683171e+04 +9.101736e-02 -1.236961e+02 +7.786712e+04 +7.786722e+04 -1.572385e+00 +1.683168e+04 +2.673804e+01
+1.271797e+02 +1.621810e+04 +8.153830e-02 -1.098099e+02 +7.716175e+04 +7.716183e+04 -1.572219e+00 +1.621808e+04 +2.308016e+01
+1.331981e+02 +1.620334e+04 +7.259207e-02 -9.342949e+01 +7.374239e+04 +7.374245e+04 -1.572063e+00 +1.620333e+04 +2.052915e+01
+1.461028e+02 +1.546300e+04 +6.279488e-02 -7.720924e+01 +7.044781e+04 +7.044785e+04 -1.571892e+00 +1.546299e+04 +1.694709e+01
+1.530167e+02 +1.547808e+04 +5.345516e-02 -6.269472e+01 +6.719916e+04 +6.719919e+04 -1.571729e+00 +1.547807e+04 +1.444056e+01
+1.602578e+02 +1.552561e+04 +4.692521e-02 -5.238848e+01 +6.396643e+04 +6.396645e+04 -1.571615e+00 +1.552560e+04 +1.271546e+01
+1.678416e+02 +1.554102e+04 +4.154216e-02 -4.423923e+01 +6.101562e+04 +6.101564e+04 -1.571521e+00 +1.554101e+04 +1.126797e+01
+1.841027e+02 +1.440972e+04 +3.478211e-02 -3.641980e+01 +5.999350e+04 +5.999351e+04 -1.571403e+00 +1.440972e+04 +8.747599e+00
+1.928149e+02 +1.437229e+04 +2.933642e-02 -2.940615e+01 +5.743196e+04 +5.743197e+04 -1.571308e+00 +1.437229e+04 +7.358857e+00
+2.019393e+02 +1.435720e+04 +2.369623e-02 -2.270314e+01 +5.489456e+04 +5.489457e+04 -1.571210e+00 +1.435720e+04 +5.937812e+00
+2.114955e+02 +1.321528e+04 +1.894608e-02 -1.882953e+01 +5.694330e+04 +5.694330e+04 -1.571127e+00 +1.321528e+04 +4.369916e+00
+2.215040e+02 +1.326009e+04 +1.801617e-02 -1.703852e+01 +5.418662e+04 +5.418662e+04 -1.571111e+00 +1.326009e+04 +4.169523e+00
+2.319860e+02 +1.189746e+04 +1.380679e-02 -1.389549e+01 +5.766390e+04 +5.766390e+04 -1.571037e+00 +1.189746e+04 +2.866977e+00
+2.544617e+02 +1.179026e+04 +1.226626e-02 -1.135701e+01 +5.304866e+04 +5.304866e+04 -1.571010e+00 +1.179026e+04 +2.524135e+00
+2.665034e+02 +1.164073e+04 +1.488633e-02 -1.332914e+01 +5.130231e+04 +5.130232e+04 -1.571056e+00 +1.164073e+04 +3.024443e+00
+2.791150e+02 +1.155903e+04 +1.302114e-02 -1.121094e+01 +4.933052e+04 +4.933052e+04 -1.571024e+00 +1.155903e+04 +2.626925e+00
+2.923233e+02 +1.286545e+04 +2.540261e-02 -1.876236e+01 +4.231863e+04 +4.231863e+04 -1.571240e+00 +1.286545e+04 +5.704017e+00
+3.061567e+02 +1.136925e+04 +2.348851e-02 -1.874465e+01 +4.572403e+04 +4.572404e+04 -1.571206e+00 +1.136925e+04 +4.660844e+00
+3.206447e+02 +1.086697e+04 +1.926871e-02 -1.536093e+01 +4.567594e+04 +4.567595e+04 -1.571133e+00 +1.086697e+04 +3.654589e+00
+3.517100e+02 +1.187977e+04 +3.450739e-02 -2.294123e+01 +3.809142e+04 +3.809142e+04 -1.571399e+00 +1.187977e+04 +7.154803e+00
+3.683537e+02 +1.177854e+04 +4.380899e-02 -2.804815e+01 +3.668289e+04 +3.668290e+04 -1.571561e+00 +1.177853e+04 +9.005999e+00
+3.857850e+02 +1.312760e+04 +6.064444e-02 -3.326270e+01 +3.142599e+04 +3.142601e+04 -1.571855e+00 +1.312760e+04 +1.389485e+01
+4.040412e+02 +1.314117e+04 +7.079423e-02 -3.703698e+01 +2.997507e+04 +2.997509e+04 -1.572032e+00 +1.314116e+04 +1.623712e+01
+4.231614e+02 +1.313292e+04 +5.928118e-02 -2.963104e+01 +2.863865e+04 +2.863867e+04 -1.571831e+00 +1.313291e+04 +1.358800e+01
+4.431863e+02 +1.309125e+04 +7.071214e-02 -3.385507e+01 +2.743167e+04 +2.743169e+04 -1.572030e+00 +1.309124e+04 +1.615669e+01
+4.641589e+02 +1.282802e+04 +7.104423e-02 -3.314363e+01 +2.672967e+04 +2.672969e+04 -1.572036e+00 +1.282801e+04 +1.590617e+01
+4.861239e+02 +1.442003e+04 +6.452616e-02 -2.556937e+01 +2.270423e+04 +2.270424e+04 -1.571923e+00 +1.442002e+04 +1.623975e+01
+5.332215e+02 +1.391732e+04 +6.288136e-02 -2.353728e+01 +2.144651e+04 +2.144653e+04 -1.571894e+00 +1.391731e+04 +1.527407e+01
+5.584547e+02 +1.422081e+04 +5.940386e-02 -2.077781e+01 +2.004045e+04 +2.004047e+04 -1.571833e+00 +1.422080e+04 +1.474403e+01
+5.848820e+02 +1.436914e+04 +3.855662e-02 -1.274375e+01 +1.893743e+04 +1.893743e+04 -1.571469e+00 +1.436914e+04 +9.669569e+00
+6.415476e+02 +1.438270e+04 +1.378317e-02 -4.149322e+00 +1.724847e+04 +1.724847e+04 -1.571037e+00 +1.438270e+04 +3.459928e+00
+6.719071e+02 +1.437598e+04 -9.520587e-03 +2.737881e+00 +1.647683e+04 +1.647683e+04 -1.570630e+00 +1.437598e+04 -2.388793e+00
+7.037033e+02 +1.442654e+04 -1.442404e-02 +3.946686e+00 +1.567719e+04 +1.567720e+04 -1.570545e+00 +1.442654e+04 -3.631837e+00
+7.370041e+02 +1.458974e+04 -3.551143e-02 +9.173780e+00 +1.480140e+04 +1.480140e+04 -1.570177e+00 +1.458973e+04 -9.042591e+00
+7.718807e+02 +1.465495e+04 -5.591060e-02 +1.372957e+01 +1.406972e+04 +1.406973e+04 -1.569821e+00 +1.465494e+04 -1.430065e+01
+8.466635e+02 +1.361263e+04 -5.313915e-02 +1.280735e+01 +1.380915e+04 +1.380916e+04 -1.569869e+00 +1.361262e+04 -1.262508e+01
+8.867295e+02 +1.470367e+04 -5.813517e-02 +1.238567e+01 +1.220683e+04 +1.220684e+04 -1.569782e+00 +1.470366e+04 -1.491908e+01
+9.726393e+02 +1.456293e+04 -7.902240e-02 +1.549697e+01 +1.123619e+04 +1.123620e+04 -1.569417e+00 +1.456292e+04 -2.008521e+01
