Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.053621e+01 +6.822200e+04 +1.097661e+02 -5.416013e+04 -1.946260e+04 +5.755096e+04 +2.796610e+00 -2.307134e+04 +6.420245e+04
+4.436687e+01 +6.344800e+04 +5.473316e+01 -4.616200e+04 +3.264443e+04 +5.653838e+04 -2.526070e+00 +3.663394e+04 +5.180351e+04
+4.641589e+01 +6.235500e+04 +5.477943e+01 -4.492325e+04 +3.171403e+04 +5.498981e+04 -2.526878e+00 +3.596173e+04 +5.094016e+04
+4.855953e+01 +6.026200e+04 +5.283415e+01 -4.334116e+04 +3.285703e+04 +5.438787e+04 -2.492926e+00 +3.640573e+04 +4.802220e+04
+5.080218e+01 +5.833300e+04 +1.097661e+02 -5.054179e+04 -1.816234e+04 +5.370608e+04 +2.796610e+00 -1.972708e+04 +5.489610e+04
+5.560298e+01 +5.652300e+04 +5.313020e+01 -4.051235e+04 +3.038415e+04 +5.064037e+04 -2.498093e+00 +3.391372e+04 +4.521846e+04
+5.817091e+01 +5.397000e+04 +5.668044e+01 -4.236143e+04 +2.784696e+04 +5.069462e+04 -2.560057e+00 +2.964616e+04 +4.509841e+04
+6.085745e+01 +5.240000e+04 +5.489945e+01 -4.083241e+04 +2.869808e+04 +4.990857e+04 -2.528973e+00 +3.013068e+04 +4.287076e+04
+6.660846e+01 +4.742400e+04 +6.343290e+01 -4.506400e+04 +2.253401e+04 +5.038399e+04 -2.677909e+00 +2.121017e+04 +4.241656e+04
+7.290295e+01 +4.755800e+04 +5.391944e+01 -3.709922e+04 +2.703394e+04 +4.590410e+04 -2.511868e+00 +2.800796e+04 +3.843589e+04
+7.626986e+01 +4.631600e+04 +5.125936e+01 -3.514175e+04 +2.819480e+04 +4.505429e+04 -2.465441e+00 +2.898437e+04 +3.612587e+04
+7.979226e+01 +4.458500e+04 +5.005270e+01 -3.429726e+04 +2.872510e+04 +4.473738e+04 -2.444381e+00 +2.862726e+04 +3.418044e+04
+8.733262e+01 +4.350000e+04 +4.731417e+01 -3.079572e+04 +2.840338e+04 +4.189425e+04 -2.396584e+00 +2.949204e+04 +3.197608e+04
+9.136594e+01 +4.196500e+04 +5.224843e+01 -3.282051e+04 +2.541380e+04 +4.150960e+04 -2.482703e+00 +2.569261e+04 +3.318058e+04
+1.000000e+02 +4.146500e+04 +4.666004e+01 -2.791571e+04 +2.634321e+04 +3.838296e+04 -2.385168e+00 +2.845850e+04 +3.015726e+04
+1.046183e+02 +4.007600e+04 +4.533302e+01 -2.699744e+04 +2.668541e+04 +3.796015e+04 -2.362007e+00 +2.817282e+04 +2.850224e+04
+1.094500e+02 +3.963000e+04 +4.252441e+01 -2.480079e+04 +2.704218e+04 +3.669276e+04 -2.312987e+00 +2.920689e+04 +2.678609e+04
+1.145048e+02 +3.834700e+04 +4.102439e+01 -2.379144e+04 +2.734540e+04 +3.624643e+04 -2.286807e+00 +2.893014e+04 +2.517021e+04
+1.197930e+02 +3.793700e+04 +3.989384e+01 -2.246117e+04 +2.686914e+04 +3.502078e+04 -2.267075e+00 +2.910656e+04 +2.433154e+04
+1.253254e+02 +3.713200e+04 +4.154138e+01 -2.268044e+04 +2.559829e+04 +3.420051e+04 -2.295830e+00 +2.779245e+04 +2.462449e+04
+1.371687e+02 +3.640000e+04 +3.585946e+01 -1.867293e+04 +2.583411e+04 +3.187600e+04 -2.196662e+00 +2.950061e+04 +2.132308e+04
+1.435036e+02 +3.601900e+04 +3.711674e+01 -1.858064e+04 +2.455309e+04 +3.079114e+04 -2.218606e+00 +2.872183e+04 +2.173534e+04
+1.570646e+02 +3.495100e+04 +3.239733e+01 -1.553369e+04 +2.447970e+04 +2.899226e+04 -2.136236e+00 +2.951098e+04 +1.872631e+04
+1.643184e+02 +3.426400e+04 +3.042872e+01 -1.431681e+04 +2.437440e+04 +2.826805e+04 -2.101878e+00 +2.954447e+04 +1.735355e+04
+1.719072e+02 +3.393400e+04 +3.006304e+01 -1.366745e+04 +2.361269e+04 +2.728293e+04 -2.095495e+00 +2.936902e+04 +1.699932e+04
+1.798465e+02 +3.330200e+04 +8.304488e+01 -2.637790e+04 +3.217828e+03 +2.657344e+04 -3.020203e+00 +4.032601e+03 +3.305694e+04
