Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.094915e+01 +8.780329e+04 +6.818725e+01 -4.109614e+04 +1.644789e+04 +4.426540e+04 -2.760888e+00 +3.262546e+04 +8.151685e+04
+5.179475e+01 +7.280270e+04 +6.343374e+01 -3.775090e+04 +1.887645e+04 +4.220724e+04 -2.677924e+00 +3.255973e+04 +6.511602e+04
+6.551286e+01 +6.068091e+04 +5.741914e+01 -3.373492e+04 +2.155850e+04 +4.003515e+04 -2.572949e+00 +3.267602e+04 +5.113170e+04
+8.286428e+01 +5.192671e+04 +5.115558e+01 -2.880825e+04 +2.319922e+04 +3.698809e+04 -2.463630e+00 +3.256884e+04 +4.044322e+04
+1.048113e+02 +4.573050e+04 +4.448444e+01 -2.326739e+04 +2.368994e+04 +3.320519e+04 -2.347196e+00 +3.262600e+04 +3.204407e+04
+1.325711e+02 +4.131247e+04 +3.786124e+01 -1.783538e+04 +2.294256e+04 +2.905962e+04 -2.231600e+00 +3.261617e+04 +2.535558e+04
+1.676833e+02 +3.833451e+04 +3.161692e+01 -1.297981e+04 +2.108443e+04 +2.475941e+04 -2.122616e+00 +3.264460e+04 +2.009639e+04
+2.120951e+02 +3.634651e+04 +2.595056e+01 -9.034406e+03 +1.856391e+04 +2.064557e+04 -2.023719e+00 +3.268176e+04 +1.590507e+04
+2.682696e+02 +3.507542e+04 +2.110088e+01 -6.089220e+03 +1.577986e+04 +1.691398e+04 -1.939076e+00 +3.272354e+04 +1.262754e+04
+3.393222e+02 +3.421932e+04 +1.721046e+01 -4.055606e+03 +1.309308e+04 +1.370682e+04 -1.871175e+00 +3.268713e+04 +1.012489e+04
+4.291934e+02 +3.374100e+04 +1.339315e+01 -2.545698e+03 +1.069139e+04 +1.099029e+04 -1.804551e+00 +3.282337e+04 +7.815482e+03
+5.428675e+02 +3.340463e+04 +1.064736e+01 -1.621573e+03 +8.625359e+03 +8.776463e+03 -1.756628e+00 +3.282950e+04 +6.171966e+03
+6.866488e+02 +3.318319e+04 +8.563877e+00 -1.040152e+03 +6.907135e+03 +6.985015e+03 -1.720264e+00 +3.281321e+04 +4.941373e+03
+8.685114e+02 +3.306884e+04 +6.806790e+00 -6.567852e+02 +5.502420e+03 +5.541479e+03 -1.689597e+00 +3.283575e+04 +3.919373e+03
+1.098541e+03 +3.298148e+04 +5.416084e+00 -4.146192e+02 +4.373110e+03 +4.392721e+03 -1.665325e+00 +3.283424e+04 +3.113049e+03
+1.389495e+03 +3.291314e+04 +4.294311e+00 -2.605900e+02 +3.470345e+03 +3.480115e+03 -1.645746e+00 +3.282074e+04 +2.464527e+03
+1.757511e+03 +3.281464e+04 +3.482592e+00 -1.676359e+02 +2.754557e+03 +2.759653e+03 -1.631579e+00 +3.275404e+04 +1.993334e+03
+2.222996e+03 +3.282819e+04 +2.871111e+00 -1.092396e+02 +2.178156e+03 +2.180893e+03 -1.620907e+00 +3.278698e+04 +1.644343e+03
+2.811769e+03 +3.282547e+04 +2.231621e+00 -6.714560e+01 +1.723059e+03 +1.724366e+03 -1.609745e+00 +3.280058e+04 +1.278201e+03
+3.556480e+03 +3.275821e+04 +2.174016e+00 -5.182215e+01 +1.365107e+03 +1.366091e+03 -1.608740e+00 +3.273463e+04 +1.242671e+03
+4.498433e+03 +3.274358e+04 +2.058591e+00 -3.881385e+01 +1.079822e+03 +1.080520e+03 -1.606726e+00 +3.272245e+04 +1.176197e+03
