Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.094915e+01 +8.794432e+04 +6.833979e+01 -4.107381e+04 +1.631222e+04 +4.419442e+04 -2.763551e+00 +3.246038e+04 +8.173449e+04
+5.179475e+01 +7.242636e+04 +6.344979e+01 -3.795238e+04 +1.896390e+04 +4.242655e+04 -2.678204e+00 +3.237327e+04 +6.478850e+04
+6.551286e+01 +6.062550e+04 +5.752025e+01 -3.380378e+04 +2.151859e+04 +4.007175e+04 -2.574714e+00 +3.255598e+04 +5.114253e+04
+8.286428e+01 +5.190359e+04 +5.114573e+01 -2.881709e+04 +2.321451e+04 +3.700457e+04 -2.463458e+00 +3.256128e+04 +4.041962e+04
+1.048113e+02 +4.576282e+04 +4.444709e+01 -2.323553e+04 +2.368836e+04 +3.318175e+04 -2.346544e+00 +3.266996e+04 +3.204542e+04
+1.325711e+02 +4.133921e+04 +3.780391e+01 -1.780089e+04 +2.294554e+04 +2.904083e+04 -2.230599e+00 +3.266265e+04 +2.533932e+04
+1.676833e+02 +3.831021e+04 +3.161233e+01 -1.298636e+04 +2.109885e+04 +2.477513e+04 -2.122536e+00 +3.262551e+04 +2.008103e+04
+2.120951e+02 +3.636599e+04 +2.599988e+01 -9.045535e+03 +1.854619e+04 +2.063451e+04 -2.024580e+00 +3.268557e+04 +1.594173e+04
+2.682696e+02 +3.507480e+04 +2.110510e+01 -6.090491e+03 +1.577969e+04 +1.691428e+04 -1.939150e+00 +3.272204e+04 +1.262973e+04
+3.393222e+02 +3.420557e+04 +1.719326e+01 -4.053304e+03 +1.309956e+04 +1.371232e+04 -1.870875e+00 +3.267703e+04 +1.011102e+04
+4.291934e+02 +3.374588e+04 +1.342213e+01 -2.550736e+03 +1.068856e+04 +1.098870e+04 -1.805057e+00 +3.282416e+04 +7.833215e+03
+5.428675e+02 +3.340623e+04 +1.069935e+01 -1.629321e+03 +8.623471e+03 +8.776044e+03 -1.757535e+00 +3.282546e+04 +6.202051e+03
+6.866488e+02 +3.322964e+04 +8.541625e+00 -1.036019e+03 +6.897882e+03 +6.975250e+03 -1.719876e+00 +3.286107e+04 +4.935528e+03
+8.685114e+02 +3.307145e+04 +6.788132e+00 -6.549415e+02 +5.502198e+03 +5.541041e+03 -1.689272e+00 +3.283962e+04 +3.908989e+03
+1.098541e+03 +3.298367e+04 +5.425093e+00 -4.152793e+02 +4.372754e+03 +4.392430e+03 -1.665482e+00 +3.283593e+04 +3.118419e+03
+1.389495e+03 +3.288732e+04 +4.195374e+00 -2.547970e+02 +3.473515e+03 +3.482848e+03 -1.644019e+00 +3.279919e+04 +2.405959e+03
+1.757511e+03 +3.283136e+04 +3.544643e+00 -1.705321e+02 +2.752972e+03 +2.758248e+03 -1.632662e+00 +3.276855e+04 +2.029839e+03
+2.222996e+03 +3.280270e+04 +2.928120e+00 -1.114934e+02 +2.179739e+03 +2.182588e+03 -1.621902e+00 +3.275987e+04 +1.675663e+03
+2.811769e+03 +3.276055e+04 +2.326874e+00 -7.014879e+01 +1.726359e+03 +1.727783e+03 -1.611408e+00 +3.273354e+04 +1.330093e+03
+3.556480e+03 +3.270962e+04 +2.186716e+00 -5.220217e+01 +1.367124e+03 +1.368120e+03 -1.608962e+00 +3.268580e+04 +1.248072e+03
+4.498433e+03 +3.262047e+04 +2.011673e+00 -3.807275e+01 +1.083929e+03 +1.084598e+03 -1.605907e+00 +3.260037e+04 +1.145080e+03
+5.689866e+03 +3.256722e+04 +1.607776e+00 -2.409813e+01 +8.585516e+02 +8.588897e+02 -1.598857e+00 +3.255440e+04 +9.137486e+02
+7.196857e+03 +3.268260e+04 +1.946454e+00 -2.298258e+01 +6.762543e+02 +6.766447e+02 -1.604768e+00 +3.266374e+04 +1.110081e+03
+9.102982e+03 +3.226696e+04 +1.150518e+00 -1.087978e+01 +5.417399e+02 +5.418492e+02 -1.590877e+00 +3.226045e+04 +6.478877e+02
+1.151395e+04 +3.215998e+04 +1.070303e+00 -8.028581e+00 +4.297383e+02 +4.298133e+02 -1.589477e+00 +3.215437e+04 +6.007237e+02
+1.456348e+04 +3.326778e+04 +1.560422e+00 -8.945336e+00 +3.283749e+02 +3.284967e+02 -1.598031e+00 +3.325544e+04 +9.059191e+02
+1.842070e+04 +3.161362e+04 +4.402049e-01 -2.099751e+00 +2.732920e+02 +2.733001e+02 -1.578479e+00 +3.161269e+04 +2.428858e+02
+2.329952e+04 +3.181381e+04 +9.467100e-02 -3.547739e-01 +2.147123e+02 +2.147126e+02 -1.572449e+00 +3.181377e+04 +5.256659e+01
+2.947052e+04 +3.409086e+04 -2.661894e+00 +7.357092e+00 +1.582434e+02 +1.584143e+02 -1.524338e+00 +3.405408e+04 -1.583251e+03
+3.727594e+04 +3.094538e+04 -3.187444e+00 +7.671701e+00 +1.377601e+02 +1.379735e+02 -1.515165e+00 +3.089750e+04 -1.720647e+03
+4.714866e+04 +3.181870e+04 -8.547665e+00 +1.576816e+01 +1.049101e+02 +1.060885e+02 -1.421611e+00 +3.146527e+04 -4.729281e+03
+5.963623e+04 +3.224325e+04 -1.104263e+01 +1.585364e+01 +8.123717e+01 +8.276965e+01 -1.378066e+00 +3.164626e+04 -6.175847e+03
+7.543120e+04 +3.278487e+04 -1.421273e+01 +1.580111e+01 +6.238706e+01 +6.435698e+01 -1.322737e+00 +3.178135e+04 -8.049434e+03
+9.540955e+04 +3.370378e+04 -1.797151e+01 +1.527098e+01 +4.707888e+01 +4.949368e+01 -1.257134e+00 +3.205937e+04 -1.039910e+04
+1.206793e+05 +3.546366e+04 -2.112693e+01 +1.340390e+01 +3.468847e+01 +3.718809e+01 -1.202062e+00 +3.307994e+04 -1.278236e+04
+1.526418e+05 +3.829630e+04 -2.742187e+01 +1.253880e+01 +2.416721e+01 +2.722638e+01 -1.092194e+00 +3.399332e+04 -1.763692e+04
+1.930698e+05 +4.544580e+04 -2.981808e+01 +9.019551e+00 +1.573750e+01 +1.813895e+01 -1.050373e+00 +3.942917e+04 -2.259783e+04
+2.442053e+05 +5.121888e+04 -3.745548e+01 +7.738236e+00 +1.010091e+01 +1.272433e+01 -9.170749e-01 +4.065888e+04 -3.114849e+04
+3.088844e+05 +5.727736e+04 -4.033722e+01 +5.822867e+00 +6.857053e+00 +8.995830e+00 -8.667790e-01 +4.365955e+04 -3.707478e+04
+3.906940e+05 +6.840524e+04 -5.004088e+01 +4.564654e+00 +3.824652e+00 +5.955168e+00 -6.974182e-01 +4.393264e+04 -5.243282e+04
+4.941713e+05 +7.066908e+04 -5.017712e+01 +3.500178e+00 +2.918607e+00 +4.557358e+00 -6.950404e-01 +4.525764e+04 -5.427582e+04
+6.250552e+05 +8.077584e+04 -5.102207e+01 +2.450520e+00 +1.982830e+00 +3.152247e+00 -6.802932e-01 +5.080970e+04 -6.279420e+04
+7.906043e+05 +9.873008e+04 -5.546200e+01 +1.679605e+00 +1.156001e+00 +2.038973e+00 -6.028019e-01 +5.597529e+04 -8.132893e+04
+1.000000e+06 +1.189695e+05 -5.343352e+01 +1.074459e+00 +7.969887e-01 +1.337779e+00 -6.382054e-01 +7.087669e+04 -9.555229e+04
