Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +1.992058e+05 +8.861577e+01 -7.987141e+04 +1.930014e+03 +7.989473e+04 -3.117433e+00 +4.812207e+03 +1.991477e+05
+1.123324e+01 +1.960667e+05 +3.520424e+01 -4.165864e+04 +5.904562e+04 +7.226222e+04 -2.185226e+00 +1.602065e+05 +1.130310e+05
+1.261857e+01 +1.835162e+05 +7.135779e+01 -6.512233e+04 +2.196951e+04 +6.872829e+04 -2.816225e+00 +5.866233e+04 +1.738877e+05
+1.417474e+01 +2.054669e+05 +7.725350e+01 -5.329988e+04 +1.205711e+04 +5.464660e+04 -2.919124e+00 +4.533378e+04 +2.004033e+05
+1.592283e+01 +2.165906e+05 +8.085158e+01 -4.556178e+04 +7.337311e+03 +4.614880e+04 -2.981923e+00 +3.443626e+04 +2.138355e+05
+1.788650e+01 +1.917917e+05 +7.955622e+01 -4.562574e+04 +8.409937e+03 +4.639435e+04 -2.959314e+00 +3.476622e+04 +1.886143e+05
+2.009233e+01 +1.707292e+05 +7.853051e+01 -4.546967e+04 +9.225696e+03 +4.639617e+04 -2.941412e+00 +3.394882e+04 +1.673198e+05
+2.257020e+01 +1.535497e+05 +7.713870e+01 -4.477144e+04 +1.022220e+04 +4.592358e+04 -2.917121e+00 +3.417888e+04 +1.496974e+05
+2.535364e+01 +1.371754e+05 +7.569142e+01 -4.434225e+04 +1.130977e+04 +4.576184e+04 -2.891861e+00 +3.390210e+04 +1.329201e+05
+2.848036e+01 +1.219032e+05 +7.380992e+01 -4.402359e+04 +1.278177e+04 +4.584157e+04 -2.859022e+00 +3.398965e+04 +1.170688e+05
+3.199267e+01 +1.100791e+05 +7.210273e+01 -4.300545e+04 +1.388811e+04 +4.519234e+04 -2.829226e+00 +3.382853e+04 +1.047522e+05
+3.593814e+01 +9.874127e+04 +7.008487e+01 -4.216822e+04 +1.527728e+04 +4.485035e+04 -2.794008e+00 +3.363403e+04 +9.283637e+04
+4.037017e+01 +8.972934e+04 +6.799892e+01 -4.073687e+04 +1.645965e+04 +4.393646e+04 -2.757601e+00 +3.361477e+04 +8.319496e+04
+4.534879e+01 +7.961235e+04 +6.554701e+01 -4.012908e+04 +1.824812e+04 +4.408329e+04 -2.714808e+00 +3.295525e+04 +7.247122e+04
+5.094138e+01 +7.475554e+04 +6.213866e+01 -3.694862e+04 +1.953138e+04 +4.179324e+04 -2.655321e+00 +3.493576e+04 +6.608996e+04
+5.722368e+01 +6.709535e+04 +5.967127e+01 -3.577951e+04 +2.093194e+04 +4.145262e+04 -2.612256e+00 +3.388050e+04 +5.791284e+04
+6.428073e+01 +6.163511e+04 +5.715352e+01 -3.374862e+04 +2.178827e+04 +4.017086e+04 -2.568313e+00 +3.343026e+04 +5.178131e+04
+7.220809e+01 +5.695205e+04 +5.423206e+01 -3.140184e+04 +2.262102e+04 +3.870124e+04 -2.517324e+00 +3.328869e+04 +4.621038e+04
+8.111308e+01 +5.276005e+04 +5.087834e+01 -2.885215e+04 +2.346563e+04 +3.718982e+04 -2.458791e+00 +3.328996e+04 +4.093167e+04
+9.111628e+01 +4.928306e+04 +4.760568e+01 -2.617520e+04 +2.389649e+04 +3.544268e+04 -2.401672e+00 +3.322808e+04 +3.639663e+04
+1.023531e+02 +4.626419e+04 +4.417910e+01 -2.342323e+04 +2.410423e+04 +3.361044e+04 -2.341867e+00 +3.317905e+04 +3.224167e+04
+1.149757e+02 +4.382745e+04 +4.084984e+01 -2.065846e+04 +2.389101e+04 +3.158405e+04 -2.283761e+00 +3.315224e+04 +2.866661e+04
+1.291550e+02 +4.184269e+04 +3.764424e+01 -1.798696e+04 +2.331927e+04 +2.945028e+04 -2.227812e+00 +3.313180e+04 +2.555570e+04
+1.450829e+02 +3.998984e+04 +3.436349e+01 -1.548364e+04 +2.264422e+04 +2.743180e+04 -2.170552e+00 +3.301055e+04 +2.257191e+04
+1.629751e+02 +3.890576e+04 +3.139372e+01 -1.307533e+04 +2.142612e+04 +2.510065e+04 -2.118720e+00 +3.321026e+04 +2.026663e+04
+1.830738e+02 +3.761046e+04 +2.863613e+01 -1.107754e+04 +2.028719e+04 +2.311454e+04 -2.070591e+00 +3.300998e+04 +1.802464e+04
+2.056512e+02 +3.658380e+04 +2.589378e+01 -9.238198e+03 +1.903058e+04 +2.115436e+04 -2.022728e+00 +3.291098e+04 +1.597630e+04
+2.310130e+02 +3.585899e+04 +2.342837e+01 -7.638967e+03 +1.762865e+04 +1.921258e+04 -1.979699e+00 +3.290270e+04 +1.425762e+04
+2.595024e+02 +3.533560e+04 +2.101017e+01 -6.222946e+03 +1.620274e+04 +1.735666e+04 -1.937493e+00 +3.298638e+04 +1.266900e+04
+2.915053e+02 +3.485561e+04 +1.891709e+01 -5.078242e+03 +1.481791e+04 +1.566394e+04 -1.900962e+00 +3.297302e+04 +1.130018e+04
+3.274549e+02 +3.441801e+04 +1.691926e+01 -4.109713e+03 +1.351033e+04 +1.412157e+04 -1.866093e+00 +3.292825e+04 +1.001646e+04
+3.678380e+02 +3.415030e+04 +1.512443e+01 -3.305750e+03 +1.223092e+04 +1.266978e+04 -1.834767e+00 +3.296738e+04 +8.910364e+03
+4.132012e+02 +3.380468e+04 +1.356699e+01 -2.672862e+03 +1.107620e+04 +1.139414e+04 -1.807585e+00 +3.286141e+04 +7.929976e+03
+4.641589e+02 +3.371348e+04 +1.202686e+01 -2.119267e+03 +9.947432e+03 +1.017068e+04 -1.780705e+00 +3.297347e+04 +7.024885e+03
+5.214008e+02 +3.348455e+04 +1.086102e+01 -1.717702e+03 +8.952699e+03 +9.115993e+03 -1.760357e+00 +3.288474e+04 +6.309405e+03
+5.857021e+02 +3.335413e+04 +9.620863e+00 -1.361577e+03 +8.032340e+03 +8.146925e+03 -1.738712e+00 +3.288502e+04 +5.574402e+03
+6.579332e+02 +3.326800e+04 +8.582541e+00 -1.085124e+03 +7.189868e+03 +7.271292e+03 -1.720590e+00 +3.289546e+04 +4.964719e+03
+7.390722e+02 +3.314963e+04 +7.623255e+00 -8.617679e+02 +6.438714e+03 +6.496128e+03 -1.703847e+00 +3.285664e+04 +4.397586e+03
+8.302176e+02 +3.308312e+04 +6.771974e+00 -6.832864e+02 +5.754151e+03 +5.794578e+03 -1.688990e+00 +3.285231e+04 +3.901103e+03
+9.326033e+02 +3.307743e+04 +6.051785e+00 -5.439318e+02 +5.130555e+03 +5.159307e+03 -1.676420e+00 +3.289309e+04 +3.487264e+03
+1.047616e+03 +3.302609e+04 +5.377703e+00 -4.311191e+02 +4.579786e+03 +4.600033e+03 -1.664655e+00 +3.288073e+04 +3.095234e+03
+1.176812e+03 +3.297481e+04 +4.786916e+00 -3.422619e+02 +4.087081e+03 +4.101387e+03 -1.654344e+00 +3.285979e+04 +2.751757e+03
+1.321941e+03 +3.290651e+04 +4.243541e+00 -2.707290e+02 +3.648664e+03 +3.658694e+03 -1.644860e+00 +3.281630e+04 +2.434952e+03
+1.484968e+03 +3.288757e+04 +3.795432e+00 -2.157208e+02 +3.251753e+03 +3.258901e+03 -1.637039e+00 +3.281544e+04 +2.176971e+03
+1.668101e+03 +3.283959e+04 +3.386248e+00 -1.716103e+02 +2.900289e+03 +2.905362e+03 -1.629897e+00 +3.278225e+04 +1.939728e+03
+1.873817e+03 +3.281106e+04 +2.968337e+00 -1.340506e+02 +2.585172e+03 +2.588645e+03 -1.622604e+00 +3.276704e+04 +1.699091e+03
+2.104904e+03 +3.280317e+04 +2.630016e+00 -1.057682e+02 +2.302578e+03 +2.305005e+03 -1.616699e+00 +3.276862e+04 +1.505217e+03
+2.364489e+03 +3.279645e+04 +2.349864e+00 -8.415003e+01 +2.050646e+03 +2.052372e+03 -1.611809e+00 +3.276887e+04 +1.344699e+03
+2.656088e+03 +3.278109e+04 +2.074218e+00 -6.615936e+01 +1.826710e+03 +1.827908e+03 -1.606998e+00 +3.275961e+04 +1.186480e+03
+2.983647e+03 +3.277559e+04 +1.901125e+00 -5.399212e+01 +1.626609e+03 +1.627504e+03 -1.603977e+00 +3.275755e+04 +1.087323e+03
+3.351603e+03 +3.273976e+04 +1.613136e+00 -4.083036e+01 +1.449840e+03 +1.450415e+03 -1.598951e+00 +3.272678e+04 +9.216510e+02
+3.764936e+03 +3.268312e+04 +1.543616e+00 -3.484201e+01 +1.292949e+03 +1.293418e+03 -1.597738e+00 +3.267126e+04 +8.804156e+02
+4.229243e+03 +3.266892e+04 +1.248018e+00 -2.508919e+01 +1.151648e+03 +1.151921e+03 -1.592578e+00 +3.266117e+04 +7.115392e+02
+4.750810e+03 +3.262770e+04 +1.147486e+00 -2.056183e+01 +1.026547e+03 +1.026753e+03 -1.590824e+00 +3.262115e+04 +6.534044e+02
+5.336699e+03 +3.262060e+04 +9.502204e-01 -1.516133e+01 +9.141044e+02 +9.142301e+02 -1.587381e+00 +3.261611e+04 +5.409707e+02
+5.994843e+03 +3.257957e+04 +8.103301e-01 -1.152449e+01 +8.148047e+02 +8.148862e+02 -1.584939e+00 +3.257632e+04 +4.607552e+02
+6.734151e+03 +3.253460e+04 +7.407056e-01 -9.390804e+00 +7.263661e+02 +7.264268e+02 -1.583724e+00 +3.253188e+04 +4.205875e+02
+7.564633e+03 +3.246242e+04 +4.865307e-01 -5.503433e+00 +6.480906e+02 +6.481139e+02 -1.579288e+00 +3.246125e+04 +2.756533e+02
+8.497534e+03 +3.243664e+04 +3.167260e-01 -3.191907e+00 +5.774106e+02 +5.774194e+02 -1.576324e+00 +3.243614e+04 +1.793059e+02
+9.545485e+03 +3.235240e+04 +2.446461e-01 -2.200544e+00 +5.153612e+02 +5.153659e+02 -1.575066e+00 +3.235210e+04 +1.381404e+02
+1.072267e+04 +3.230224e+04 +1.314306e-01 -1.054042e+00 +4.594976e+02 +4.594988e+02 -1.573090e+00 +3.230216e+04 +7.409797e+01
+1.204504e+04 +3.222171e+04 +2.254108e-01 -1.613298e+00 +4.100720e+02 +4.100752e+02 -1.574730e+00 +3.222146e+04 +1.267651e+02
+1.353048e+04 +3.204994e+04 +4.806361e-01 -3.078707e+00 +3.669986e+02 +3.670115e+02 -1.579185e+00 +3.204882e+04 +2.688536e+02
+1.519911e+04 +3.199031e+04 +8.202421e-01 -4.685848e+00 +3.272948e+02 +3.273283e+02 -1.585112e+00 +3.198703e+04 +4.579552e+02
+1.707353e+04 +3.191983e+04 +1.312039e+00 -6.686864e+00 +2.919594e+02 +2.920360e+02 -1.593696e+00 +3.191146e+04 +7.308811e+02
+1.917910e+04 +3.181257e+04 +1.707143e+00 -7.770984e+00 +2.607356e+02 +2.608514e+02 -1.600592e+00 +3.179845e+04 +9.477235e+02
+2.154435e+04 +3.173070e+04 +1.794890e+00 -7.292080e+00 +2.326988e+02 +2.328130e+02 -1.602123e+00 +3.171513e+04 +9.938568e+02
+2.420128e+04 +3.159063e+04 +2.822219e+00 -1.024981e+01 +2.079201e+02 +2.081725e+02 -1.620053e+00 +3.155231e+04 +1.555431e+03
+2.718588e+04 +3.157904e+04 +3.248952e+00 -1.050668e+01 +1.850884e+02 +1.853864e+02 -1.627501e+00 +3.152828e+04 +1.789727e+03
+3.053856e+04 +3.167056e+04 +3.962087e+00 -1.137028e+01 +1.641635e+02 +1.645568e+02 -1.639948e+00 +3.159487e+04 +2.188321e+03
+3.430469e+04 +3.156168e+04 +4.845162e+00 -1.241579e+01 +1.464710e+02 +1.469963e+02 -1.655360e+00 +3.144890e+04 +2.665803e+03
