Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+2.682696e+02 +4.693507e+06 +1.386567e-01 -3.058927e-01 +1.264008e+02 +1.264012e+02 -1.573216e+00 +4.693493e+06 +1.135835e+04
+3.393222e+02 +5.217160e+06 -1.105375e-01 +1.734445e-01 +8.990274e+01 +8.990291e+01 -1.568867e+00 +5.217150e+06 -1.006517e+04
+4.291934e+02 +6.928312e+06 -2.666475e-01 +2.490881e-01 +5.352232e+01 +5.352290e+01 -1.566142e+00 +6.928237e+06 -3.224340e+04
+5.428675e+02 +7.087410e+06 -1.774418e-01 +1.281066e-01 +4.136534e+01 +4.136554e+01 -1.567699e+00 +7.087376e+06 -2.194927e+04
+6.866488e+02 +7.182271e+06 +6.108652e-02 -3.440696e-02 +3.227182e+01 +3.227183e+01 -1.571862e+00 +7.182267e+06 +7.657455e+03
+8.685114e+02 +7.355465e+06 +3.393696e-01 -1.475646e-01 +2.491305e+01 +2.491348e+01 -1.576719e+00 +7.355336e+06 +4.356702e+04
+1.098541e+03 +6.808917e+06 +1.696848e-01 -6.301522e-02 +2.127766e+01 +2.127775e+01 -1.573758e+00 +6.808887e+06 +2.016497e+04
+1.389495e+03 +6.611236e+06 -4.751174e-02 +1.436675e-02 +1.732528e+01 +1.732528e+01 -1.569967e+00 +6.611234e+06 -5.482276e+03
+1.757511e+03 +6.514944e+06 +1.221730e-01 -2.963902e-02 +1.389986e+01 +1.389989e+01 -1.572929e+00 +6.514930e+06 +1.389195e+04
+2.222996e+03 +5.709312e+06 +2.976756e-01 -6.515027e-02 +1.253983e+01 +1.254000e+01 -1.575992e+00 +5.709235e+06 +2.966214e+04
+2.811769e+03 +5.026271e+06 +5.652928e-01 -1.111062e-01 +1.126091e+01 +1.126146e+01 -1.580663e+00 +5.026026e+06 +4.958949e+04
+3.556480e+03 +3.140667e+06 +4.208183e-01 -1.046516e-01 +1.424840e+01 +1.424879e+01 -1.578141e+00 +3.140582e+06 +2.306694e+04
+4.498433e+03 +2.683514e+06 +5.003277e-01 -1.151281e-01 +1.318374e+01 +1.318424e+01 -1.579529e+00 +2.683412e+06 +2.343313e+04
+5.689866e+03 +2.314979e+06 +5.391128e-01 -1.136898e-01 +1.208236e+01 +1.208290e+01 -1.580206e+00 +2.314877e+06 +2.178200e+04
+7.196857e+03 +1.842493e+06 +5.449306e-01 -1.141520e-01 +1.200195e+01 +1.200249e+01 -1.580307e+00 +1.842410e+06 +1.752338e+04
+9.102982e+03 +1.352729e+06 +8.445454e-01 -1.905067e-01 +1.292345e+01 +1.292485e+01 -1.585536e+00 +1.352582e+06 +1.993864e+04
+1.151395e+04 +1.083875e+06 +8.445454e-01 -1.879754e-01 +1.275173e+01 +1.275312e+01 -1.585536e+00 +1.083757e+06 +1.597585e+04
+1.456348e+04 +8.374375e+05 +5.080847e-01 -1.157205e-01 +1.304924e+01 +1.304976e+01 -1.579664e+00 +8.374046e+05 +7.426090e+03
+1.842070e+04 +6.576181e+05 +1.619278e-01 -3.713115e-02 +1.313828e+01 +1.313833e+01 -1.573622e+00 +6.576154e+05 +1.858540e+03
+2.329952e+04 +5.101319e+05 +1.638670e-01 -3.829649e-02 +1.339026e+01 +1.339031e+01 -1.573656e+00 +5.101299e+05 +1.458985e+03
+2.947052e+04 +4.007431e+05 +1.638670e-01 -3.854204e-02 +1.347611e+01 +1.347617e+01 -1.573656e+00 +4.007414e+05 +1.146131e+03
+3.727594e+04 +3.189306e+05 -1.842292e-01 +4.304577e-02 +1.338731e+01 +1.338738e+01 -1.567581e+00 +3.189289e+05 -1.025489e+03
+4.714866e+04 +2.515694e+05 -5.119632e-01 +1.198956e-01 +1.341762e+01 +1.341816e+01 -1.561861e+00 +2.515594e+05 -2.247855e+03
+5.963623e+04 +1.990625e+05 -8.484239e-01 +1.985157e-01 +1.340519e+01 +1.340666e+01 -1.555989e+00 +1.990407e+05 -2.947568e+03
+7.543120e+04 +1.592014e+05 -1.185854e+00 +2.742837e-01 +1.325041e+01 +1.325325e+01 -1.550099e+00 +1.591673e+05 -3.294766e+03
+9.540955e+04 +1.257292e+05 -1.175188e+00 +2.721113e-01 +1.326481e+01 +1.326760e+01 -1.550285e+00 +1.257027e+05 -2.578638e+03
+1.206793e+05 +9.836111e+04 -1.161614e+00 +2.718150e-01 +1.340525e+01 +1.340800e+01 -1.550522e+00 +9.834090e+04 -1.994035e+03
+1.526418e+05 +7.806944e+04 -1.139312e+00 +2.655566e-01 +1.335303e+01 +1.335567e+01 -1.550912e+00 +7.805401e+04 -1.552289e+03
+1.930698e+05 +6.290972e+04 -1.459289e+00 +3.337028e-01 +1.309927e+01 +1.310352e+01 -1.545327e+00 +6.288932e+04 -1.602100e+03
+2.442053e+05 +4.959722e+04 -1.426322e+00 +3.270828e-01 +1.313630e+01 +1.314037e+01 -1.545902e+00 +4.958186e+04 -1.234546e+03
+3.088844e+05 +3.817361e+04 -1.386567e+00 +3.266155e-01 +1.349378e+01 +1.349774e+01 -1.546596e+00 +3.816243e+04 -9.237174e+02
+3.906940e+05 +3.050694e+04 -1.349721e+00 +3.145328e-01 +1.334947e+01 +1.335318e+01 -1.547239e+00 +3.049848e+04 -7.185881e+02
+4.941713e+05 +2.406944e+04 -1.298331e+00 +3.031811e-01 +1.337719e+01 +1.338063e+01 -1.548136e+00 +2.406327e+04 -5.453706e+02
+6.250552e+05 +1.947917e+04 -1.231427e+00 +2.809208e-01 +1.306866e+01 +1.307168e+01 -1.549304e+00 +1.947467e+04 -4.186228e+02
+7.906043e+05 +1.584722e+04 -1.155796e+00 +2.562340e-01 +1.270046e+01 +1.270304e+01 -1.550624e+00 +1.584400e+04 -3.196555e+02
+1.000000e+06 +1.303472e+04 -1.072408e+00 +2.285232e-01 +1.220794e+01 +1.221008e+01 -1.552079e+00 +1.303244e+04 -2.439573e+02
