Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +7.736817e+02 +1.041100e+00 -3.737694e+05 +2.056772e+07 +2.057111e+07 -1.588967e+00 +7.735540e+02 +1.405751e+01
+1.123324e+01 +1.485518e+03 +1.141327e+02 -8.703988e+06 -3.899440e+06 +9.537560e+06 +2.720398e+00 -6.073553e+02 +1.355685e+03
+1.261857e+01 +1.122361e+03 +2.014734e+01 -3.870665e+06 +1.055007e+07 +1.123771e+07 -1.922434e+00 +1.053683e+03 +3.865809e+02
+1.417474e+01 +1.119120e+03 +4.620799e+00 -8.082615e+05 +1.000033e+07 +1.003294e+07 -1.651444e+00 +1.115482e+03 +9.015715e+01
+1.592283e+01 +1.506954e+03 +5.186668e-03 -6.004346e+02 +6.632845e+06 +6.632845e+06 -1.570887e+00 +1.506954e+03 +1.364162e-01
+1.788650e+01 +1.507188e+03 +5.740440e-03 -5.914935e+02 +5.903743e+06 +5.903743e+06 -1.570897e+00 +1.507188e+03 +1.510045e-01
+2.009233e+01 +1.506970e+03 +8.735454e-03 -8.013978e+02 +5.256363e+06 +5.256363e+06 -1.570949e+00 +1.506970e+03 +2.297563e-01
+2.257020e+01 +1.507065e+03 +4.324070e-03 -3.531205e+02 +4.678997e+06 +4.678997e+06 -1.570872e+00 +1.507065e+03 +1.137371e-01
+2.535364e+01 +1.506964e+03 +6.969761e-03 -5.067248e+02 +4.165594e+06 +4.165594e+06 -1.570918e+00 +1.506964e+03 +1.833150e-01
+2.848036e+01 +1.506901e+03 +8.830505e-03 -5.715481e+02 +3.708428e+06 +3.708428e+06 -1.570950e+00 +1.506901e+03 +2.322457e-01
+3.199267e+01 +1.506933e+03 +1.144127e-02 -6.592155e+02 +3.301229e+06 +3.301229e+06 -1.570996e+00 +1.506933e+03 +3.009162e-01
+3.593814e+01 +1.506964e+03 +8.368753e-03 -4.292397e+02 +2.938744e+06 +2.938744e+06 -1.570942e+00 +1.506964e+03 +2.201106e-01
+4.037017e+01 +1.506874e+03 +1.132471e-02 -5.171150e+02 +2.616270e+06 +2.616270e+06 -1.570994e+00 +1.506874e+03 +2.978390e-01
+4.534879e+01 +1.506684e+03 +2.589014e-02 -1.052553e+03 +2.329337e+06 +2.329337e+06 -1.571248e+00 +1.506684e+03 +6.808226e-01
+5.094138e+01 +1.507111e+03 +3.694035e-02 -1.336542e+03 +2.073024e+06 +2.073024e+06 -1.571441e+00 +1.507110e+03 +9.716804e-01
+5.722368e+01 +1.507441e+03 +1.592803e-03 -5.129130e+01 +1.845033e+06 +1.845033e+06 -1.570824e+00 +1.507441e+03 +4.190634e-02
+6.428073e+01 +1.507138e+03 +1.461210e-02 -4.189638e+02 +1.642806e+06 +1.642807e+06 -1.571051e+00 +1.507138e+03 +3.843642e-01
+7.220809e+01 +1.507205e+03 +5.638265e-03 -1.439080e+02 +1.462386e+06 +1.462386e+06 -1.570895e+00 +1.507205e+03 +1.483184e-01
+8.111308e+01 +1.507144e+03 +1.605968e-02 -3.649127e+02 +1.301891e+06 +1.301891e+06 -1.571077e+00 +1.507143e+03 +4.224438e-01
+9.111628e+01 +1.506905e+03 +1.361653e-02 -2.754749e+02 +1.159147e+06 +1.159147e+06 -1.571034e+00 +1.506905e+03 +3.581208e-01
+1.023531e+02 +1.507023e+03 +1.129489e-02 -2.034036e+02 +1.031809e+06 +1.031809e+06 -1.570993e+00 +1.507023e+03 +2.970839e-01
+1.149757e+02 +1.507036e+03 +1.034946e-02 -1.659149e+02 +9.185236e+05 +9.185236e+05 -1.570977e+00 +1.507036e+03 +2.722193e-01
+1.291550e+02 +1.507121e+03 +1.846705e-02 -2.635334e+02 +8.176375e+05 +8.176376e+05 -1.571119e+00 +1.507121e+03 +4.857615e-01
+1.450829e+02 +1.507475e+03 +6.983750e-03 -8.869926e+01 +7.277026e+05 +7.277026e+05 -1.570918e+00 +1.507475e+03 +1.837452e-01
+1.629751e+02 +1.506631e+03 +2.378693e-02 -2.690963e+02 +6.481746e+05 +6.481746e+05 -1.571211e+00 +1.506631e+03 +6.254933e-01
+1.830738e+02 +1.506794e+03 +1.798536e-02 -1.811075e+02 +5.769525e+05 +5.769526e+05 -1.571110e+00 +1.506793e+03 +4.729880e-01
+2.056512e+02 +1.507065e+03 +2.284729e-02 -2.047713e+02 +5.135195e+05 +5.135195e+05 -1.571195e+00 +1.507064e+03 +6.009577e-01
+2.310130e+02 +1.506989e+03 +2.863134e-02 -2.284508e+02 +4.571657e+05 +4.571658e+05 -1.571296e+00 +1.506989e+03 +7.530591e-01
+2.595024e+02 +1.506789e+03 +2.403638e-02 -1.707547e+02 +4.070297e+05 +4.070298e+05 -1.571216e+00 +1.506789e+03 +6.321192e-01
+2.915053e+02 +1.507325e+03 +2.429075e-02 -1.535625e+02 +3.622152e+05 +3.622153e+05 -1.571220e+00 +1.507325e+03 +6.390359e-01
+3.274549e+02 +1.507243e+03 +3.006634e-02 -1.692167e+02 +3.224670e+05 +3.224671e+05 -1.571321e+00 +1.507243e+03 +7.909357e-01
+3.678380e+02 +1.507227e+03 +3.395035e-02 -1.701008e+02 +2.870680e+05 +2.870680e+05 -1.571389e+00 +1.507227e+03 +8.931005e-01
+4.132012e+02 +1.507058e+03 +3.361187e-02 -1.499334e+02 +2.555809e+05 +2.555809e+05 -1.571383e+00 +1.507058e+03 +8.840973e-01
+4.641589e+02 +1.507329e+03 +4.500737e-02 -1.786925e+02 +2.274810e+05 +2.274811e+05 -1.571582e+00 +1.507329e+03 +1.184048e+00
+5.214008e+02 +1.507236e+03 +4.553514e-02 -1.609501e+02 +2.025196e+05 +2.025196e+05 -1.571591e+00 +1.507236e+03 +1.197858e+00
+5.857021e+02 +1.507178e+03 +5.485905e-02 -1.726253e+02 +1.802929e+05 +1.802930e+05 -1.571754e+00 +1.507177e+03 +1.443079e+00
+6.579332e+02 +1.507327e+03 +5.231771e-02 -1.465403e+02 +1.604836e+05 +1.604837e+05 -1.571709e+00 +1.507326e+03 +1.376364e+00
+7.390722e+02 +1.507188e+03 +6.077606e-02 -1.515569e+02 +1.428781e+05 +1.428781e+05 -1.571857e+00 +1.507187e+03 +1.598738e+00
+8.302176e+02 +1.507372e+03 +6.805886e-02 -1.510671e+02 +1.271767e+05 +1.271768e+05 -1.571984e+00 +1.507371e+03 +1.790533e+00
+9.326033e+02 +1.507281e+03 +7.483528e-02 -1.478811e+02 +1.132214e+05 +1.132215e+05 -1.572102e+00 +1.507279e+03 +1.968692e+00
+1.047616e+03 +1.507458e+03 +8.393367e-02 -1.476339e+02 +1.007795e+05 +1.007796e+05 -1.572261e+00 +1.507457e+03 +2.208304e+00
+1.176812e+03 +1.507002e+03 +9.721392e-02 -1.522667e+02 +8.974258e+04 +8.974271e+04 -1.572493e+00 +1.507000e+03 +2.556934e+00
+1.321941e+03 +1.507313e+03 +1.057186e-01 -1.473781e+02 +7.987370e+04 +7.987383e+04 -1.572641e+00 +1.507311e+03 +2.781199e+00
+1.484968e+03 +1.507235e+03 +1.164990e-01 -1.445844e+02 +7.110845e+04 +7.110860e+04 -1.572830e+00 +1.507231e+03 +3.064645e+00
+1.668101e+03 +1.507176e+03 +1.341677e-01 -1.482378e+02 +6.330424e+04 +6.330442e+04 -1.573138e+00 +1.507172e+03 +3.529303e+00
+1.873817e+03 +1.507252e+03 +1.458764e-01 -1.434726e+02 +5.635152e+04 +5.635170e+04 -1.573342e+00 +1.507247e+03 +3.837495e+00
+2.104904e+03 +1.507145e+03 +1.687758e-01 -1.477813e+02 +5.016847e+04 +5.016869e+04 -1.573742e+00 +1.507138e+03 +4.439580e+00
+2.364489e+03 +1.507057e+03 +1.948118e-01 -1.518606e+02 +4.466329e+04 +4.466355e+04 -1.574196e+00 +1.507048e+03 +5.124145e+00
+2.656088e+03 +1.507211e+03 +2.053203e-01 -1.424662e+02 +3.975582e+04 +3.975608e+04 -1.574380e+00 +1.507202e+03 +5.401105e+00
+2.983647e+03 +1.506843e+03 +2.325591e-01 -1.436859e+02 +3.539982e+04 +3.540012e+04 -1.574855e+00 +1.506831e+03 +6.116140e+00
+3.351603e+03 +1.506470e+03 +2.590418e-01 -1.425125e+02 +3.152120e+04 +3.152152e+04 -1.575317e+00 +1.506454e+03 +6.810927e+00
+3.764936e+03 +1.506369e+03 +2.911422e-01 -1.425975e+02 +2.806246e+04 +2.806282e+04 -1.575878e+00 +1.506349e+03 +7.654412e+00
+4.229243e+03 +1.506034e+03 +3.333121e-01 -1.453613e+02 +2.498707e+04 +2.498750e+04 -1.576614e+00 +1.506008e+03 +8.761143e+00
+4.750810e+03 +1.505586e+03 +3.673158e-01 -1.426464e+02 +2.225040e+04 +2.225086e+04 -1.577207e+00 +1.505556e+03 +9.652052e+00
+5.336699e+03 +1.505176e+03 +4.118998e-01 -1.424378e+02 +1.981294e+04 +1.981345e+04 -1.577985e+00 +1.505137e+03 +1.082063e+01
+5.994843e+03 +1.504385e+03 +4.672841e-01 -1.439253e+02 +1.764692e+04 +1.764751e+04 -1.578952e+00 +1.504335e+03 +1.226909e+01
+6.734151e+03 +1.503578e+03 +5.301055e-01 -1.454270e+02 +1.571784e+04 +1.571851e+04 -1.580048e+00 +1.503513e+03 +1.391103e+01
+7.564633e+03 +1.502646e+03 +6.034665e-01 -1.474681e+02 +1.400076e+04 +1.400153e+04 -1.581329e+00 +1.502563e+03 +1.582629e+01
