Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +3.529499e+00 +1.789475e+02 +2.271895e+09 -2.271895e+09 +3.212944e+09 +7.853982e-01 -3.502692e+00 -3.502692e+00
+1.123105e+01 +3.243559e+00 +6.842649e+01 -2.829024e+09 +2.829024e+09 +4.000845e+09 -2.356194e+00 +2.504571e+00 +2.504571e+00
+1.261364e+01 +3.226545e+00 +1.688269e+02 -2.863420e+09 +2.863420e+09 +4.049488e+09 -2.356194e+00 +2.203255e+00 +2.203255e+00
+1.416643e+01 +4.125714e+00 +1.796105e+02 +1.587101e+09 -1.587101e+09 +2.244500e+09 +7.853982e-01 -3.539363e+00 -3.539363e+00
+1.591038e+01 +4.859552e+00 +1.739251e+02 +2.451448e+09 -2.451448e+09 +3.466871e+09 +7.853982e-01 -2.040266e+00 -2.040266e+00
+1.786902e+01 +4.815974e+00 +1.724531e+02 +9.789777e+08 -9.789777e+08 +1.384484e+09 +7.853982e-01 -4.549006e+00 -4.549006e+00
+2.006878e+01 +4.778017e+00 +1.709349e+02 -2.983779e+09 +2.983779e+09 +4.219701e+09 -2.356194e+00 +1.328931e+00 +1.328931e+00
+2.253934e+01 +4.736431e+00 +1.693914e+02 -7.702482e+08 +7.702482e+08 +1.089295e+09 -2.356194e+00 +4.583722e+00 +4.583722e+00
+2.531403e+01 +4.699920e+00 +1.679200e+02 +4.327961e+09 -4.327961e+09 +6.120661e+09 +7.853982e-01 -7.263492e-01 -7.263492e-01
+2.843030e+01 +4.662229e+00 +1.663894e+02 +6.043557e+08 -6.043557e+08 +8.546880e+08 +7.853982e-01 -4.631440e+00 -4.631440e+00
+3.193020e+01 +4.626518e+00 +1.648760e+02 -9.358412e+09 +9.358412e+09 +1.323479e+10 -2.356194e+00 +2.663093e-01 +2.663093e-01
+3.586095e+01 +4.589354e+00 +1.633455e+02 -4.835949e+08 +4.835949e+08 +6.839064e+08 -2.356194e+00 +4.588668e+00 +4.588668e+00
+4.027560e+01 +4.548254e+00 +1.618318e+02 -1.092291e+10 +1.092291e+10 +1.544732e+10 -2.356194e+00 +1.808880e-01 +1.808880e-01
+4.523371e+01 +4.522178e+00 +1.602589e+02 +3.893036e+08 -3.893036e+08 +5.505585e+08 +7.853982e-01 -4.518971e+00 -4.518971e+00
+5.080218e+01 +4.470826e+00 +1.588773e+02 +1.557527e+09 -1.557527e+09 +2.202676e+09 +7.853982e-01 -1.005709e+00 -1.005709e+00
+5.705616e+01 +4.438923e+00 +1.573094e+02 -3.226819e+08 +3.226819e+08 +4.563411e+08 -2.356194e+00 +4.322281e+00 +4.322281e+00
