Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +5.002235e+00 +1.799875e+02 +2.614616e+09 -2.614616e+09 +3.697625e+09 +7.853982e-01 -3.043562e+00 -3.043562e+00
+1.123105e+01 +3.192641e+00 +6.668022e+01 +2.918378e+09 -2.918378e+09 +4.127210e+09 +7.853982e-01 -2.427887e+00 -2.427887e+00
+1.261364e+01 +3.253872e+00 +1.718824e+02 +3.139830e+09 -3.139830e+09 +4.440390e+09 +7.853982e-01 -2.009295e+00 -2.009295e+00
+1.416643e+01 +4.120201e+00 +1.799376e+02 +2.106451e+09 -2.106451e+09 +2.978972e+09 +7.853982e-01 -2.666725e+00 -2.666725e+00
+1.591038e+01 +4.857341e+00 +1.739169e+02 +2.410074e+09 -2.410074e+09 +3.408359e+09 +7.853982e-01 -2.075291e+00 -2.075291e+00
+1.786902e+01 +4.815897e+00 +1.724423e+02 +9.827457e+08 -9.827457e+08 +1.389812e+09 +7.853982e-01 -4.531564e+00 -4.531564e+00
+2.006878e+01 +4.778551e+00 +1.709507e+02 -3.155219e+09 +3.155219e+09 +4.462153e+09 -2.356194e+00 +1.256723e+00 +1.256723e+00
+2.253934e+01 +4.740423e+00 +1.693633e+02 -7.755720e+08 +7.755720e+08 +1.096824e+09 -2.356194e+00 +4.552257e+00 +4.552257e+00
+2.531403e+01 +4.699980e+00 +1.679217e+02 +4.375265e+09 -4.375265e+09 +6.187559e+09 +7.853982e-01 -7.184961e-01 -7.184961e-01
+2.843030e+01 +4.666913e+00 +1.663269e+02 +6.093322e+08 -6.093322e+08 +8.617259e+08 +7.853982e-01 -4.593614e+00 -4.593614e+00
+3.193020e+01 +4.626303e+00 +1.648757e+02 -9.305603e+09 +9.305603e+09 +1.316011e+10 -2.356194e+00 +2.678206e-01 +2.678206e-01
+3.586095e+01 +4.588688e+00 +1.633323e+02 -4.838178e+08 +4.838178e+08 +6.842217e+08 -2.356194e+00 +4.586553e+00 +4.586553e+00
+4.027560e+01 +4.546913e+00 +1.618186e+02 -1.632927e+10 +1.632927e+10 +2.309308e+10 -2.356194e+00 +1.209989e-01 +1.209989e-01
+4.523371e+01 +4.514707e+00 +1.603119e+02 +3.912796e+08 -3.912796e+08 +5.533530e+08 +7.853982e-01 -4.496149e+00 -4.496149e+00
+5.080218e+01 +4.477933e+00 +1.588536e+02 +1.733770e+09 -1.733770e+09 +2.451920e+09 +7.853982e-01 -9.034755e-01 -9.034755e-01
+5.705616e+01 +4.434087e+00 +1.573129e+02 -3.233000e+08 +3.233000e+08 +4.572153e+08 -2.356194e+00 +4.314017e+00 +4.314017e+00
+6.408003e+01 +4.397970e+00 +1.558173e+02 -9.301687e+08 +9.301687e+08 +1.315457e+09 -2.356194e+00 +1.335075e+00 +1.335075e+00
+7.196857e+01 +4.359969e+00 +1.542771e+02 +2.689158e+08 -2.689158e+08 +3.803044e+08 +7.853982e-01 -4.111790e+00 -4.111790e+00
+8.082822e+01 +4.323245e+00 +1.527885e+02 +5.569375e+08 -5.569375e+08 +7.876286e+08 +7.853982e-01 -1.767749e+00 -1.767749e+00
