Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.053621e+01 +6.950900e+04 +1.097661e+02 -5.315732e+04 -1.910224e+04 +5.648537e+04 +2.796610e+00 -2.350658e+04 +6.541362e+04
+4.436687e+01 +6.571400e+04 +1.097661e+02 -5.137248e+04 -1.846085e+04 +5.458878e+04 +2.796610e+00 -2.222318e+04 +6.184222e+04
+4.641589e+01 +6.346500e+04 -0.000000e+00 +0.000000e+00 +5.402804e+04 +5.402804e+04 -1.570796e+00 +6.346500e+04 -0.000000e+00
+4.855953e+01 +6.232200e+04 +1.097661e+02 -4.949159e+04 -1.778495e+04 +5.259013e+04 +2.796610e+00 -2.107608e+04 +5.865007e+04
+5.080218e+01 +5.925800e+04 +1.097661e+02 -4.975285e+04 -1.787883e+04 +5.286775e+04 +2.796610e+00 -2.003989e+04 +5.576660e+04
+5.314840e+01 +5.831700e+04 +5.846042e+01 -4.376396e+04 +2.686019e+04 +5.134933e+04 -2.591123e+00 +3.050489e+04 +4.970236e+04
+5.817091e+01 +5.479100e+04 +1.097661e+02 -4.699289e+04 -1.688704e+04 +4.993500e+04 +2.796610e+00 -1.852924e+04 +5.156279e+04
+6.085745e+01 +5.238500e+04 +5.497690e+01 -4.088287e+04 +2.865106e+04 +4.992286e+04 -2.530324e+00 +3.006410e+04 +4.289916e+04
+6.660846e+01 +5.019100e+04 +1.097661e+02 -4.480144e+04 -1.609953e+04 +4.760635e+04 +2.796610e+00 -1.697361e+04 +4.723381e+04
+6.968467e+01 +4.884000e+04 +1.094727e+02 -4.408867e+04 -1.558897e+04 +4.676352e+04 +2.801730e+00 -1.628118e+04 +4.604638e+04
+7.290295e+01 +4.815700e+04 +5.392648e+01 -3.664104e+04 +2.669318e+04 +4.533312e+04 -2.511991e+00 +2.835594e+04 +3.892348e+04
+7.626986e+01 +4.691000e+04 +1.070047e+02 -4.253899e+04 -1.300930e+04 +4.448379e+04 +2.844804e+00 -1.371885e+04 +4.485913e+04
+7.979226e+01 +4.571200e+04 +4.910890e+01 -3.298566e+04 +2.856411e+04 +4.363441e+04 -2.427908e+00 +2.992414e+04 +3.455622e+04
+8.347734e+01 +4.513500e+04 +5.009361e+01 -3.240309e+04 +2.709933e+04 +4.224138e+04 -2.445095e+00 +2.895569e+04 +3.462277e+04
+8.733262e+01 +4.403600e+04 -6.276503e+00 +4.524410e+03 +4.113625e+04 +4.138432e+04 -1.461251e+00 +4.377204e+04 -4.814310e+03
+9.136594e+01 +4.195400e+04 +4.474528e+01 -2.922861e+04 +2.948965e+04 +4.152049e+04 -2.351749e+00 +2.979755e+04 +2.953378e+04
+9.558553e+01 +4.146500e+04 +4.574340e+01 -2.876032e+04 +2.802352e+04 +4.015562e+04 -2.369169e+00 +2.893730e+04 +2.969813e+04
+1.000000e+02 +4.098800e+04 +4.454948e+01 -2.723996e+04 +2.767175e+04 +3.882964e+04 -2.348331e+00 +2.920989e+04 +2.875411e+04
+1.046183e+02 +3.961900e+04 +4.326236e+01 -2.631570e+04 +2.796233e+04 +3.839802e+04 -2.325867e+00 +2.885148e+04 +2.715249e+04
+1.094500e+02 +3.876500e+04 +4.191991e+01 -2.506111e+04 +2.791155e+04 +3.751152e+04 -2.302437e+00 +2.884424e+04 +2.589855e+04
+1.145048e+02 +3.835700e+04 +4.070386e+01 -2.363193e+04 +2.747090e+04 +3.623698e+04 -2.281213e+00 +2.907807e+04 +2.501450e+04
+1.197930e+02 +3.793700e+04 +3.869522e+01 -2.189420e+04 +2.733310e+04 +3.502078e+04 -2.246155e+00 +2.960917e+04 +2.371736e+04
+1.253254e+02 +3.752500e+04 +3.812794e+01 -2.089491e+04 +2.662153e+04 +3.384233e+04 -2.236254e+00 +2.951844e+04 +2.316867e+04
+1.311134e+02 +3.675700e+04 +3.668524e+01 -1.972930e+04 +2.648312e+04 +3.302425e+04 -2.211075e+00 +2.947652e+04 +2.195932e+04
+1.371687e+02 +3.637000e+04 +3.649481e+01 -1.897389e+04 +2.564660e+04 +3.190230e+04 -2.207751e+00 +2.923823e+04 +2.163105e+04
+1.435036e+02 +3.562700e+04 +3.385752e+01 -1.734341e+04 +2.585109e+04 +3.112993e+04 -2.161722e+00 +2.958557e+04 +1.984886e+04
+1.501311e+02 +3.493200e+04 +3.264014e+01 -1.636837e+04 +2.555505e+04 +3.034772e+04 -2.140474e+00 +2.941536e+04 +1.884095e+04
+1.570646e+02 +3.492300e+04 +3.400873e+01 -1.622893e+04 +2.405247e+04 +2.901551e+04 -2.164361e+00 +2.894950e+04 +1.953311e+04
+1.643184e+02 +3.458000e+04 +3.223506e+01 -1.494022e+04 +2.369250e+04 +2.800973e+04 -2.133404e+00 +2.925008e+04 +1.844476e+04
+1.719072e+02 +3.425400e+04 +2.937733e+01 -1.325885e+04 +2.355246e+04 +2.702805e+04 -2.083527e+00 +2.984921e+04 +1.680361e+04
+1.798465e+02 +3.391500e+04 +2.846400e+01 -1.243616e+04 +2.293892e+04 +2.609314e+04 -2.067587e+00 +2.981524e+04 +1.616411e+04
+1.881524e+02 +3.329300e+04 -2.795549e+01 +1.191054e+04 +2.244252e+04 +2.540723e+04 -1.082881e+00 +2.940811e+04 -1.560728e+04
+1.968419e+02 +3.328400e+04 +2.714194e+01 -1.108202e+04 +2.161713e+04 +2.429221e+04 -2.044513e+00 +2.961874e+04 +1.518404e+04
+2.059328e+02 +3.327500e+04 +2.609347e+01 -1.021570e+04 +2.085886e+04 +2.322612e+04 -2.026213e+00 +2.988354e+04 +1.463557e+04
+2.154435e+02 +3.266600e+04 +2.392064e+01 -9.169605e+03 +2.067228e+04 +2.261470e+04 -1.988290e+00 +2.986025e+04 +1.324511e+04
+2.253934e+02 +3.235700e+04 +2.291968e+01 -8.498682e+03 +2.009994e+04 +2.182281e+04 -1.970820e+00 +2.980247e+04 +1.260112e+04
+2.358028e+02 +3.238300e+04 +2.205758e+01 -7.827231e+03 +1.931716e+04 +2.084270e+04 -1.955774e+00 +3.001279e+04 +1.216105e+04
+2.466930e+02 +3.177100e+04 +2.158712e+01 -7.471031e+03 +1.888207e+04 +2.030637e+04 -1.947563e+00 +2.954256e+04 +1.168905e+04
+2.580862e+02 +3.207000e+04 +2.168667e+01 -7.105698e+03 +1.786793e+04 +1.922899e+04 -1.949300e+00 +2.980004e+04 +1.185084e+04
+2.700055e+02 +3.123200e+04 -3.536694e+01 +1.092407e+04 +1.539046e+04 +1.887330e+04 -9.535268e-01 +2.546851e+04 -1.807742e+04
+2.824752e+02 +3.149500e+04 +2.002148e+01 -6.124871e+03 +1.680833e+04 +1.788950e+04 -1.920237e+00 +2.959158e+04 +1.078302e+04
+2.955209e+02 +3.150400e+04 +1.781537e+01 -5.230191e+03 +1.627514e+04 +1.709489e+04 -1.881733e+00 +2.999330e+04 +9.638669e+03
+3.091691e+02 +3.148600e+04 +1.758778e+01 -4.940297e+03 +1.558532e+04 +1.634958e+04 -1.877761e+00 +3.001419e+04 +9.514018e+03
+3.234476e+02 +3.094800e+04 +1.832743e+01 -4.999552e+03 +1.509300e+04 +1.589951e+04 -1.890670e+00 +2.937816e+04 +9.731506e+03
+3.383855e+02 +3.122400e+04 +1.610817e+01 -4.179336e+03 +1.447190e+04 +1.506329e+04 -1.851937e+00 +2.999813e+04 +8.663152e+03
+3.540133e+02 +3.094000e+04 +1.545908e+01 -3.873103e+03 +1.400479e+04 +1.453049e+04 -1.840608e+00 +2.982062e+04 +8.247060e+03
+3.703629e+02 +3.094800e+04 +1.446066e+01 -3.467409e+03 +1.344555e+04 +1.388545e+04 -1.823182e+00 +2.996755e+04 +7.728186e+03
+3.874675e+02 +3.094800e+04 +1.377167e+01 -3.159558e+03 +1.289093e+04 +1.327249e+04 -1.811157e+00 +3.005831e+04 +7.367271e+03
+4.053621e+02 +3.067700e+04 -4.159033e+01 +8.495743e+03 +9.572238e+03 +1.279865e+04 -8.449081e-01 +2.294364e+04 -2.036339e+04
+4.240831e+02 +3.067700e+04 +1.275058e+01 -2.700058e+03 +1.193197e+04 +1.223366e+04 -1.793336e+00 +2.992051e+04 +6.770641e+03
+4.436687e+02 +3.066900e+04 +1.228861e+01 -2.489471e+03 +1.142866e+04 +1.169666e+04 -1.785273e+00 +2.996631e+04 +6.527471e+03
