Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.240831e+01 +6.694500e+04 +7.493431e+01 -5.413287e+04 +1.457140e+04 +5.605973e+04 -2.878647e+00 +1.740077e+04 +6.464400e+04
+4.436687e+01 +6.573200e+04 +7.792226e+01 -5.336582e+04 +1.141896e+04 +5.457383e+04 -2.930796e+00 +1.375368e+04 +6.427700e+04
+4.641589e+01 +6.343100e+04 +7.627198e+01 -5.251276e+04 +1.282844e+04 +5.405700e+04 -2.901994e+00 +1.505301e+04 +6.161898e+04
+4.855953e+01 +6.026200e+04 +4.458800e+01 -3.818050e+04 +3.873358e+04 +5.438787e+04 -2.349004e+00 +4.291697e+04 +4.230416e+04
+5.314840e+01 +5.831700e+04 +7.222914e+01 -4.889918e+04 +1.567239e+04 +5.134933e+04 -2.831433e+00 +1.779900e+04 +5.553439e+04
+5.560298e+01 +5.650700e+04 +6.691163e+01 -4.659732e+04 +1.986427e+04 +5.065471e+04 -2.738624e+00 +2.215925e+04 +5.198085e+04
+5.817091e+01 +5.476100e+04 +6.522181e+01 -4.536267e+04 +2.093955e+04 +4.996235e+04 -2.709132e+00 +2.295070e+04 +4.971954e+04
+6.366805e+01 +5.240000e+04 +6.620284e+01 -4.364944e+04 +1.924912e+04 +4.770537e+04 -2.726254e+00 +2.114340e+04 +4.794493e+04
+6.660846e+01 +5.020500e+04 +6.492183e+01 -4.310649e+04 +2.017253e+04 +4.759307e+04 -2.703896e+00 +2.127961e+04 +4.547219e+04
+6.968467e+01 +4.882600e+04 +6.368153e+01 -4.192820e+04 +2.073903e+04 +4.677693e+04 -2.682249e+00 +2.164750e+04 +4.376487e+04
+7.290295e+01 +4.754500e+04 +3.910199e+01 -2.895976e+04 +3.563244e+04 +4.591665e+04 -2.253255e+00 +3.689608e+04 +2.998676e+04
+7.979226e+01 +4.514800e+04 +5.886279e+01 -3.781463e+04 +2.284475e+04 +4.417950e+04 -2.598146e+00 +2.334555e+04 +3.864359e+04
+8.347734e+01 +4.402400e+04 +5.801448e+01 -3.673255e+04 +2.294013e+04 +4.330739e+04 -2.583340e+00 +2.331973e+04 +3.734037e+04
+8.733262e+01 +4.348800e+04 +5.593432e+01 -3.471460e+04 +2.347324e+04 +4.190581e+04 -2.547034e+00 +2.435949e+04 +3.602529e+04
+9.136594e+01 +4.195400e+04 +5.496709e+01 -3.399791e+04 +2.383470e+04 +4.152049e+04 -2.530153e+00 +2.408356e+04 +3.435288e+04
+9.558553e+01 +4.194200e+04 +5.317541e+01 -3.177797e+04 +2.379424e+04 +3.969893e+04 -2.498882e+00 +2.513866e+04 +3.357349e+04
+1.000000e+02 +4.052200e+04 +5.211245e+01 -3.099745e+04 +2.412004e+04 +3.927618e+04 -2.480330e+00 +2.488512e+04 +3.198067e+04
+1.046183e+02 +3.961900e+04 +4.984118e+01 -2.934606e+04 +2.476321e+04 +3.839802e+04 -2.440689e+00 +2.555063e+04 +3.027921e+04
+1.094500e+02 +3.961900e+04 +4.893412e+01 -2.767236e+04 +2.411113e+04 +3.670295e+04 -2.424858e+00 +2.602676e+04 +2.987093e+04
+1.145048e+02 +3.875500e+04 +4.730373e+01 -2.635917e+04 +2.432037e+04 +3.586484e+04 -2.396402e+00 +2.628022e+04 +2.848333e+04
+1.197930e+02 +3.791600e+04 +4.676388e+01 -2.552806e+04 +2.400275e+04 +3.504017e+04 -2.386980e+00 +2.597271e+04 +2.762321e+04
+1.253254e+02 +3.793700e+04 +4.452558e+01 -2.347345e+04 +2.386544e+04 +3.347480e+04 -2.347914e+00 +2.704671e+04 +2.660247e+04
+1.311134e+02 +3.673700e+04 +4.353426e+01 -2.275910e+04 +2.395438e+04 +3.304223e+04 -2.330613e+00 +2.663295e+04 +2.530401e+04
+1.371687e+02 +3.599000e+04 +4.208580e+01 -2.160805e+04 +2.392601e+04 +3.223914e+04 -2.305332e+00 +2.670969e+04 +2.412204e+04
+1.435036e+02 +3.600900e+04 +4.116868e+01 -2.027476e+04 +2.318523e+04 +3.079969e+04 -2.289325e+00 +2.710667e+04 +2.370393e+04
+1.501311e+02 +3.528100e+04 +3.923523e+01 -1.900523e+04 +2.327348e+04 +3.004752e+04 -2.255580e+00 +2.732710e+04 +2.231543e+04
+1.570646e+02 +3.528100e+04 +3.806448e+01 -1.770792e+04 +2.261261e+04 +2.872108e+04 -2.235147e+00 +2.777735e+04 +2.175243e+04
+1.643184e+02 +3.425400e+04 +3.680649e+01 -1.694073e+04 +2.263980e+04 +2.827630e+04 -2.213191e+00 +2.742593e+04 +2.052206e+04
+1.719072e+02 +3.425400e+04 +3.558628e+01 -1.572839e+04 +2.198030e+04 +2.702805e+04 -2.191894e+00 +2.785673e+04 +1.993337e+04
+1.798465e+02 +3.361100e+04 +3.482179e+01 -1.503462e+04 +2.161444e+04 +2.632914e+04 -2.178551e+00 +2.759235e+04 +1.919275e+04
+1.881524e+02 +3.392500e+04 +3.080365e+01 -1.276860e+04 +2.141642e+04 +2.493391e+04 -2.108421e+00 +2.913911e+04 +1.737291e+04
+1.968419e+02 +3.329300e+04 +3.222174e+01 -1.294904e+04 +2.054543e+04 +2.428564e+04 -2.133172e+00 +2.816558e+04 +1.775174e+04
+2.059328e+02 +3.329300e+04 +3.116966e+01 -1.201473e+04 +1.986241e+04 +2.321356e+04 -2.114809e+00 +2.848677e+04 +1.723159e+04
+2.154435e+02 +3.267500e+04 +2.839986e+01 -1.075309e+04 +1.988754e+04 +2.260847e+04 -2.066467e+00 +2.874255e+04 +1.554095e+04
+2.253934e+02 +3.237500e+04 +2.765436e+01 -1.012314e+04 +1.931911e+04 +2.181068e+04 -2.053456e+00 +2.867660e+04 +1.502642e+04
