Freq           Z_mod            Z_Fase              Err            Eri             E_mod             E_fase             R             X
+4.000000e+001 +3.501862e+002 -3.114007e+000 +3.133929e+005 -1.135784e+007 +1.136216e+007 +1.543211e+000 -3.500530e+002 -9.658888e+000
+4.102559e+001 +3.480773e+002 +3.050378e+000 -1.015195e+006 -1.109891e+007 +1.114524e+007 +1.662010e+000 -3.466303e+002 +3.170557e+001
+4.207748e+001 +3.504084e+002 +2.992917e+000 -1.598950e+006 -1.067526e+007 +1.079434e+007 +1.719472e+000 -3.465427e+002 +5.190549e+001
+4.315633e+001 +3.475371e+002 +2.960584e+000 -1.910294e+006 -1.043808e+007 +1.061144e+007 +1.751805e+000 -3.418592e+002 +6.256433e+001
+4.426285e+001 +3.451860e+002 +2.942701e+000 -2.058149e+006 -1.021129e+007 +1.041664e+007 +1.769688e+000 -3.383811e+002 +6.820285e+001
+4.539774e+001 +3.440614e+002 +2.930291e+000 -2.137055e+006 -9.962805e+006 +1.018943e+007 +1.782098e+000 -3.364091e+002 +7.216089e+001
+4.656173e+001 +3.443031e+002 +2.915419e+000 -2.226294e+006 -9.674890e+006 +9.927733e+006 +1.796970e+000 -3.355343e+002 +7.720996e+001
+4.775556e+001 +3.440885e+002 +2.906300e+000 -2.257979e+006 -9.418714e+006 +9.685590e+006 +1.806089e+000 -3.346075e+002 +8.021655e+001
+4.898000e+001 +3.430201e+002 +2.899890e+000 -2.267394e+006 -9.197515e+006 +9.472874e+006 +1.812499e+000 -3.330491e+002 +8.210408e+001
+5.023584e+001 +3.416881e+002 +2.896117e+000 -2.253278e+006 -8.994109e+006 +9.272069e+006 +1.816272e+000 -3.314449e+002 +8.303629e+001
+5.152387e+001 +3.401318e+002 +2.894041e+000 -2.225287e+006 -8.804791e+006 +9.081644e+006 +1.818348e+000 -3.297629e+002 +8.334293e+001
+5.284493e+001 +3.387432e+002 +2.892778e+000 -2.189437e+006 -8.617112e+006 +8.890909e+006 +1.819611e+000 -3.283116e+002 +8.341745e+001
+5.419986e+001 +3.368601e+002 +2.892458e+000 -2.149337e+006 -8.447977e+006 +8.717108e+006 +1.819931e+000 -3.264599e+002 +8.305801e+001
+5.558954e+001 +3.362717e+002 +2.887901e+000 -2.136852e+006 -8.241547e+006 +8.514061e+006 +1.824488e+000 -3.255085e+002 +8.439720e+001
+5.701484e+001 +3.341707e+002 +2.887902e+000 -2.096527e+006 -8.086040e+006 +8.353411e+006 +1.824487e+000 -3.234748e+002 +8.386969e+001
+5.847668e+001 +3.327831e+002 +2.888783e+000 -2.045664e+006 -7.918577e+006 +8.178545e+006 +1.823606e+000 -3.222051e+002 +8.323759e+001
+5.997601e+001 +3.312944e+002 +2.890212e+000 -1.992401e+006 -7.758172e+006 +8.009925e+006 +1.822177e+000 -3.208818e+002 +8.240668e+001
+6.151378e+001 +3.296685e+002 +2.892410e+000 -1.935460e+006 -7.605805e+006 +7.848202e+006 +1.819979e+000 -3.194865e+002 +8.130019e+001
+6.309098e+001 +3.280354e+002 +2.894389e+000 -1.881720e+006 -7.456326e+006 +7.690101e+006 +1.818000e+000 -3.180633e+002 +8.026823e+001
+6.470862e+001 +3.266305e+002 +2.897052e+000 -1.823121e+006 -7.306077e+006 +7.530108e+006 +1.815337e+000 -3.169128e+002 +7.908081e+001
+6.636773e+001 +3.251360e+002 +2.899426e+000 -1.768723e+006 -7.160397e+006 +7.375613e+006 +1.812963e+000 -3.156487e+002 +7.796983e+001
