Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+02 +2.208021e+01 +2.500713e+00 -4.309689e+07 -5.777747e+07 +7.208036e+07 +2.211676e+00 -1.769884e+01 +1.320177e+01
+1.206793e+02 +1.193296e+01 +2.110671e+00 -9.480073e+07 -5.681025e+07 +1.105196e+08 +2.601718e+00 -6.133884e+00 +1.023577e+01
+1.456348e+02 +7.396853e+00 +3.295262e-01 -4.780896e+07 +1.397941e+08 +1.477433e+08 -1.900323e+00 +6.998871e+00 +2.393583e+00
+1.757511e+02 +2.939883e+00 +2.097305e+00 -2.663119e+08 -1.547904e+08 +3.080293e+08 +2.615084e+00 -1.477345e+00 +2.541725e+00
+2.120951e+02 +1.385503e+00 -1.501450e+00 +5.403025e+08 +3.752825e+07 +5.416042e+08 -6.934647e-02 +9.600276e-02 -1.382173e+00
+2.559548e+02 +9.387472e+00 -2.453110e+00 +4.208550e+07 -5.114982e+07 +6.623816e+07 +8.823134e-01 -7.249107e+00 -5.964484e+00
+3.088844e+02 +5.922799e+00 -2.099521e+00 +7.511645e+07 -4.388339e+07 +8.699559e+07 +5.287244e-01 -2.987651e+00 -5.114048e+00
+3.727594e+02 +7.649539e+00 -4.406843e-01 +2.380866e+07 +5.048306e+07 +5.581569e+07 -1.130112e+00 +6.918702e+00 -3.262976e+00
+4.498433e+02 +2.578578e+00 -1.834348e+00 +1.324700e+08 -3.574420e+07 +1.372077e+08 +2.635521e-01 -6.717496e-01 -2.489542e+00
+5.428675e+02 +6.827892e+00 +1.263894e-01 -5.412442e+06 +4.259529e+07 +4.293778e+07 -1.697186e+00 +6.773429e+00 +8.606771e-01
+6.551286e+02 +5.662260e+00 +2.633097e+00 -2.088870e+07 -3.747621e+07 +4.290459e+07 +2.079292e+00 -4.945859e+00 +2.756750e+00
+7.906043e+02 +2.834808e+00 +9.648714e-01 -5.837089e+07 +4.044346e+07 +7.101292e+07 -2.535668e+00 +1.614487e+00 +2.330143e+00
+9.540955e+02 +1.378165e+01 -3.137687e+00 +4.727966e+04 -1.210386e+07 +1.210395e+07 +1.566890e+00 -1.378154e+01 -5.383295e-02
+1.151395e+03 +1.512347e+01 -1.918565e+00 +8.592797e+06 -3.114909e+06 +9.139957e+06 +3.477691e-01 -5.154099e+00 -1.421811e+01
+1.389495e+03 +1.298787e+01 -2.051304e+00 +7.820439e+06 -4.076456e+06 +8.819113e+06 +4.805080e-01 -6.003381e+00 -1.151713e+01
+1.676833e+03 +6.885077e+00 -2.023427e+00 +1.239726e+07 -6.028843e+06 +1.378547e+07 +4.526311e-01 -3.011073e+00 -6.191747e+00
+2.023590e+03 +1.182777e+01 +1.515617e+00 -6.639468e+06 +3.667310e+05 +6.649588e+06 -3.086414e+00 +6.523126e-01 +1.180977e+01
+2.442053e+03 +3.946774e+00 -2.657223e+00 +7.689236e+06 -1.461338e+07 +1.651288e+07 +1.086426e+00 -3.492771e+00 -1.837819e+00
+2.947052e+03 +1.767612e+00 -5.512692e-01 +1.600240e+07 +2.602638e+07 +3.055240e+07 -1.019527e+00 +1.505759e+00 -9.258202e-01
+3.556480e+03 +3.108881e+00 -1.355079e+00 +1.406085e+07 +3.081103e+06 +1.439447e+07 -2.157168e-01 +6.654488e-01 -3.036827e+00
+4.291934e+03 +1.470683e+00 +1.532706e+00 -2.519608e+07 +9.602027e+05 +2.521437e+07 -3.103502e+00 +5.600591e-02 +1.469616e+00
+5.179475e+03 +3.784308e+00 +4.878140e-01 -3.805740e+06 +7.172745e+06 +8.119848e+06 -2.058610e+00 +3.342905e+00 +1.773690e+00
+6.250552e+03 +1.825593e+00 +2.800192e+00 -4.669734e+06 -1.314259e+07 +1.394755e+07 +1.912197e+00 -1.720232e+00 +6.112210e-01
+7.543120e+03 +5.809445e-01 +5.326964e-01 -1.844492e+07 +3.128671e+07 +3.631905e+07 -2.103493e+00 +5.004493e-01 +2.950373e-01
+9.102982e+03 +4.567715e+00 -3.489371e-01 +1.308686e+06 +3.597026e+06 +3.827696e+06 -1.221859e+00 +4.292449e+00 -1.561698e+00
+1.098541e+04 +7.897240e-01 -2.709852e+00 +7.676700e+06 -1.666205e+07 +1.834545e+07 +1.139056e+00 -7.172579e-01 -3.304619e-01
+1.325711e+04 +1.922679e+00 +2.737135e+00 -2.457147e+06 -5.740228e+06 +6.244020e+06 +1.975254e+00 -1.767550e+00 +7.566129e-01
+1.599859e+04 +1.696715e+00 -2.200596e+00 +4.738264e+06 -3.453282e+06 +5.863131e+06 +6.297994e-01 -9.993358e-01 -1.371193e+00
+1.930698e+04 +2.614878e-01 +1.319351e+00 -3.053362e+07 +7.843529e+06 +3.152495e+07 -2.890148e+00 +6.505916e-02 +2.532650e-01
+2.329952e+04 +3.615591e-01 +3.132746e+00 -1.671332e+05 -1.889195e+07 +1.889269e+07 +1.579643e+00 -3.615450e-01 +3.198513e-03
+2.811769e+04 +1.596741e-01 -1.226860e+00 +3.337308e+07 +1.195330e+07 +3.544918e+07 -3.439363e-01 +5.384137e-02 -1.503227e-01
+3.393222e+04 +3.055597e-01 -1.731620e+00 +1.515204e+07 -2.458040e+06 +1.535012e+07 +1.608240e-01 -4.892978e-02 -3.016167e-01
+4.094915e+04 +4.923169e-02 -1.957660e+00 +7.311170e+07 -2.978525e+07 +7.894606e+07 +3.868640e-01 -1.857443e-02 -4.559331e-02
+4.941713e+04 +4.664109e-02 -3.853443e-03 +2.660858e+05 +6.905112e+07 +6.905163e+07 -1.566943e+00 +4.664074e-02 -1.797283e-04
+5.963623e+04 +9.923527e-02 -2.894814e-01 +7.676830e+06 +2.577431e+07 +2.689329e+07 -1.281315e+00 +9.510629e-02 -2.832723e-02
+7.196857e+04 +3.874634e-02 -4.710706e-01 +2.590299e+07 +5.085864e+07 +5.707509e+07 -1.099726e+00 +3.452620e-02 -1.758466e-02
+8.685114e+04 +8.113005e-03 +3.081545e+00 -1.355489e+07 -2.254652e+08 +2.258722e+08 +1.630844e+00 -8.098383e-03 +4.868720e-04
+1.048113e+05 +5.197546e-04 +9.731755e-01 -2.415179e+09 +1.643891e+09 +2.921552e+09 -2.543972e+00 +2.924541e-04 +4.296690e-04
+1.264855e+05 +2.028671e-04 -1.703607e+00 +6.147891e+09 -8.213393e+08 +6.202513e+09 +1.328105e-01 -2.686375e-05 -2.010806e-04
+1.526418e+05 +1.633362e-05 -7.078655e-01 +4.150690e+10 +4.849934e+10 +6.383580e+10 -8.629308e-01 +1.240949e-05 -1.062034e-05
+1.842070e+05 +3.378745e-04 +1.562610e+00 -2.557078e+09 +2.093431e+07 +2.557164e+09 -3.133406e+00 +2.766022e-06 +3.378632e-04
+2.222996e+05 +1.702814e-02 +2.626525e+00 -2.071108e+07 -3.659006e+07 +4.204499e+07 +2.085863e+00 -1.481890e-02 +8.387946e-03
+2.682696e+05 +4.147762e-02 +6.489800e-01 -8.644516e+06 +1.139541e+07 +1.430325e+07 -2.219776e+00 +3.304525e-02 +2.506800e-02
+3.237458e+05 +9.222559e-03 +8.277195e-01 -3.925299e+07 +3.606359e+07 +5.330459e+07 -2.398516e+00 +6.239585e-03 +6.791404e-03
+3.906940e+05 +1.493656e-02 -2.804024e+00 +9.032642e+06 -2.573379e+07 +2.727300e+07 +1.233228e+00 -1.409358e-02 -4.946892e-03
+4.714866e+05 +5.385853e-03 -1.295505e-01 +8.096919e+06 +6.215006e+07 +6.267527e+07 -1.441246e+00 +5.340720e-03 -6.957898e-04
+5.689866e+05 +1.453249e-03 -4.075803e-01 +7.629562e+07 +1.767094e+08 +1.924766e+08 -1.163216e+00 +1.334203e-03 -5.760521e-04
+6.866488e+05 +2.896397e-03 +2.413462e+00 -5.325487e+07 -5.973247e+07 +8.002531e+07 +2.298927e+00 -2.161928e-03 +1.927481e-03
+8.286428e+05 +1.885176e-03 -9.507497e-01 +8.291746e+07 +5.920136e+07 +1.018828e+08 -6.200466e-01 +1.095425e-03 -1.534253e-03
+1.000000e+06 +9.780691e-04 -9.775838e-01 +1.349221e+08 +9.096699e+07 +1.627236e+08 -5.932125e-01 +5.467676e-04 -8.109651e-04
