Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.037017e+01 +8.939691e+04 +6.850859e+01 -4.103369e+04 +1.615649e+04 +4.409984e+04 -2.766497e+00 +3.275160e+04 +8.318136e+04
+4.534879e+01 +8.101956e+04 +6.610421e+01 -3.960459e+04 +1.754686e+04 +4.331762e+04 -2.724532e+00 +3.281896e+04 +7.407487e+04
+5.094138e+01 +7.381957e+04 +6.364065e+01 -3.792268e+04 +1.879146e+04 +4.232314e+04 -2.681535e+00 +3.277586e+04 +6.614433e+04
+5.722368e+01 +6.740792e+04 +6.084577e+01 -3.603318e+04 +2.010051e+04 +4.126040e+04 -2.632755e+00 +3.283859e+04 +5.886811e+04
+6.428073e+01 +6.203001e+04 +5.794396e+01 -3.382924e+04 +2.118489e+04 +3.991513e+04 -2.582109e+00 +3.292233e+04 +5.257225e+04
+7.220809e+01 +5.717051e+04 +5.487359e+01 -3.153220e+04 +2.218292e+04 +3.855336e+04 -2.528521e+00 +3.289490e+04 +4.675888e+04
+8.111308e+01 +5.300988e+04 +5.167463e+01 -2.903798e+04 +2.295370e+04 +3.701455e+04 -2.472689e+00 +3.287283e+04 +4.158634e+04
+9.111628e+01 +4.953106e+04 +4.840095e+01 -2.637165e+04 +2.341306e+04 +3.526521e+04 -2.415552e+00 +3.288435e+04 +3.703978e+04
+1.023531e+02 +4.662110e+04 +4.509766e+01 -2.362439e+04 +2.354399e+04 +3.335313e+04 -2.357899e+00 +3.290985e+04 +3.302224e+04
+1.149757e+02 +4.405636e+04 +4.175766e+01 -2.092510e+04 +2.343829e+04 +3.141995e+04 -2.299605e+00 +3.286465e+04 +2.934071e+04
+1.291550e+02 +4.202471e+04 +3.848486e+01 -1.824776e+04 +2.295302e+04 +2.932272e+04 -2.242484e+00 +3.289580e+04 +2.615231e+04
+1.450829e+02 +4.025351e+04 +3.529495e+01 -1.574588e+04 +2.224287e+04 +2.725212e+04 -2.186809e+00 +3.285445e+04 +2.325790e+04
+1.629751e+02 +3.882423e+04 +3.222366e+01 -1.341242e+04 +2.127907e+04 +2.515337e+04 -2.133205e+00 +3.284425e+04 +2.070207e+04
+1.830738e+02 +3.767132e+04 +2.929086e+01 -1.129036e+04 +2.012672e+04 +2.307720e+04 -2.082018e+00 +3.285494e+04 +1.843044e+04
+2.056512e+02 +3.670345e+04 +2.654874e+01 -9.424311e+03 +1.886204e+04 +2.108541e+04 -2.034159e+00 +3.283323e+04 +1.640493e+04
+2.310130e+02 +3.594831e+04 +2.399425e+01 -7.793286e+03 +1.750874e+04 +1.916484e+04 -1.989575e+00 +3.284189e+04 +1.461820e+04
+2.595024e+02 +3.534398e+04 +2.162663e+01 -6.395399e+03 +1.613102e+04 +1.735255e+04 -1.948252e+00 +3.285595e+04 +1.302626e+04
+2.915053e+02 +3.480547e+04 +1.949049e+01 -5.233808e+03 +1.478762e+04 +1.568650e+04 -1.910970e+00 +3.281101e+04 +1.161286e+04
+3.274549e+02 +3.441447e+04 +1.751908e+01 -4.251360e+03 +1.346795e+04 +1.412302e+04 -1.876562e+00 +3.281821e+04 +1.035956e+04
+3.678380e+02 +3.410957e+04 +1.573261e+01 -3.439492e+03 +1.220970e+04 +1.268491e+04 -1.845382e+00 +3.283174e+04 +9.248751e+03
+4.132012e+02 +3.386337e+04 +1.398024e+01 -2.747909e+03 +1.103747e+04 +1.137439e+04 -1.814798e+00 +3.286031e+04 +8.180959e+03
+4.641589e+02 +3.366423e+04 +1.251271e+01 -2.206765e+03 +9.943628e+03 +1.018556e+04 -1.789184e+00 +3.286464e+04 +7.293567e+03
+5.214008e+02 +3.350300e+04 +1.117991e+01 -1.766529e+03 +8.938075e+03 +9.110972e+03 -1.765923e+00 +3.286722e+04 +6.495908e+03
+5.857021e+02 +3.336760e+04 +1.000106e+01 -1.414276e+03 +8.019889e+03 +8.143636e+03 -1.745348e+00 +3.286057e+04 +5.794832e+03
+6.579332e+02 +3.326032e+04 +8.930939e+00 -1.129084e+03 +7.184795e+03 +7.272971e+03 -1.726671e+00 +3.285708e+04 +5.163460e+03
+7.390722e+02 +3.318277e+04 +7.990381e+00 -9.021045e+02 +6.426635e+03 +6.489641e+03 -1.710255e+00 +3.286061e+04 +4.612632e+03
+8.302176e+02 +3.311607e+04 +7.131473e+00 -7.186612e+02 +5.744030e+03 +5.788812e+03 -1.695264e+00 +3.285988e+04 +4.111246e+03
+9.326033e+02 +3.304569e+04 +6.354035e+00 -5.715375e+02 +5.132539e+03 +5.164263e+03 -1.681695e+00 +3.284269e+04 +3.657221e+03
+1.047616e+03 +3.310517e+04 +5.694258e+00 -4.553251e+02 +4.566400e+03 +4.589044e+03 -1.670180e+00 +3.294182e+04 +3.284696e+03
+1.176812e+03 +3.303287e+04 +5.134659e+00 -3.664159e+02 +4.077749e+03 +4.094178e+03 -1.660413e+00 +3.290031e+04 +2.956337e+03
+1.321941e+03 +3.299676e+04 +4.586996e+00 -2.917954e+02 +3.637001e+03 +3.648688e+03 -1.650855e+00 +3.289108e+04 +2.638840e+03
+1.484968e+03 +3.295657e+04 +4.092173e+00 -2.320722e+02 +3.243787e+03 +3.252078e+03 -1.642218e+00 +3.287254e+04 +2.351819e+03
+1.668101e+03 +3.287123e+04 +3.726228e+00 -1.886351e+02 +2.896429e+03 +2.902565e+03 -1.635831e+00 +3.280174e+04 +2.136272e+03
+1.873817e+03 +3.284997e+04 +3.354343e+00 -1.512846e+02 +2.581150e+03 +2.585580e+03 -1.629341e+00 +3.279369e+04 +1.922081e+03
+2.104904e+03 +3.284277e+04 +3.057082e+00 -1.227797e+02 +2.298950e+03 +2.302226e+03 -1.624152e+00 +3.279603e+04 +1.751532e+03
+2.364489e+03 +3.278479e+04 +2.651345e+00 -9.497274e+01 +2.050903e+03 +2.053101e+03 -1.617071e+00 +3.274970e+04 +1.516565e+03
+2.656088e+03 +3.278725e+04 +2.527136e+00 -8.058197e+01 +1.825787e+03 +1.827565e+03 -1.614903e+00 +3.275536e+04 +1.445673e+03
+2.983647e+03 +3.275072e+04 +2.310259e+00 -6.565565e+01 +1.627416e+03 +1.628740e+03 -1.611118e+00 +3.272410e+04 +1.320205e+03
+3.351603e+03 +3.273164e+04 +2.029847e+00 -5.138657e+01 +1.449864e+03 +1.450774e+03 -1.606224e+00 +3.271110e+04 +1.159358e+03
+3.764936e+03 +3.271968e+04 +1.845578e+00 -4.160909e+01 +1.291303e+03 +1.291973e+03 -1.603008e+00 +3.270270e+04 +1.053765e+03
+4.229243e+03 +3.266208e+04 +1.729689e+00 -3.477708e+01 +1.151637e+03 +1.152162e+03 -1.600985e+00 +3.264720e+04 +9.858785e+02
+4.750810e+03 +3.265271e+04 +1.700795e+00 -3.045079e+01 +1.025515e+03 +1.025967e+03 -1.600481e+00 +3.263833e+04 +9.691359e+02
+5.336699e+03 +3.262447e+04 +1.561154e+00 -2.490424e+01 +9.137823e+02 +9.141216e+02 -1.598044e+00 +3.261236e+04 +8.888176e+02
+5.994843e+03 +3.263128e+04 +1.598329e+00 -2.269319e+01 +8.132784e+02 +8.135950e+02 -1.598692e+00 +3.261858e+04 +9.101677e+02
+6.734151e+03 +3.258360e+04 +1.486228e+00 -1.881275e+01 +7.250904e+02 +7.253344e+02 -1.596736e+00 +3.257263e+04 +8.451095e+02
+7.564633e+03 +3.246140e+04 +1.479043e+00 -1.672919e+01 +6.479183e+02 +6.481342e+02 -1.596611e+00 +3.245059e+04 +8.378714e+02
+8.497534e+03 +3.245661e+04 +1.531245e+00 -1.542036e+01 +5.768581e+02 +5.770642e+02 -1.597522e+00 +3.244502e+04 +8.673082e+02
+9.545485e+03 +3.245508e+04 +1.550493e+00 -1.390060e+01 +5.135472e+02 +5.137353e+02 -1.597858e+00 +3.244320e+04 +8.781666e+02
+1.072267e+04 +3.233491e+04 +1.506073e+00 -1.206477e+01 +4.588760e+02 +4.590346e+02 -1.597082e+00 +3.232374e+04 +8.498556e+02
+1.204504e+04 +3.229219e+04 +1.271233e+00 -9.077819e+00 +4.090794e+02 +4.091801e+02 -1.592984e+00 +3.228425e+04 +7.164149e+02
+1.353048e+04 +3.227552e+04 +6.560361e-01 -4.172817e+00 +3.644226e+02 +3.644465e+02 -1.582246e+00 +3.227340e+04 +3.695463e+02
+1.519911e+04 +3.217789e+04 +5.393117e-01 -3.063058e+00 +3.254057e+02 +3.254201e+02 -1.580209e+00 +3.217647e+04 +3.028785e+02
+1.707353e+04 +3.229432e+04 +7.277970e-01 -3.666458e+00 +2.886262e+02 +2.886495e+02 -1.583499e+00 +3.229171e+04 +4.102061e+02
+1.917910e+04 +3.260923e+04 +2.030669e-01 -9.019177e-01 +2.544770e+02 +2.544786e+02 -1.574341e+00 +3.260903e+04 +1.155729e+02
+2.154435e+04 +3.172450e+04 -8.886974e-02 +3.611795e-01 +2.328582e+02 +2.328585e+02 -1.569245e+00 +3.172446e+04 -4.920688e+01
+2.420128e+04 +3.209597e+04 -6.952824e-01 +2.486332e+00 +2.048798e+02 +2.048949e+02 -1.558661e+00 +3.209361e+04 -3.894740e+02
+2.718588e+04 +3.221587e+04 -1.071733e+00 +3.398954e+00 +1.816899e+02 +1.817217e+02 -1.552091e+00 +3.221024e+04 -6.025712e+02
+3.053856e+04 +3.208640e+04 -1.254455e+00 +3.555890e+00 +1.623852e+02 +1.624241e+02 -1.548902e+00 +3.207871e+04 -7.024554e+02
+3.430469e+04 +3.286682e+04 -4.555866e+00 +1.121242e+01 +1.407131e+02 +1.411591e+02 -1.491281e+00 +3.276298e+04 -2.610648e+03
+3.853529e+04 +3.264698e+04 -6.419526e+00 +1.414457e+01 +1.257149e+02 +1.265082e+02 -1.458754e+00 +3.244228e+04 -3.650180e+03
+4.328761e+04 +3.157923e+04 -5.889778e+00 +1.194720e+01 +1.158127e+02 +1.164274e+02 -1.468000e+00 +3.141252e+04 -3.240505e+03
+4.862602e+04 +3.169510e+04 -6.848792e+00 +1.231448e+01 +1.025296e+02 +1.032665e+02 -1.451262e+00 +3.146893e+04 -3.779625e+03
+5.462277e+04 +3.192398e+04 -7.824906e+00 +1.242610e+01 +9.042044e+01 +9.127028e+01 -1.434226e+00 +3.162673e+04 -4.346330e+03
+6.135907e+04 +3.201161e+04 -9.201825e+00 +1.295736e+01 +7.998502e+01 +8.102775e+01 -1.410194e+00 +3.159966e+04 -5.119061e+03
+6.892612e+04 +3.213221e+04 -9.663896e+00 +1.206324e+01 +7.084164e+01 +7.186139e+01 -1.402130e+00 +3.167624e+04 -5.393978e+03
+7.742637e+04 +3.256368e+04 -1.141278e+01 +1.249082e+01 +6.187632e+01 +6.312448e+01 -1.371606e+00 +3.191980e+04 -6.443572e+03
+8.697490e+04 +3.283171e+04 -1.269506e+01 +1.224857e+01 +5.437307e+01 +5.573561e+01 -1.349226e+00 +3.202909e+04 -7.215162e+03
+9.770100e+04 +3.322779e+04 -1.410295e+01 +1.194574e+01 +4.754759e+01 +4.902524e+01 -1.324653e+00 +3.222628e+04 -8.096449e+03
+1.097499e+05 +3.391713e+04 -1.582013e+01 +1.165606e+01 +4.113649e+01 +4.275599e+01 -1.294683e+00 +3.263243e+04 -9.246428e+03
+1.232847e+05 +3.417705e+04 -1.801269e+01 +1.168032e+01 +3.592126e+01 +3.777257e+01 -1.256416e+00 +3.250196e+04 -1.056849e+04
+1.384886e+05 +3.492755e+04 -1.989435e+01 +1.119652e+01 +3.093958e+01 +3.290318e+01 -1.223574e+00 +3.284313e+04 -1.188538e+04
+1.555676e+05 +3.736192e+04 -2.366283e+01 +1.099003e+01 +2.508019e+01 +2.738241e+01 -1.157802e+00 +3.422065e+04 -1.499534e+04
+1.747528e+05 +4.108130e+04 -2.415960e+01 +9.073442e+00 +2.022746e+01 +2.216929e+01 -1.149132e+00 +3.748294e+04 -1.681374e+04
+1.963041e+05 +4.089101e+04 -2.253008e+01 +7.597185e+00 +1.831402e+01 +1.982727e+01 -1.177572e+00 +3.777015e+04 -1.566815e+04
+2.205131e+05 +4.170847e+04 -2.506961e+01 +7.332288e+00 +1.567439e+01 +1.730460e+01 -1.133249e+00 +3.777927e+04 -1.767268e+04
+2.477076e+05 +4.396243e+04 -2.826398e+01 +6.920711e+00 +1.287254e+01 +1.461501e+01 -1.077497e+00 +3.872102e+04 -2.081773e+04
+2.782559e+05 +4.536705e+04 -2.981108e+01 +6.267804e+00 +1.093930e+01 +1.260768e+01 -1.050495e+00 +3.936360e+04 -2.255386e+04
+3.125716e+05 +4.717299e+04 -3.075004e+01 +5.518839e+00 +9.276319e+00 +1.079387e+01 -1.034107e+00 +4.054075e+04 -2.411925e+04
+3.511192e+05 +5.234969e+04 -3.501267e+01 +4.967981e+00 +7.091673e+00 +8.658676e+00 -9.597099e-01 +4.287571e+04 -3.003603e+04
+3.944206e+05 +5.565880e+04 -3.701255e+01 +4.364314e+00 +5.789001e+00 +7.249812e+00 -9.248054e-01 +4.444375e+04 -3.350604e+04
+4.430621e+05 +5.670090e+04 -3.767963e+01 +3.872409e+00 +5.013996e+00 +6.335275e+00 -9.131628e-01 +4.487542e+04 -3.465818e+04
+4.977024e+05 +6.097963e+04 -3.891884e+01 +3.294403e+00 +4.080052e+00 +5.244036e+00 -8.915344e-01 +4.744438e+04 -3.830856e+04
+5.590810e+05 +6.526102e+04 -4.038791e+01 +2.826436e+00 +3.322471e+00 +4.362059e+00 -8.658944e-01 +4.970769e+04 -4.228648e+04
+6.280291e+05 +6.838751e+04 -4.118478e+01 +2.440127e+00 +2.788829e+00 +3.705643e+00 -8.519863e-01 +5.146775e+04 -4.503246e+04
+7.054802e+05 +7.431701e+04 -4.141416e+01 +2.008052e+00 +2.276554e+00 +3.035617e+00 -8.479829e-01 +5.573387e+04 -4.916049e+04
+7.924829e+05 +7.909433e+04 -4.092040e+01 +1.663155e+00 +1.918618e+00 +2.539130e+00 -8.566006e-01 +5.976528e+04 -5.180757e+04
+8.902151e+05 +8.512724e+04 -4.006801e+01 +1.351879e+00 +1.607228e+00 +2.100181e+00 -8.714776e-01 +6.514625e+04 -5.479610e+04
+1.000000e+06 +9.105169e+04 -3.565834e+01 +1.018976e+00 +1.420233e+00 +1.747963e+00 -9.484409e-01 +7.398019e+04 -5.307863e+04
