Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+5.794984e+01 +2.990278e+04 -3.975472e-01 +6.372634e+02 +9.184297e+04 +9.184518e+04 -1.563858e+00 +2.990206e+04 -2.074790e+02
+6.069215e+01 +2.963889e+04 -4.091827e-01 +6.318539e+02 +8.847379e+04 +8.847604e+04 -1.563655e+00 +2.963813e+04 -2.116669e+02
+6.356424e+01 +2.918056e+04 -4.159701e-01 +6.229446e+02 +8.580296e+04 +8.580522e+04 -1.563536e+00 +2.917979e+04 -2.118504e+02
+6.657224e+01 +2.890278e+04 -4.324538e-01 +6.243101e+02 +8.271323e+04 +8.271559e+04 -1.563249e+00 +2.890195e+04 -2.181487e+02
+6.972259e+01 +2.862500e+04 -4.411804e-01 +6.140313e+02 +7.974221e+04 +7.974457e+04 -1.563096e+00 +2.862415e+04 -2.204118e+02
+7.302202e+01 +2.833333e+04 -4.508767e-01 +6.053400e+02 +7.692282e+04 +7.692520e+04 -1.562927e+00 +2.833246e+04 -2.229607e+02
+7.647758e+01 +2.812500e+04 -4.605730e-01 +5.947913e+02 +7.399109e+04 +7.399348e+04 -1.562758e+00 +2.812409e+04 -2.260808e+02
+8.009667e+01 +2.784028e+04 -4.692996e-01 +5.845947e+02 +7.137030e+04 +7.137270e+04 -1.562606e+00 +2.783934e+04 -2.280323e+02
+8.388702e+01 +2.745833e+04 -4.809352e-01 +5.799760e+02 +6.909329e+04 +6.909573e+04 -1.562402e+00 +2.745737e+04 -2.304799e+02
+8.785674e+01 +2.697222e+04 -4.925707e-01 +5.773895e+02 +6.716024e+04 +6.716272e+04 -1.562199e+00 +2.697123e+04 -2.318768e+02
+9.201432e+01 +2.661111e+04 -5.022670e-01 +5.697812e+02 +6.499576e+04 +6.499826e+04 -1.562030e+00 +2.661009e+04 -2.332757e+02
+9.636864e+01 +2.629861e+04 -5.168114e-01 +5.664416e+02 +6.279628e+04 +6.279883e+04 -1.561776e+00 +2.629754e+04 -2.372118e+02
+1.009290e+02 +2.589583e+04 -5.255380e-01 +5.585340e+02 +6.089139e+04 +6.089395e+04 -1.561624e+00 +2.589474e+04 -2.375228e+02
+1.057052e+02 +2.554167e+04 -5.410521e-01 +5.566529e+02 +5.894611e+04 +5.894874e+04 -1.561353e+00 +2.554053e+04 -2.411899e+02
+1.107074e+02 +2.514583e+04 -5.526876e-01 +5.514774e+02 +5.716855e+04 +5.717121e+04 -1.561150e+00 +2.514466e+04 -2.425584e+02
+1.159463e+02 +2.463889e+04 -5.633535e-01 +5.477638e+02 +5.570844e+04 +5.571113e+04 -1.560964e+00 +2.463770e+04 -2.422549e+02
+1.214332e+02 +2.422917e+04 -5.769283e-01 +5.446734e+02 +5.409066e+04 +5.409340e+04 -1.560727e+00 +2.422794e+04 -2.439666e+02
+1.271797e+02 +2.389583e+04 -5.885638e-01 +5.379520e+02 +5.236696e+04 +5.236972e+04 -1.560524e+00 +2.389457e+04 -2.454627e+02
+1.331981e+02 +2.354167e+04 -6.011690e-01 +5.325383e+02 +5.075292e+04 +5.075571e+04 -1.560304e+00 +2.354037e+04 -2.470035e+02
+1.395013e+02 +2.310417e+04 -6.128045e-01 +5.281321e+02 +4.937722e+04 +4.938005e+04 -1.560101e+00 +2.310285e+04 -2.471049e+02
+1.461028e+02 +2.264583e+04 -6.234704e-01 +5.234291e+02 +4.810027e+04 +4.810311e+04 -1.559915e+00 +2.264449e+04 -2.464183e+02
+1.530167e+02 +2.221528e+04 -6.351059e-01 +5.189722e+02 +4.681691e+04 +4.681979e+04 -1.559712e+00 +2.221391e+04 -2.462444e+02
+1.602578e+02 +2.176389e+04 -6.457718e-01 +5.142942e+02 +4.562856e+04 +4.563146e+04 -1.559525e+00 +2.176251e+04 -2.452922e+02
+1.678416e+02 +2.135417e+04 -6.554681e-01 +5.079926e+02 +4.440271e+04 +4.440562e+04 -1.559356e+00 +2.135277e+04 -2.442880e+02
+1.757842e+02 +2.099306e+04 -6.680733e-01 +5.028705e+02 +4.312559e+04 +4.312852e+04 -1.559136e+00 +2.099163e+04 -2.447751e+02
+1.841027e+02 +2.058333e+04 -6.797088e-01 +4.982350e+02 +4.199655e+04 +4.199951e+04 -1.558933e+00 +2.058188e+04 -2.441776e+02
+1.928149e+02 +2.015278e+04 -6.923139e-01 +4.948967e+02 +4.095557e+04 +4.095856e+04 -1.558713e+00 +2.015131e+04 -2.435033e+02
+2.019393e+02 +1.971528e+04 -7.020102e-01 +4.897859e+02 +3.997272e+04 +3.997572e+04 -1.558544e+00 +1.971380e+04 -2.415532e+02
+2.114955e+02 +1.932639e+04 -7.117065e-01 +4.836546e+02 +3.893451e+04 +3.893751e+04 -1.558375e+00 +1.932490e+04 -2.400589e+02
+2.215040e+02 +1.891667e+04 -7.223724e-01 +4.788737e+02 +3.798039e+04 +3.798341e+04 -1.558189e+00 +1.891516e+04 -2.384908e+02
+2.319860e+02 +1.849306e+04 -7.340079e-01 +4.752431e+02 +3.709488e+04 +3.709792e+04 -1.557985e+00 +1.849154e+04 -2.369054e+02
+2.429641e+02 +1.809722e+04 -7.437042e-01 +4.698199e+02 +3.619341e+04 +3.619646e+04 -1.557816e+00 +1.809570e+04 -2.348969e+02
+2.544617e+02 +1.768056e+04 -7.553397e-01 +4.663466e+02 +3.537236e+04 +3.537543e+04 -1.557613e+00 +1.767902e+04 -2.330789e+02
+2.665034e+02 +1.725694e+04 -7.660056e-01 +4.626471e+02 +3.460307e+04 +3.460616e+04 -1.557427e+00 +1.725540e+04 -2.307067e+02
+2.791150e+02 +1.686111e+04 -7.757019e-01 +4.578358e+02 +3.381513e+04 +3.381822e+04 -1.557258e+00 +1.685957e+04 -2.282681e+02
+2.923233e+02 +1.645139e+04 -7.863678e-01 +4.541963e+02 +3.309125e+04 +3.309437e+04 -1.557072e+00 +1.644984e+04 -2.257834e+02
+3.061567e+02 +1.605556e+04 -7.980033e-01 +4.509403e+02 +3.237493e+04 +3.237807e+04 -1.556869e+00 +1.605400e+04 -2.236111e+02
+3.206447e+02 +1.565278e+04 -8.086692e-01 +4.475468e+02 +3.170745e+04 +3.171061e+04 -1.556682e+00 +1.565122e+04 -2.209150e+02
+3.358183e+02 +1.527083e+04 -8.203047e-01 +4.443148e+02 +3.103191e+04 +3.103509e+04 -1.556479e+00 +1.526927e+04 -2.186253e+02
+3.517100e+02 +1.488194e+04 -8.290314e-01 +4.399557e+02 +3.040397e+04 +3.040715e+04 -1.556327e+00 +1.488039e+04 -2.153242e+02
+3.683537e+02 +1.450694e+04 -8.387277e-01 +4.359754e+02 +2.978054e+04 +2.978373e+04 -1.556158e+00 +1.450539e+04 -2.123532e+02
+3.857850e+02 +1.415278e+04 -8.484239e-01 +4.316259e+02 +2.914644e+04 +2.914963e+04 -1.555989e+00 +1.415123e+04 -2.095637e+02
+4.040412e+02 +1.377778e+04 -8.581202e-01 +4.281782e+02 +2.858687e+04 +2.859007e+04 -1.555819e+00 +1.377623e+04 -2.063424e+02
