Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +2.292072e+05 +8.833176e+01 -6.940771e+04 +2.021464e+03 +6.943714e+04 -3.112476e+00 +6.672713e+03 +2.291101e+05
+1.264855e+01 +2.535495e+05 +9.021292e+01 -4.962649e+04 -1.844223e+02 +4.962683e+04 +3.137876e+00 -9.422362e+02 +2.535478e+05
+1.599859e+01 +2.185717e+05 +8.066432e+01 -4.491111e+04 +7.383197e+03 +4.551395e+04 -2.978654e+00 +3.545635e+04 +2.156767e+05
+2.023590e+01 +1.706772e+05 +7.852673e+01 -4.516023e+04 +9.166011e+03 +4.608104e+04 -2.941346e+00 +3.394952e+04 +1.672666e+05
+2.559548e+01 +1.351388e+05 +7.539211e+01 -4.452521e+04 +1.160449e+04 +4.601260e+04 -2.886637e+00 +3.408236e+04 +1.307704e+05
+3.237458e+01 +1.093998e+05 +7.187517e+01 -4.270681e+04 +1.397922e+04 +4.493652e+04 -2.825255e+00 +3.403300e+04 +1.039715e+05
+4.094915e+01 +8.823170e+04 +6.751967e+01 -4.070311e+04 +1.684342e+04 +4.405047e+04 -2.749237e+00 +3.373683e+04 +8.152705e+04
+5.179475e+01 +7.181546e+04 +6.340237e+01 -3.825938e+04 +1.915689e+04 +4.278745e+04 -2.677377e+00 +3.215337e+04 +6.421543e+04
+6.551286e+01 +6.080474e+04 +5.684086e+01 -3.344736e+04 +2.185329e+04 +3.995362e+04 -2.562856e+00 +3.325815e+04 +5.090297e+04
+8.286428e+01 +5.206663e+04 +5.028212e+01 -2.837479e+04 +2.357217e+04 +3.688870e+04 -2.448385e+00 +3.327099e+04 +4.004966e+04
+1.048113e+02 +4.753883e+04 +4.344051e+01 -2.196343e+04 +2.319280e+04 +3.194210e+04 -2.328976e+00 +3.451740e+04 +3.268775e+04
+1.325711e+02 +4.290488e+04 +3.645437e+01 -1.662586e+04 +2.250603e+04 +2.798108e+04 -2.207045e+00 +3.450970e+04 +2.549332e+04
+1.676833e+02 +3.983302e+04 +3.058606e+01 -1.212444e+04 +2.051269e+04 +2.382798e+04 -2.104624e+00 +3.429088e+04 +2.026831e+04
+2.120951e+02 +3.742834e+04 +2.484579e+01 -8.424064e+03 +1.819315e+04 +2.004883e+04 -2.004437e+00 +3.396405e+04 +1.572654e+04
+2.682696e+02 +3.590776e+04 +2.012606e+01 -5.684973e+03 +1.551305e+04 +1.652192e+04 -1.922062e+00 +3.371515e+04 +1.235538e+04
+3.393222e+02 +3.479759e+04 +1.597180e+01 -3.708948e+03 +1.295870e+04 +1.347903e+04 -1.849557e+00 +3.345431e+04 +9.575054e+03
+4.291934e+02 +3.423011e+04 +1.256570e+01 -2.356870e+03 +1.057376e+04 +1.083325e+04 -1.790109e+00 +3.341020e+04 +7.447065e+03
+5.428675e+02 +3.365196e+04 +9.950839e+00 -1.505454e+03 +8.580900e+03 +8.711960e+03 -1.744471e+00 +3.314571e+04 +5.815165e+03
+6.866488e+02 +3.334926e+04 +7.783888e+00 -9.413183e+02 +6.886192e+03 +6.950232e+03 -1.706651e+00 +3.304197e+04 +4.516722e+03
+8.685114e+02 +3.310821e+04 +6.081867e+00 -5.864181e+02 +5.503737e+03 +5.534890e+03 -1.676945e+00 +3.292186e+04 +3.507794e+03
+1.098541e+03 +3.294013e+04 +4.934314e+00 -3.783081e+02 +4.381936e+03 +4.398236e+03 -1.656916e+00 +3.281805e+04 +2.833299e+03
+1.389495e+03 +3.280937e+04 +3.910798e+00 -2.381061e+02 +3.482993e+03 +3.491122e+03 -1.639053e+00 +3.273298e+04 +2.237708e+03
+1.757511e+03 +3.279025e+04 +3.229075e+00 -1.555618e+02 +2.757322e+03 +2.761706e+03 -1.627154e+00 +3.273819e+04 +1.847014e+03
+2.222996e+03 +3.282805e+04 +2.720345e+00 -1.035081e+02 +2.178445e+03 +2.180903e+03 -1.618275e+00 +3.279105e+04 +1.558056e+03
+2.811769e+03 +3.281436e+04 +1.983734e+00 -5.971050e+01 +1.723917e+03 +1.724950e+03 -1.605419e+00 +3.279470e+04 +1.135895e+03
+3.556480e+03 +3.273610e+04 +1.554193e+00 -3.707676e+01 +1.366510e+03 +1.367013e+03 -1.597922e+00 +3.272406e+04 +8.878835e+02
+4.498433e+03 +3.266427e+04 +1.168462e+00 -2.208756e+01 +1.082918e+03 +1.083143e+03 -1.591190e+00 +3.265748e+04 +6.660929e+02
+5.689866e+03 +3.261492e+04 +8.343608e-01 -1.248871e+01 +8.575426e+02 +8.576335e+02 -1.585359e+00 +3.261146e+04 +4.749329e+02
+7.196857e+03 +3.253875e+04 +5.481850e-01 -6.502408e+00 +6.796049e+02 +6.796360e+02 -1.580364e+00 +3.253726e+04 +3.113141e+02
+9.102982e+03 +3.243913e+04 +2.149543e-01 -2.022040e+00 +5.389696e+02 +5.389733e+02 -1.574548e+00 +3.243890e+04 +1.217003e+02
+1.151395e+04 +3.220189e+04 -2.585190e-03 +1.936797e-02 +4.292539e+02 +4.292539e+02 -1.570751e+00 +3.220189e+04 -1.452952e+00
