Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +2.351651e+05 +8.285335e+01 -6.715217e+04 +8.419776e+03 +6.767796e+04 -3.016860e+00 +2.925675e+04 +2.333381e+05
+1.264855e+01 +2.512303e+05 +9.081502e+01 -5.007988e+04 -7.124215e+02 +5.008495e+04 +3.127368e+00 -3.573566e+03 +2.512049e+05
+1.599859e+01 +2.163570e+05 +8.085402e+01 -4.539528e+04 +7.308519e+03 +4.597984e+04 -2.981965e+00 +3.439006e+04 +2.136064e+05
+2.023590e+01 +1.699585e+05 +7.877629e+01 -4.539085e+04 +9.007155e+03 +4.627589e+04 -2.945702e+00 +3.308078e+04 +1.667080e+05
+2.559548e+01 +1.356781e+05 +7.589104e+01 -4.444720e+04 +1.117175e+04 +4.582970e+04 -2.895345e+00 +3.307380e+04 +1.315852e+05
+3.237458e+01 +1.083574e+05 +7.255115e+01 -4.328119e+04 +1.360404e+04 +4.536884e+04 -2.837053e+00 +3.249141e+04 +1.033713e+05
+4.094915e+01 +8.809080e+04 +6.826357e+01 -4.098382e+04 +1.633964e+04 +4.412093e+04 -2.762220e+00 +3.262333e+04 +8.182730e+04
+5.179475e+01 +7.236836e+04 +6.298120e+01 -3.782631e+04 +1.928910e+04 +4.246056e+04 -2.670026e+00 +3.287570e+04 +6.446990e+04
+6.551286e+01 +6.086164e+04 +5.751879e+01 -3.367208e+04 +2.143595e+04 +3.991627e+04 -2.574689e+00 +3.268409e+04 +5.134091e+04
+8.286428e+01 +5.196727e+04 +5.115266e+01 -2.878459e+04 +2.318258e+04 +3.695923e+04 -2.463579e+00 +3.259634e+04 +4.047315e+04
+1.048113e+02 +4.751077e+04 +4.410258e+01 -2.224308e+04 +2.295101e+04 +3.196096e+04 -2.340532e+00 +3.411724e+04 +3.306489e+04
+1.325711e+02 +4.284487e+04 +3.744427e+01 -1.703603e+04 +2.224656e+04 +2.802027e+04 -2.224322e+00 +3.401647e+04 +2.604923e+04
+1.676833e+02 +3.967026e+04 +3.117318e+01 -1.238459e+04 +2.047102e+04 +2.392573e+04 -2.114871e+00 +3.394214e+04 +2.053438e+04
+2.120951e+02 +3.739718e+04 +2.545842e+01 -8.625289e+03 +1.811712e+04 +2.006553e+04 -2.015130e+00 +3.376582e+04 +1.607540e+04
+2.682696e+02 +3.590697e+04 +2.051361e+01 -5.789899e+03 +1.547458e+04 +1.652228e+04 -1.928826e+00 +3.363008e+04 +1.258287e+04
+3.393222e+02 +3.484264e+04 +1.645361e+01 -3.812850e+03 +1.291034e+04 +1.346160e+04 -1.857966e+00 +3.341581e+04 +9.868791e+03
+4.291934e+02 +3.413245e+04 +1.305536e+01 -2.454152e+03 +1.058343e+04 +1.086425e+04 -1.798655e+00 +3.325020e+04 +7.710262e+03
+5.428675e+02 +3.366902e+04 +1.036125e+01 -1.566087e+03 +8.565556e+03 +8.707547e+03 -1.751634e+00 +3.311999e+04 +6.055506e+03
