Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +2.431357e+05 +8.375332e+01 -6.507065e+04 +7.122583e+03 +6.545930e+04 -3.032567e+00 +2.645543e+04 +2.416921e+05
+1.264855e+01 +2.572527e+05 +9.276316e+01 -4.885557e+04 -2.357949e+03 +4.891244e+04 +3.093366e+00 -1.240152e+04 +2.569536e+05
+1.599859e+01 +2.165991e+05 +8.081156e+01 -4.533912e+04 +7.333949e+03 +4.592845e+04 -2.981224e+00 +3.458699e+04 +2.138198e+05
+2.023590e+01 +1.698422e+05 +7.855668e+01 -4.538705e+04 +9.187349e+03 +4.630758e+04 -2.941869e+00 +3.369642e+04 +1.664660e+05
+2.559548e+01 +1.359933e+05 +7.613415e+01 -4.439108e+04 +1.095761e+04 +4.572349e+04 -2.899588e+00 +3.259072e+04 +1.320304e+05
+3.237458e+01 +1.091495e+05 +7.217039e+01 -4.287639e+04 +1.379055e+04 +4.503958e+04 -2.830407e+00 +3.342018e+04 +1.039072e+05
+4.094915e+01 +8.844012e+04 +6.830050e+01 -4.083242e+04 +1.624878e+04 +4.394666e+04 -2.762865e+00 +3.269974e+04 +8.217288e+04
+5.179475e+01 +7.342351e+04 +6.430984e+01 -3.771352e+04 +1.814231e+04 +4.185037e+04 -2.693215e+00 +3.182941e+04 +6.616571e+04
+6.551286e+01 +6.102046e+04 +5.744445e+01 -3.355666e+04 +2.142372e+04 +3.981238e+04 -2.573391e+00 +3.283615e+04 +5.143232e+04
+8.286428e+01 +5.218823e+04 +5.091195e+01 -2.856548e+04 +2.320464e+04 +3.680275e+04 -2.459378e+00 +3.290540e+04 +4.050735e+04
+1.048113e+02 +4.748998e+04 +4.409694e+01 -2.225056e+04 +2.296325e+04 +3.197496e+04 -2.340433e+00 +3.410557e+04 +3.304706e+04
+1.325711e+02 +4.276922e+04 +3.762432e+01 -1.713611e+04 +2.223217e+04 +2.806983e+04 -2.227465e+00 +3.387453e+04 +2.610981e+04
+1.676833e+02 +3.950793e+04 +3.129595e+01 -1.247950e+04 +2.052844e+04 +2.402404e+04 -2.117014e+00 +3.375935e+04 +2.052274e+04
+2.120951e+02 +3.732853e+04 +2.556899e+01 -8.676161e+03 +1.813373e+04 +2.010244e+04 -2.017059e+00 +3.367280e+04 +1.611090e+04
+2.682696e+02 +3.593928e+04 +2.049647e+01 -5.780068e+03 +1.546240e+04 +1.650742e+04 -1.928527e+00 +3.366410e+04 +1.258413e+04
+3.393222e+02 +3.481997e+04 +1.645662e+01 -3.816011e+03 +1.291855e+04 +1.347037e+04 -1.858018e+00 +3.339355e+04 +9.864123e+03
+4.291934e+02 +3.423787e+04 +1.347579e+01 -2.523949e+03 +1.053261e+04 +1.083079e+04 -1.805993e+00 +3.329525e+04 +7.978606e+03
+5.428675e+02 +3.363002e+04 +1.034022e+01 -1.564754e+03 +8.576064e+03 +8.717645e+03 -1.751267e+00 +3.308384e+04 +6.036344e+03
+6.866488e+02 +3.333512e+04 +8.122514e+00 -9.824163e+02 +6.883426e+03 +6.953179e+03 -1.712561e+00 +3.300071e+04 +4.709927e+03
+8.685114e+02 +3.313522e+04 +6.643430e+00 -6.398099e+02 +5.493243e+03 +5.530378e+03 -1.686746e+00 +3.291273e+04 +3.833416e+03
+1.098541e+03 +3.297248e+04 +5.044028e+00 -3.863189e+02 +4.376905e+03 +4.393921e+03 -1.658831e+00 +3.284479e+04 +2.898981e+03
+1.389495e+03 +3.284248e+04 +4.153165e+00 -2.525825e+02 +3.478445e+03 +3.487603e+03 -1.643283e+00 +3.275624e+04 +2.378549e+03
+1.757511e+03 +3.291772e+04 +3.240126e+00 -1.554892e+02 +2.746614e+03 +2.751011e+03 -1.627347e+00 +3.286510e+04 +1.860534e+03
+2.222996e+03 +3.282766e+04 +2.540778e+00 -9.668144e+01 +2.178784e+03 +2.180929e+03 -1.615141e+00 +3.279539e+04 +1.455263e+03
+2.811769e+03 +3.279821e+04 +2.051148e+00 -6.176921e+01 +1.724694e+03 +1.725800e+03 -1.606596e+00 +3.277720e+04 +1.173902e+03
+3.556480e+03 +3.277644e+04 +1.483702e+00 -3.535195e+01 +1.364873e+03 +1.365331e+03 -1.596692e+00 +3.276545e+04 +8.486668e+02
+4.498433e+03 +3.269279e+04 +1.176093e+00 -2.221239e+01 +1.081971e+03 +1.082199e+03 -1.591323e+00 +3.268590e+04 +6.710277e+02
+5.689866e+03 +3.260668e+04 +8.801570e-01 -1.317747e+01 +8.577492e+02 +8.578504e+02 -1.586158e+00 +3.260283e+04 +5.008722e+02
+7.196857e+03 +3.249527e+04 +5.023232e-01 -5.966397e+00 +6.805193e+02 +6.805454e+02 -1.579564e+00 +3.249402e+04 +2.848887e+02
+9.102982e+03 +3.237126e+04 +2.328111e-01 -2.194606e+00 +5.400989e+02 +5.401034e+02 -1.574860e+00 +3.237099e+04 +1.315344e+02
+1.151395e+04 +3.223838e+04 -1.315943e-01 +9.847734e-01 +4.287669e+02 +4.287680e+02 -1.568500e+00 +3.223830e+04 -7.404353e+01
+1.456348e+04 +3.202250e+04 -6.006227e-01 +3.577426e+00 +3.412524e+02 +3.412711e+02 -1.560313e+00 +3.202074e+04 -3.356808e+02
+1.842070e+04 +3.190899e+04 -1.488220e+00 +7.032288e+00 +2.706789e+02 +2.707702e+02 -1.544822e+00 +3.189823e+04 -8.287220e+02
+2.329952e+04 +3.168183e+04 -2.484490e+00 +9.346336e+00 +2.154044e+02 +2.156071e+02 -1.527434e+00 +3.165205e+04 -1.373373e+03
