Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +3.420758e+05 +8.455263e+01 -4.631609e+04 +4.416801e+03 +4.652621e+04 -3.046518e+00 +3.247375e+04 +3.405310e+05
+1.264855e+01 +2.536581e+05 +9.156876e+01 -4.958700e+04 -1.358035e+03 +4.960559e+04 +3.114213e+00 -6.944306e+03 +2.535630e+05
+1.599859e+01 +2.175221e+05 +8.086521e+01 -4.515357e+04 +7.260551e+03 +4.573358e+04 -2.982161e+00 +3.453327e+04 +2.147634e+05
+2.023590e+01 +1.691838e+05 +7.875091e+01 -4.559467e+04 +9.068594e+03 +4.648778e+04 -2.945259e+00 +3.300350e+04 +1.659335e+05
+2.559548e+01 +1.350335e+05 +7.590748e+01 -4.466259e+04 +1.121227e+04 +4.604847e+04 -2.895632e+00 +3.287909e+04 +1.309695e+05
+3.237458e+01 +1.089536e+05 +7.232416e+01 -4.299038e+04 +1.370001e+04 +4.512054e+04 -2.833091e+00 +3.308173e+04 +1.038099e+05
+4.094915e+01 +8.787886e+04 +6.801639e+01 -4.101161e+04 +1.655612e+04 +4.422734e+04 -2.757906e+00 +3.289670e+04 +8.148928e+04
+5.179475e+01 +7.220410e+04 +6.215095e+01 -3.762824e+04 +1.988031e+04 +4.255715e+04 -2.655535e+00 +3.372970e+04 +6.384152e+04
+6.551286e+01 +6.099771e+04 +5.731083e+01 -3.351911e+04 +2.150994e+04 +3.982723e+04 -2.571059e+00 +3.294372e+04 +5.133646e+04
+8.286428e+01 +5.208424e+04 +5.102612e+01 -2.866878e+04 +2.319389e+04 +3.687622e+04 -2.461370e+00 +3.275922e+04 +4.049200e+04
+1.048113e+02 +4.764639e+04 +4.425215e+01 -2.223943e+04 +2.282770e+04 +3.186999e+04 -2.343142e+00 +3.412796e+04 +3.324848e+04
+1.325711e+02 +4.144744e+04 +3.795965e+01 -1.781656e+04 +2.283728e+04 +2.896500e+04 -2.233317e+00 +3.267899e+04 +2.549458e+04
+1.676833e+02 +3.962685e+04 +3.095800e+01 -1.232111e+04 +2.053986e+04 +2.395194e+04 -2.111115e+00 +3.398179e+04 +2.038444e+04
+2.120951e+02 +3.739407e+04 +2.540047e+01 -8.607676e+03 +1.812734e+04 +2.006720e+04 -2.014118e+00 +3.377925e+04 +1.603991e+04
+2.682696e+02 +3.584136e+04 +2.055779e+01 -5.812451e+03 +1.549844e+04 +1.655252e+04 -1.929597e+00 +3.355893e+04 +1.258576e+04
+3.393222e+02 +3.490404e+04 +1.633568e+01 -3.779610e+03 +1.289544e+04 +1.343792e+04 -1.855908e+00 +3.349498e+04 +9.817265e+03
+4.291934e+02 +3.418449e+04 +1.292462e+01 -2.426295e+03 +1.057288e+04 +1.084771e+04 -1.796373e+00 +3.331843e+04 +7.646007e+03
+5.428675e+02 +3.373775e+04 +1.023344e+01 -1.543823e+03 +8.551571e+03 +8.689808e+03 -1.749404e+00 +3.320105e+04 +5.993818e+03
+6.866488e+02 +3.333768e+04 +8.049075e+00 -9.735180e+02 +6.884151e+03 +6.952645e+03 -1.711279e+00 +3.300925e+04 +4.667983e+03
+8.685114e+02 +3.304127e+04 +6.315655e+00 -6.101040e+02 +5.512444e+03 +5.546103e+03 -1.681025e+00 +3.284074e+04 +3.634734e+03
+1.098541e+03 +3.292142e+04 +5.068285e+00 -3.887739e+02 +4.383529e+03 +4.400736e+03 -1.659255e+00 +3.279270e+04 +2.908375e+03
+1.389495e+03 +3.282839e+04 +4.091672e+00 -2.489559e+02 +3.480207e+03 +3.489100e+03 -1.642209e+00 +3.274471e+04 +2.342386e+03
+1.757511e+03 +3.277547e+04 +3.284602e+00 -1.583053e+02 +2.758412e+03 +2.762951e+03 -1.628123e+00 +3.272163e+04 +1.877895e+03
+2.222996e+03 +3.285873e+04 +2.538700e+00 -9.651109e+01 +2.176728e+03 +2.178867e+03 -1.615105e+00 +3.282648e+04 +1.455450e+03
+2.811769e+03 +3.281474e+04 +1.993234e+00 -5.999563e+01 +1.723887e+03 +1.724931e+03 -1.605585e+00 +3.279488e+04 +1.141345e+03
+3.556480e+03 +3.273125e+04 +1.499579e+00 -3.577950e+01 +1.366748e+03 +1.367216e+03 -1.596969e+00 +3.272004e+04 +8.565639e+02
+4.498433e+03 +3.269596e+04 +1.331061e+00 -2.513628e+01 +1.081801e+03 +1.082093e+03 -1.594028e+00 +3.268714e+04 +7.595046e+02
+5.689866e+03 +3.260991e+04 +7.816402e-01 -1.170144e+01 +8.576856e+02 +8.577654e+02 -1.584439e+00 +3.260687e+04 +4.448569e+02
+7.196857e+03 +3.257319e+04 +5.744693e-01 -6.806970e+00 +6.788833e+02 +6.789174e+02 -1.580823e+00 +3.257155e+04 +3.265858e+02
+9.102982e+03 +3.238920e+04 +1.600735e-01 -1.508108e+00 +5.398021e+02 +5.398042e+02 -1.573590e+00 +3.238907e+04 +9.048914e+01
+1.151395e+04 +3.229013e+04 -1.107888e-01 +8.277492e-01 +4.280800e+02 +4.280808e+02 -1.568863e+00 +3.229007e+04 -6.243712e+01
+1.456348e+04 +3.206306e+04 -7.829304e-01 +4.657329e+00 +3.408076e+02 +3.408395e+02 -1.557132e+00 +3.206007e+04 -4.381189e+02
+1.842070e+04 +3.180594e+04 -1.612358e+00 +7.643414e+00 +2.715400e+02 +2.716475e+02 -1.542655e+00 +3.179335e+04 -8.949316e+02
+2.329952e+04 +3.162459e+04 -2.693072e+00 +1.014878e+01 +2.157588e+02 +2.159973e+02 -1.523793e+00 +3.158966e+04 -1.485903e+03
+2.947052e+04 +3.157641e+04 -3.829204e+00 +1.142174e+01 +1.706471e+02 +1.710289e+02 -1.503964e+00 +3.150592e+04 -2.108751e+03
+3.727594e+04 +3.150569e+04 -5.484323e+00 +1.295208e+01 +1.348994e+02 +1.355197e+02 -1.475077e+00 +3.136147e+04 -3.011106e+03
+4.714866e+04 +3.139585e+04 -7.540059e+00 +1.410835e+01 +1.065877e+02 +1.075173e+02 -1.439197e+00 +3.112438e+04 -4.119742e+03
+5.963623e+04 +3.184213e+04 -1.006369e+01 +1.464560e+01 +8.252279e+01 +8.381232e+01 -1.395152e+00 +3.135221e+04 -5.564181e+03
+7.543120e+04 +3.228586e+04 -1.248992e+01 +1.413346e+01 +6.380506e+01 +6.535167e+01 -1.352806e+00 +3.152179e+04 -6.982394e+03
+9.540955e+04 +3.288686e+04 -1.613749e+01 +1.409814e+01 +4.872449e+01 +5.072311e+01 -1.289144e+00 +3.159104e+04 -9.140681e+03
+1.206793e+05 +3.408838e+04 -1.962969e+01 +1.299698e+01 +3.643999e+01 +3.868843e+01 -1.228194e+00 +3.210728e+04 -1.145164e+04
+1.526418e+05 +3.657222e+04 -2.539398e+01 +1.222618e+01 +2.575526e+01 +2.850987e+01 -1.127588e+00 +3.303863e+04 -1.568364e+04
+1.930698e+05 +4.041909e+04 -2.685056e+01 +9.211617e+00 +1.819598e+01 +2.039480e+01 -1.102166e+00 +3.606141e+04 -1.825589e+04
+2.442053e+05 +4.299014e+04 -3.177967e+01 +7.984023e+00 +1.288712e+01 +1.515989e+01 -1.016136e+00 +3.654504e+04 -2.264094e+04
+3.088844e+05 +4.698545e+04 -3.868092e+01 +6.853759e+00 +8.560730e+00 +1.096632e+01 -8.956869e-01 +3.667866e+04 -2.936510e+04
+3.906940e+05 +5.339318e+04 -4.192858e+01 +5.098079e+00 +5.676203e+00 +7.629527e+00 -8.390045e-01 +3.972337e+04 -3.567752e+04
+4.941713e+05 +6.171677e+04 -4.649606e+01 +3.785064e+00 +3.592387e+00 +5.218424e+00 -7.592870e-01 +4.248610e+04 -4.476484e+04
+6.250552e+05 +6.951184e+04 -4.737085e+01 +2.695100e+00 +2.480803e+00 +3.663051e+00 -7.440190e-01 +4.707691e+04 -5.114352e+04
+7.906043e+05 +8.218306e+04 -5.071169e+01 +1.895843e+00 +1.551084e+00 +2.449507e+00 -6.857103e-01 +5.204020e+04 -6.360718e+04
+1.000000e+06 +9.999914e+04 -5.136667e+01 +1.243261e+00 +9.936672e-01 +1.591563e+00 -6.742788e-01 +6.243287e+04 -7.811507e+04
