Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+4.094915e+01 +8.807684e+04 +6.820034e+01 -4.097225e+04 +1.638745e+04 +4.412792e+04 -2.761117e+00 +3.270843e+04 +8.177829e+04
+5.179475e+01 +7.274176e+04 +6.311480e+01 -3.767678e+04 +1.910229e+04 +4.224260e+04 -2.672357e+00 +3.289414e+04 +6.487942e+04
+6.551286e+01 +6.072366e+04 +5.753734e+01 -3.375554e+04 +2.147373e+04 +4.000697e+04 -2.575012e+00 +3.259341e+04 +5.123507e+04
+8.286428e+01 +5.189093e+04 +5.108575e+01 -2.879980e+04 +2.325034e+04 +3.701360e+04 -2.462411e+00 +3.259563e+04 +4.037565e+04
+1.048113e+02 +4.571159e+04 +4.444682e+01 -2.326146e+04 +2.371502e+04 +3.321893e+04 -2.346540e+00 +3.263353e+04 +3.200940e+04
+1.325711e+02 +4.127875e+04 +3.785730e+01 -1.784837e+04 +2.296253e+04 +2.908336e+04 -2.231531e+00 +3.259130e+04 +2.533264e+04
+1.676833e+02 +3.836888e+04 +3.160123e+01 -1.296242e+04 +2.106909e+04 +2.473724e+04 -2.122342e+00 +3.267938e+04 +2.010545e+04
+2.120951e+02 +3.635028e+04 +2.599729e+01 -9.048605e+03 +1.855462e+04 +2.064343e+04 -2.024535e+00 +3.267217e+04 +1.593337e+04
+2.682696e+02 +3.506931e+04 +2.114682e+01 -6.102936e+03 +1.577772e+04 +1.691693e+04 -1.939878e+00 +3.270771e+04 +1.265157e+04
+3.393222e+02 +3.419032e+04 +1.714449e+01 -4.043955e+03 +1.310885e+04 +1.371844e+04 -1.870024e+00 +3.267105e+04 +1.007870e+04
+4.291934e+02 +3.376000e+04 +1.346442e+01 -2.557555e+03 +1.068220e+04 +1.098410e+04 -1.805795e+00 +3.283210e+04 +7.860731e+03
+5.428675e+02 +3.340895e+04 +1.070013e+01 -1.629305e+03 +8.622747e+03 +8.775329e+03 -1.757549e+00 +3.282805e+04 +6.203001e+03
+6.866488e+02 +3.320960e+04 +8.527508e+00 -1.034944e+03 +6.902299e+03 +6.979459e+03 -1.719629e+00 +3.284246e+04 +4.924460e+03
+8.685114e+02 +3.302554e+04 +6.791816e+00 -6.562063e+02 +5.509805e+03 +5.548744e+03 -1.689336e+00 +3.279378e+04 +3.905671e+03
+1.098541e+03 +3.296690e+04 +5.424898e+00 -4.154756e+02 +4.374980e+03 +4.394664e+03 -1.665479e+00 +3.281924e+04 +3.116721e+03
+1.389495e+03 +3.287587e+04 +4.321647e+00 -2.625430e+02 +3.474154e+03 +3.484061e+03 -1.646223e+00 +3.278240e+04 +2.477377e+03
+1.757511e+03 +3.288215e+04 +3.555347e+00 -1.707822e+02 +2.748687e+03 +2.753988e+03 -1.632849e+00 +3.281886e+04 +2.039111e+03
+2.222996e+03 +3.283684e+04 +2.946047e+00 -1.120587e+02 +2.177437e+03 +2.180319e+03 -1.622215e+00 +3.279344e+04 +1.687668e+03
+2.811769e+03 +3.275014e+04 +2.271139e+00 -6.849120e+01 +1.726975e+03 +1.728333e+03 -1.610435e+00 +3.272441e+04 +1.297838e+03
+3.556480e+03 +3.271173e+04 +2.159244e+00 -5.154333e+01 +1.367060e+03 +1.368032e+03 -1.608482e+00 +3.268851e+04 +1.232480e+03
+4.498433e+03 +3.270855e+04 +1.981247e+00 -3.739617e+01 +1.081030e+03 +1.081677e+03 -1.605376e+00 +3.268900e+04 +1.130813e+03
+5.689866e+03 +3.262879e+04 +1.584983e+00 -2.371175e+01 +8.569410e+02 +8.572689e+02 -1.598459e+00 +3.261631e+04 +9.025007e+02
+7.196857e+03 +3.263094e+04 +1.937589e+00 -2.291417e+01 +6.773285e+02 +6.777160e+02 -1.604614e+00 +3.261228e+04 +1.103280e+03
+9.102982e+03 +3.223704e+04 +1.112789e+00 -1.053281e+01 +5.422498e+02 +5.423521e+02 -1.590218e+00 +3.223096e+04 +6.260632e+02
+1.151395e+04 +3.222531e+04 +1.029934e+00 -7.710135e+00 +4.288726e+02 +4.289419e+02 -1.588772e+00 +3.222011e+04 +5.792428e+02
+1.456348e+04 +3.299008e+04 +1.858278e+00 -1.074195e+01 +3.310876e+02 +3.312618e+02 -1.603229e+00 +3.297273e+04 +1.069782e+03
+1.842070e+04 +3.154847e+04 +3.886355e-01 -1.857600e+00 +2.738581e+02 +2.738644e+02 -1.577579e+00 +3.154775e+04 +2.139907e+02
+2.329952e+04 +3.111408e+04 -3.795775e-01 +1.454424e+00 +2.195365e+02 +2.195413e+02 -1.564171e+00 +3.111340e+04 -2.061255e+02
+2.947052e+04 +3.390150e+04 -2.228438e+00 +6.194151e+00 +1.591787e+02 +1.592991e+02 -1.531903e+00 +3.387586e+04 -1.318218e+03
+3.727594e+04 +3.394710e+04 -6.070445e+00 +1.330068e+01 +1.250682e+02 +1.257734e+02 -1.464847e+00 +3.375674e+04 -3.589945e+03
+4.714866e+04 +3.192400e+04 -8.680151e+00 +1.595789e+01 +1.045275e+02 +1.057386e+02 -1.419299e+00 +3.155835e+04 -4.817918e+03
+5.963623e+04 +3.228195e+04 -1.126851e+01 +1.615440e+01 +8.107673e+01 +8.267043e+01 -1.374124e+00 +3.165962e+04 -6.308124e+03
+7.543120e+04 +3.281394e+04 -1.435091e+01 +1.593739e+01 +6.229355e+01 +6.429997e+01 -1.320326e+00 +3.179001e+04 -8.133261e+03
+9.540955e+04 +3.370974e+04 -1.799863e+01 +1.529055e+01 +4.706332e+01 +4.948492e+01 -1.256661e+00 +3.206012e+04 -1.041611e+04
+1.206793e+05 +3.609525e+04 -2.189058e+01 +1.362242e+01 +3.390295e+01 +3.653738e+01 -1.188734e+00 +3.349270e+04 -1.345758e+04
+1.526418e+05 +3.897577e+04 -2.822654e+01 +1.265247e+01 +2.357054e+01 +2.675173e+01 -1.078150e+00 +3.434095e+04 -1.843394e+04
+1.930698e+05 +4.388942e+04 -2.818597e+01 +8.871481e+00 +1.655497e+01 +1.878218e+01 -1.078858e+00 +3.868497e+04 -2.073051e+04
+2.442053e+05 +4.882779e+04 -3.334804e+01 +7.337400e+00 +1.114974e+01 +1.334744e+01 -9.887632e-01 +4.078813e+04 -2.684178e+04
+3.088844e+05 +5.613708e+04 -3.867740e+01 +5.735999e+00 +7.165487e+00 +9.178556e+00 -8.957483e-01 +4.382493e+04 -3.508202e+04
+3.906940e+05 +6.734373e+04 -4.194224e+01 +4.043062e+00 +4.499389e+00 +6.049037e+00 -8.387661e-01 +5.009154e+04 -4.501127e+04
+4.941713e+05 +7.038016e+04 -5.000122e+01 +3.505533e+00 +2.941364e+00 +4.576067e+00 -6.981103e-01 +4.523834e+04 -5.391530e+04
+6.250552e+05 +7.909604e+04 -5.112117e+01 +2.506062e+00 +2.020608e+00 +3.219193e+00 -6.785635e-01 +4.964664e+04 -6.157430e+04
+7.906043e+05 +9.933653e+04 -5.518900e+01 +1.663857e+00 +1.156885e+00 +2.026525e+00 -6.075665e-01 +5.670836e+04 -8.155923e+04
+1.000000e+06 +1.204649e+05 -5.399212e+01 +1.068744e+00 +7.767127e-01 +1.321172e+00 -6.284561e-01 +7.082091e+04 -9.744843e+04
