Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+2.682696e+02 +3.585826e+06 -8.435758e-02 +2.435907e-01 +1.654470e+02 +1.654472e+02 -1.569324e+00 +3.585823e+06 -5.279473e+03
+3.393222e+02 +4.300021e+06 -1.018109e-01 +1.938245e-01 +1.090779e+02 +1.090780e+02 -1.569019e+00 +4.300014e+06 -7.640853e+03
+4.291934e+02 +4.571215e+06 -2.036217e-01 +2.882943e-01 +8.112088e+01 +8.112139e+01 -1.567242e+00 +4.571186e+06 -1.624547e+04
+5.428675e+02 +4.920431e+06 -3.131896e-01 +3.256910e-01 +5.958222e+01 +5.958311e+01 -1.565330e+00 +4.920357e+06 -2.689588e+04
+6.866488e+02 +5.255806e+06 -1.696848e-01 +1.306068e-01 +4.410057e+01 +4.410077e+01 -1.567835e+00 +5.255783e+06 -1.556535e+04
+8.685114e+02 +5.274549e+06 -2.152573e-01 +1.305249e-01 +3.474212e+01 +3.474236e+01 -1.567039e+00 +5.274511e+06 -1.981616e+04
+1.098541e+03 +5.254764e+06 -2.530727e-01 +1.217789e-01 +2.757061e+01 +2.757088e+01 -1.566379e+00 +5.254713e+06 -2.320997e+04
+1.389495e+03 +5.222667e+06 -1.454441e-02 +5.567294e-03 +2.193162e+01 +2.193162e+01 -1.570542e+00 +5.222666e+06 -1.325763e+03
+1.757511e+03 +5.057229e+06 +1.910166e-01 -5.969764e-02 +1.790635e+01 +1.790645e+01 -1.574130e+00 +5.057201e+06 +1.686011e+04
+2.222996e+03 +4.573958e+06 +3.267644e-01 -8.926864e-02 +1.565244e+01 +1.565270e+01 -1.576499e+00 +4.573884e+06 +2.608567e+04
+2.811769e+03 +3.725271e+06 +4.266360e-02 -1.131404e-02 +1.519437e+01 +1.519437e+01 -1.571541e+00 +3.725270e+06 +2.773912e+03
+3.556480e+03 +3.264604e+06 +2.491942e-01 -5.961879e-02 +1.370772e+01 +1.370785e+01 -1.575146e+00 +3.264573e+06 +1.419857e+04
+4.498433e+03 +2.762194e+06 +5.488091e-01 -1.226865e-01 +1.280810e+01 +1.280869e+01 -1.580375e+00 +2.762068e+06 +2.645735e+04
+5.689866e+03 +2.079681e+06 +5.682016e-01 -1.333811e-01 +1.344931e+01 +1.344997e+01 -1.580713e+00 +2.079578e+06 +2.062383e+04
+7.196857e+03 +1.650951e+06 +8.183655e-01 -1.913167e-01 +1.339364e+01 +1.339501e+01 -1.585079e+00 +1.650783e+06 +2.358002e+04
+9.102982e+03 +1.300625e+06 +1.150948e+00 -2.700151e-01 +1.343992e+01 +1.344263e+01 -1.590884e+00 +1.300363e+06 +2.612497e+04
+1.151395e+04 +1.018708e+06 +1.169371e+00 -2.769142e-01 +1.356611e+01 +1.356894e+01 -1.591206e+00 +1.018496e+06 +2.078975e+04
