Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+2.682696e+02 +6.540694e+06 -5.429913e-01 +8.595845e-01 +9.069959e+01 +9.070367e+01 -1.561319e+00 +6.540401e+06 -6.198514e+04
+3.393222e+02 +6.800049e+06 -5.992297e-01 +7.213710e-01 +6.897189e+01 +6.897566e+01 -1.560338e+00 +6.799677e+06 -7.111723e+04
+4.291934e+02 +6.873125e+06 -3.888206e-01 +3.661307e-01 +5.395141e+01 +5.395266e+01 -1.564010e+00 +6.872967e+06 -4.664204e+04
+5.428675e+02 +7.223625e+06 -5.856549e-01 +4.148420e-01 +4.058339e+01 +4.058552e+01 -1.560575e+00 +7.223248e+06 -7.383577e+04
+6.866488e+02 +7.700819e+06 -6.089260e-01 +3.198764e-01 +3.009705e+01 +3.009875e+01 -1.560169e+00 +7.700385e+06 -8.184095e+04
+8.685114e+02 +7.817646e+06 -6.157134e-01 +2.518931e-01 +2.343924e+01 +2.344059e+01 -1.560050e+00 +7.817194e+06 -8.400857e+04
+1.098541e+03 +7.954028e+06 -7.989729e-01 +2.539873e-01 +1.821271e+01 +1.821448e+01 -1.556852e+00 +7.953254e+06 -1.109130e+05
+1.389495e+03 +5.528396e+06 -9.075712e-01 +3.281737e-01 +2.071617e+01 +2.071876e+01 -1.554956e+00 +5.527702e+06 -8.756671e+04
+1.757511e+03 +5.355410e+06 -1.028775e+00 +3.036014e-01 +1.690672e+01 +1.690945e+01 -1.552841e+00 +5.354546e+06 -9.615392e+04
+2.222996e+03 +4.135229e+06 -1.077256e+00 +3.255011e-01 +1.731032e+01 +1.731338e+01 -1.551995e+00 +4.134498e+06 -7.774461e+04
+2.811769e+03 +3.653549e+06 -7.553397e-01 +2.042362e-01 +1.549130e+01 +1.549265e+01 -1.557613e+00 +3.653231e+06 -4.816394e+04
+3.556480e+03 +3.390111e+06 -6.438326e-01 +1.483293e-01 +1.319953e+01 +1.320036e+01 -1.559559e+00 +3.389897e+06 -3.809387e+04
+4.498433e+03 +2.867160e+06 -4.266360e-01 +9.188358e-02 +1.233943e+01 +1.233977e+01 -1.563350e+00 +2.867080e+06 -2.134926e+04
+5.689866e+03 +2.170479e+06 -1.250819e-01 +2.813417e-02 +1.288729e+01 +1.288732e+01 -1.568613e+00 +2.170474e+06 -4.738351e+03
+7.196857e+03 +1.714521e+06 +1.939255e-01 -4.365620e-02 +1.289829e+01 +1.289836e+01 -1.574181e+00 +1.714511e+06 +5.803021e+03
+9.102982e+03 +1.333639e+06 +5.245684e-01 -1.200250e-01 +1.310932e+01 +1.310986e+01 -1.579952e+00 +1.333583e+06 +1.220989e+04
+1.151395e+04 +1.023833e+06 +5.274773e-01 -1.242915e-01 +1.350044e+01 +1.350101e+01 -1.580003e+00 +1.023790e+06 +9.425497e+03
+1.456348e+04 +8.229931e+05 +4.886922e-01 -1.132573e-01 +1.327831e+01 +1.327879e+01 -1.579326e+00 +8.229631e+05 +7.019459e+03
