Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+01 +7.545416e+02 +9.805109e-02 -3.609662e+04 +2.109290e+07 +2.109293e+07 -1.572508e+00 +7.545405e+02 +1.291257e+00
+1.123324e+01 +1.486621e+03 +1.164897e+02 -8.529919e+06 -4.250953e+06 +9.530484e+06 +2.679259e+00 -6.630886e+02 +1.330547e+03
+1.261857e+01 +1.030511e+03 +1.685067e+01 -3.547913e+06 +1.171380e+07 +1.223932e+07 -1.864896e+00 +9.862649e+02 +2.987229e+02
+1.417474e+01 +1.127035e+03 +5.690703e+00 -9.878629e+05 +9.913386e+06 +9.962484e+06 -1.670118e+00 +1.121480e+03 +1.117548e+02
+1.592283e+01 +1.506969e+03 +6.134489e-03 -7.101519e+02 +6.632779e+06 +6.632779e+06 -1.570903e+00 +1.506969e+03 +1.613467e-01
+1.788650e+01 +1.507031e+03 +7.956373e-03 -8.199083e+02 +5.904360e+06 +5.904360e+06 -1.570935e+00 +1.507031e+03 +2.092737e-01
+2.009233e+01 +1.507143e+03 +6.524444e-03 -5.984891e+02 +5.255758e+06 +5.255758e+06 -1.570910e+00 +1.507143e+03 +1.716229e-01
+2.257020e+01 +1.507015e+03 +4.159445e-03 -3.396877e+02 +4.679152e+06 +4.679152e+06 -1.570869e+00 +1.507015e+03 +1.094033e-01
+2.535364e+01 +1.506996e+03 +6.115894e-03 -4.446363e+02 +4.165504e+06 +4.165504e+06 -1.570903e+00 +1.506996e+03 +1.608605e-01
+2.848036e+01 +1.506918e+03 +4.100715e-03 -2.654129e+02 +3.708387e+06 +3.708387e+06 -1.570868e+00 +1.506918e+03 +1.078516e-01
+3.199267e+01 +1.506964e+03 +5.703459e-03 -3.286113e+02 +3.301161e+06 +3.301161e+06 -1.570896e+00 +1.506964e+03 +1.500094e-01
+3.593814e+01 +1.507011e+03 +8.813216e-03 -4.520224e+02 +2.938652e+06 +2.938652e+06 -1.570950e+00 +1.507011e+03 +2.318079e-01
+4.037017e+01 +1.507180e+03 +6.357619e-03 -2.902460e+02 +2.615739e+06 +2.615739e+06 -1.570907e+00 +1.507180e+03 +1.672387e-01
+4.534879e+01 +1.506966e+03 +2.874440e-02 -1.168374e+03 +2.328901e+06 +2.328901e+06 -1.571298e+00 +1.506966e+03 +7.560213e-01
+5.094138e+01 +1.505739e+03 +9.970274e-03 -3.610641e+02 +2.074913e+06 +2.074913e+06 -1.570970e+00 +1.505739e+03 +2.620198e-01
+5.722368e+01 +1.506453e+03 +1.346063e-02 -4.337422e+02 +1.846243e+06 +1.846243e+06 -1.571031e+00 +1.506453e+03 +3.539145e-01
+6.428073e+01 +1.506950e+03 +8.125339e-03 -2.330019e+02 +1.643011e+06 +1.643011e+06 -1.570938e+00 +1.506950e+03 +2.137064e-01
+7.220809e+01 +1.506727e+03 +1.505947e-02 -3.844917e+02 +1.462850e+06 +1.462850e+06 -1.571059e+00 +1.506727e+03 +3.960241e-01
+8.111308e+01 +1.506862e+03 +1.162465e-02 -2.641881e+02 +1.302135e+06 +1.302135e+06 -1.570999e+00 +1.506862e+03 +3.057248e-01
+9.111628e+01 +1.506885e+03 +1.481739e-02 -2.997733e+02 +1.159162e+06 +1.159162e+06 -1.571055e+00 +1.506885e+03 +3.896988e-01
+1.023531e+02 +1.507153e+03 +1.534107e-02 -2.762453e+02 +1.031720e+06 +1.031720e+06 -1.571064e+00 +1.507153e+03 +4.035436e-01
+1.149757e+02 +1.507247e+03 +1.943907e-02 -3.115893e+02 +9.183952e+05 +9.183953e+05 -1.571136e+00 +1.507247e+03 +5.113724e-01
+1.291550e+02 +1.507095e+03 +2.041465e-02 -2.913316e+02 +8.176516e+05 +8.176516e+05 -1.571153e+00 +1.507095e+03 +5.369824e-01
+1.450829e+02 +1.506939e+03 +3.194802e-02 -4.059099e+02 +7.279613e+05 +7.279614e+05 -1.571354e+00 +1.506939e+03 +8.402662e-01
+1.629751e+02 +1.506525e+03 +2.801407e-02 -3.169392e+02 +6.482200e+05 +6.482200e+05 -1.571285e+00 +1.506525e+03 +7.365971e-01
+1.830738e+02 +1.507072e+03 +1.796681e-02 -1.808873e+02 +5.768459e+05 +5.768459e+05 -1.571110e+00 +1.507072e+03 +4.725877e-01
+2.056512e+02 +1.507187e+03 +2.105384e-02 -1.886819e+02 +5.134777e+05 +5.134777e+05 -1.571164e+00 +1.507187e+03 +5.538292e-01
+2.310130e+02 +1.507197e+03 +2.478915e-02 -1.977665e+02 +4.571026e+05 +4.571026e+05 -1.571229e+00 +1.507197e+03 +6.520923e-01
+2.595024e+02 +1.507158e+03 +1.850575e-02 -1.314329e+02 +4.069301e+05 +4.069302e+05 -1.571119e+00 +1.507158e+03 +4.867915e-01
+2.915053e+02 +1.507076e+03 +2.799078e-02 -1.769827e+02 +3.622750e+05 +3.622751e+05 -1.571285e+00 +1.507076e+03 +7.362539e-01
+3.274549e+02 +1.507338e+03 +2.920649e-02 -1.643670e+02 +3.224467e+05 +3.224468e+05 -1.571306e+00 +1.507338e+03 +7.683645e-01
+3.678380e+02 +1.507286e+03 +3.558674e-02 -1.782926e+02 +2.870567e+05 +2.870568e+05 -1.571417e+00 +1.507286e+03 +9.361842e-01
+4.132012e+02 +1.507099e+03 +3.176609e-02 -1.416961e+02 +2.555741e+05 +2.555741e+05 -1.571351e+00 +1.507098e+03 +8.355699e-01
+4.641589e+02 +1.507208e+03 +4.359050e-02 -1.730810e+02 +2.274993e+05 +2.274993e+05 -1.571557e+00 +1.507208e+03 +1.146681e+00
+5.214008e+02 +1.507163e+03 +4.229022e-02 -1.494877e+02 +2.025294e+05 +2.025294e+05 -1.571534e+00 +1.507163e+03 +1.112442e+00
+5.857021e+02 +1.507070e+03 +5.140795e-02 -1.617773e+02 +1.803058e+05 +1.803059e+05 -1.571694e+00 +1.507070e+03 +1.352201e+00
+6.579332e+02 +1.507220e+03 +5.593515e-02 -1.566836e+02 +1.604949e+05 +1.604950e+05 -1.571773e+00 +1.507220e+03 +1.471428e+00
+7.390722e+02 +1.507435e+03 +5.993602e-02 -1.494375e+02 +1.428546e+05 +1.428547e+05 -1.571842e+00 +1.507435e+03 +1.576899e+00
+8.302176e+02 +1.507136e+03 +7.283598e-02 -1.616959e+02 +1.271966e+05 +1.271967e+05 -1.572068e+00 +1.507134e+03 +1.915912e+00
+9.326033e+02 +1.507110e+03 +7.474153e-02 -1.477125e+02 +1.132342e+05 +1.132343e+05 -1.572101e+00 +1.507109e+03 +1.966003e+00
+1.047616e+03 +1.507352e+03 +8.728950e-02 -1.535475e+02 +1.007866e+05 +1.007868e+05 -1.572320e+00 +1.507350e+03 +2.296433e+00
+1.176812e+03 +1.507182e+03 +9.882521e-02 -1.547720e+02 +8.973190e+04 +8.973203e+04 -1.572521e+00 +1.507179e+03 +2.599624e+00
+1.321941e+03 +1.507272e+03 +1.087519e-01 -1.516110e+02 +7.987588e+04 +7.987602e+04 -1.572694e+00 +1.507269e+03 +2.860920e+00
+1.484968e+03 +1.507293e+03 +1.197550e-01 -1.486196e+02 +7.110570e+04 +7.110585e+04 -1.572886e+00 +1.507289e+03 +3.150420e+00
+1.668101e+03 +1.507049e+03 +1.322122e-01 -1.460895e+02 +6.330956e+04 +6.330972e+04 -1.573104e+00 +1.507045e+03 +3.477572e+00
+1.873817e+03 +1.507332e+03 +1.485250e-01 -1.460698e+02 +5.634852e+04 +5.634871e+04 -1.573389e+00 +1.507327e+03 +3.907378e+00
+2.104904e+03 +1.507084e+03 +1.690794e-01 -1.480532e+02 +5.017051e+04 +5.017073e+04 -1.573747e+00 +1.507077e+03 +4.447386e+00
+2.364489e+03 +1.506916e+03 +1.815325e-01 -1.415223e+02 +4.466749e+04 +4.466772e+04 -1.573965e+00 +1.506908e+03 +4.774414e+00
+2.656088e+03 +1.506943e+03 +2.090479e-01 -1.450785e+02 +3.976289e+04 +3.976315e+04 -1.574445e+00 +1.506933e+03 +5.498182e+00
+2.983647e+03 +1.506662e+03 +2.322745e-01 -1.435273e+02 +3.540408e+04 +3.540437e+04 -1.574850e+00 +1.506649e+03 +6.107922e+00
+3.351603e+03 +1.506512e+03 +2.569280e-01 -1.413456e+02 +3.152031e+04 +3.152063e+04 -1.575281e+00 +1.506497e+03 +6.755540e+00
+3.764936e+03 +1.506371e+03 +2.886436e-01 -1.413735e+02 +2.806241e+04 +2.806277e+04 -1.575834e+00 +1.506352e+03 +7.588737e+00
+4.229243e+03 +1.506064e+03 +3.264479e-01 -1.423649e+02 +2.498660e+04 +2.498700e+04 -1.576494e+00 +1.506039e+03 +8.580888e+00
+4.750810e+03 +1.505468e+03 +3.665183e-01 -1.423479e+02 +2.225216e+04 +2.225262e+04 -1.577193e+00 +1.505437e+03 +9.630336e+00
+5.336699e+03 +1.505167e+03 +4.123245e-01 -1.425855e+02 +1.981305e+04 +1.981357e+04 -1.577993e+00 +1.505128e+03 +1.083172e+01
+5.994843e+03 +1.504501e+03 +4.678230e-01 -1.440800e+02 +1.764555e+04 +1.764614e+04 -1.578961e+00 +1.504451e+03 +1.228419e+01
+6.734151e+03 +1.503764e+03 +5.284798e-01 -1.449630e+02 +1.571589e+04 +1.571656e+04 -1.580020e+00 +1.503700e+03 +1.387009e+01
+7.564633e+03 +1.502680e+03 +6.094775e-01 -1.489336e+02 +1.400043e+04 +1.400122e+04 -1.581434e+00 +1.502595e+03 +1.598429e+01
+8.497534e+03 +1.501635e+03 +6.893005e-01 -1.500508e+02 +1.247187e+04 +1.247277e+04 -1.582827e+00 +1.501526e+03 +1.806508e+01
+9.545485e+03 +1.500498e+03 +7.861742e-01 -1.524646e+02 +1.111081e+04 +1.111186e+04 -1.584518e+00 +1.500357e+03 +2.058819e+01
+1.072267e+04 +1.498616e+03 +9.184687e-01 -1.587632e+02 +9.903095e+03 +9.904367e+03 -1.586827e+00 +1.498423e+03 +2.402224e+01
+1.204504e+04 +1.496597e+03 +1.058100e+00 -1.630371e+02 +8.827405e+03 +8.828910e+03 -1.589264e+00 +1.496342e+03 +2.763658e+01
+1.353048e+04 +1.495452e+03 +1.248577e+00 -1.713929e+02 +7.863780e+03 +7.865647e+03 -1.592588e+00 +1.495097e+03 +3.258598e+01
