Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+1.000000e+02 +8.041995e-01 +3.269788e-01 -6.356373e+08 +1.874192e+09 +1.979048e+09 -1.897775e+00 +7.615906e-01 +2.582955e-01
+1.206793e+02 +4.127843e+00 +2.815468e+00 -1.023582e+08 -3.026549e+08 +3.194952e+08 +1.896921e+00 -3.910268e+00 +1.322457e+00
+1.456348e+02 +3.118605e+00 +2.666354e+00 -1.603371e+08 -3.115916e+08 +3.504245e+08 +2.046035e+00 -2.773012e+00 +1.426921e+00
+1.757511e+02 +2.430960e+00 +2.685541e+00 -1.640585e+08 -3.344438e+08 +3.725156e+08 +2.026848e+00 -2.182511e+00 +1.070612e+00
+2.120951e+02 +3.174804e-01 -1.155753e-02 +2.731669e+07 +2.363435e+09 +2.363592e+09 -1.559239e+00 +3.174592e-01 -3.669209e-03
+2.559548e+02 +8.132293e-01 +2.526301e+00 -4.413342e+08 -6.243902e+08 +7.646169e+08 +2.186088e+00 -6.640873e-01 +4.693931e-01
+3.088844e+02 +2.391377e+00 -1.980229e+00 +1.976559e+08 -8.577408e+07 +2.154648e+08 +4.094324e-01 -9.519800e-01 -2.193722e+00
+3.727594e+02 +8.514886e+00 -1.766533e+00 +4.918577e+07 -9.752336e+06 +5.014328e+07 +1.957369e-01 -1.656055e+00 -8.352291e+00
+4.498433e+02 +8.448679e-03 -2.480579e+00 +2.570868e+10 -3.305606e+10 +4.187647e+10 +9.097830e-01 -6.669138e-03 -5.186788e-03
+5.428675e+02 +7.461597e-03 -1.803335e+00 +3.823359e+10 -9.054566e+09 +3.929113e+10 +2.325382e-01 -1.719511e-03 -7.260765e-03
+6.551286e+02 +7.736015e-04 +8.657502e-01 -2.391623e+11 +2.035155e+11 +3.140337e+11 -2.436547e+00 +5.013471e-04 +5.891607e-04
+7.906043e+02 +1.191042e-03 -8.381342e-02 +1.414943e+10 +1.684251e+11 +1.690184e+11 -1.486983e+00 +1.186861e-03 -9.970846e-05
+9.540955e+02 +7.394669e-01 -2.307981e+00 +1.670147e+08 -1.516394e+08 +2.255847e+08 +7.371848e-01 -4.970743e-01 -5.474746e-01
+1.151395e+03 +1.133519e+00 -9.667017e-01 +1.003634e+08 +6.926731e+07 +1.219458e+08 -6.040946e-01 +6.438582e-01 -9.329050e-01
+1.389495e+03 +6.476797e+00 -2.948904e+00 +3.386631e+06 -1.735761e+07 +1.768491e+07 +1.378108e+00 -6.356930e+00 -1.240296e+00
+1.676833e+03 +1.707004e+00 -2.270284e+00 +4.254563e+07 -3.579844e+07 +5.560269e+07 +6.994876e-01 -1.099013e+00 -1.306152e+00
+2.023590e+03 +1.436803e+00 +1.284397e+00 -5.250977e+07 +1.546391e+07 +5.473946e+07 -2.855193e+00 +4.058971e-01 +1.378278e+00
+2.442053e+03 +2.708587e+00 -1.619074e+00 +2.403344e+07 -1.161177e+06 +2.406148e+07 +4.827753e-02 -1.307131e-01 -2.705431e+00
+2.947052e+03 +7.575862e-01 -2.762520e+00 +2.637981e+07 -6.622468e+07 +7.128536e+07 +1.191723e+00 -7.038037e-01 -2.803518e-01
+3.556480e+03 +1.399707e+00 +1.821891e+00 -3.096887e+07 -7.943765e+06 +3.197146e+07 +2.890498e+00 -3.477772e-01 +1.355814e+00
+4.291934e+03 +1.444300e-02 -1.150002e+00 +2.343519e+09 +1.048785e+09 +2.567496e+09 -4.207944e-01 +5.899758e-03 -1.318306e-02
+5.179475e+03 +1.225746e-02 -2.781562e+00 +8.831807e+08 -2.346156e+09 +2.506882e+09 +1.210766e+00 -1.147159e-02 -4.318335e-03
+6.250552e+03 +1.463171e-02 +2.511484e+00 -1.025400e+09 -1.406043e+09 +1.740230e+09 +2.200905e+00 -1.182189e-02 +8.621477e-03
+7.543120e+03 +5.396184e-04 +1.994070e-01 -7.745347e+09 +3.832570e+10 +3.910051e+10 -1.770203e+00 +5.289254e-04 +1.068920e-04
+9.102982e+03 +4.021649e+00 +1.781087e+00 -4.251655e+06 -9.074992e+05 +4.347427e+06 +2.931302e+00 -8.394948e-01 +3.933053e+00
+1.098541e+04 +2.930145e+00 +1.162192e-01 -5.733431e+05 +4.911058e+06 +4.944412e+06 -1.687016e+00 +2.910379e+00 +3.397732e-01
+1.325711e+04 +3.606046e+00 -3.016413e+00 +4.156592e+05 -3.303150e+06 +3.329200e+06 +1.445617e+00 -3.577830e+00 -4.502242e-01
+1.599859e+04 +2.189355e+00 +7.470032e-01 -3.087275e+06 +3.333938e+06 +4.543832e+06 -2.317799e+00 +1.606392e+00 +1.487542e+00
+1.930698e+04 +2.311906e-01 +1.937341e+00 -3.328766e+07 -1.277889e+07 +3.565626e+07 +2.775048e+00 -8.285670e-02 +2.158329e-01
+2.329952e+04 +7.012339e-01 -3.005025e+00 +1.326197e+06 -9.650452e+06 +9.741151e+06 +1.434228e+00 -6.947048e-01 -9.546860e-02
+2.811769e+04 +3.411706e-01 -1.165586e+00 +1.524733e+07 +6.540313e+06 +1.659086e+07 -4.052101e-01 +1.344935e-01 -3.135425e-01
