Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+5.794984e+01 +2.090278e+02 -1.007443e+00 +2.310145e+05 +1.313702e+07 +1.313905e+07 -1.553213e+00 +2.089955e+02 -3.675187e+00
+6.069215e+01 +2.104167e+02 -1.028775e+00 +2.237596e+05 +1.246056e+07 +1.246257e+07 -1.552841e+00 +2.103827e+02 -3.777934e+00
+6.356424e+01 +2.104167e+02 -1.041380e+00 +2.162667e+05 +1.189749e+07 +1.189946e+07 -1.552621e+00 +2.103819e+02 -3.824219e+00
+6.657224e+01 +2.083333e+02 -1.050106e+00 +2.103074e+05 +1.147348e+07 +1.147541e+07 -1.552469e+00 +2.082983e+02 -3.818081e+00
+6.972259e+01 +2.055556e+02 -1.056894e+00 +2.048338e+05 +1.110308e+07 +1.110497e+07 -1.552350e+00 +2.055206e+02 -3.791520e+00
+7.302202e+01 +2.013889e+02 -1.063681e+00 +2.009068e+05 +1.082072e+07 +1.082258e+07 -1.552232e+00 +2.013542e+02 -3.738517e+00
+7.647758e+01 +1.972222e+02 -1.069499e+00 +1.969530e+05 +1.055005e+07 +1.055189e+07 -1.552130e+00 +1.971879e+02 -3.681191e+00
+8.009667e+01 +1.930556e+02 -1.075317e+00 +1.931575e+05 +1.029075e+07 +1.029256e+07 -1.552029e+00 +1.930216e+02 -3.623019e+00
+8.388702e+01 +1.881944e+02 -1.079195e+00 +1.898761e+05 +1.007956e+07 +1.008135e+07 -1.551961e+00 +1.881611e+02 -3.544529e+00
+8.785674e+01 +1.840278e+02 -1.083074e+00 +1.860678e+05 +9.842016e+06 +9.843774e+06 -1.551893e+00 +1.839949e+02 -3.478507e+00
+9.201432e+01 +1.798611e+02 -1.085983e+00 +1.822643e+05 +9.615003e+06 +9.616730e+06 -1.551842e+00 +1.798288e+02 -3.408878e+00
+9.636864e+01 +1.750000e+02 -1.090831e+00 +1.796614e+05 +9.435559e+06 +9.437269e+06 -1.551758e+00 +1.749683e+02 -3.331552e+00
+1.009290e+02 +1.708333e+02 -1.094709e+00 +1.763523e+05 +9.228948e+06 +9.230632e+06 -1.551690e+00 +1.708022e+02 -3.263791e+00
+1.057052e+02 +1.666667e+02 -1.098588e+00 +1.732050e+05 +9.032234e+06 +9.033894e+06 -1.551622e+00 +1.666360e+02 -3.195467e+00
+1.107074e+02 +1.625000e+02 -1.101497e+00 +1.700685e+05 +8.845244e+06 +8.846878e+06 -1.551572e+00 +1.624700e+02 -3.123828e+00
+1.159463e+02 +1.583333e+02 -1.104406e+00 +1.670974e+05 +8.667824e+06 +8.669434e+06 -1.551521e+00 +1.583039e+02 -3.051767e+00
+1.214332e+02 +1.541667e+02 -1.106345e+00 +1.641471e+05 +8.499851e+06 +8.501436e+06 -1.551487e+00 +1.541379e+02 -2.976675e+00
+1.271797e+02 +1.506944e+02 -1.109254e+00 +1.607631e+05 +8.302786e+06 +8.304342e+06 -1.551436e+00 +1.506662e+02 -2.917282e+00
+1.331981e+02 +1.465278e+02 -1.112163e+00 +1.582780e+05 +8.153055e+06 +8.154591e+06 -1.551385e+00 +1.465002e+02 -2.844057e+00
+1.395013e+02 +1.423611e+02 -1.115071e+00 +1.559564e+05 +8.012503e+06 +8.014021e+06 -1.551335e+00 +1.423342e+02 -2.770410e+00
+1.461028e+02 +1.388889e+02 -1.117980e+00 +1.530305e+05 +7.841720e+06 +7.843213e+06 -1.551284e+00 +1.388624e+02 -2.709889e+00
+1.530167e+02 +1.347222e+02 -1.120889e+00 +1.510269e+05 +7.718961e+06 +7.720438e+06 -1.551233e+00 +1.346964e+02 -2.635431e+00
+1.602578e+02 +1.312500e+02 -1.124768e+00 +1.485299e+05 +7.565155e+06 +7.566613e+06 -1.551165e+00 +1.312247e+02 -2.576390e+00
