Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+5.794984e+01 +9.416667e+02 -7.853982e-01 +3.997830e+04 +2.916285e+06 +2.916559e+06 -1.557089e+00 +9.415782e+02 -1.290776e+01
+6.069215e+01 +9.152778e+02 -7.863678e-01 +3.932096e+04 +2.864797e+06 +2.865066e+06 -1.557072e+00 +9.151916e+02 -1.256153e+01
+6.356424e+01 +8.909722e+02 -7.853982e-01 +3.852093e+04 +2.809974e+06 +2.810238e+06 -1.557089e+00 +8.908885e+02 -1.221287e+01
+6.657224e+01 +8.666667e+02 -7.853982e-01 +3.781190e+04 +2.758253e+06 +2.758512e+06 -1.557089e+00 +8.665852e+02 -1.187971e+01
+6.972259e+01 +8.437500e+02 -7.853982e-01 +3.708399e+04 +2.705154e+06 +2.705409e+06 -1.557089e+00 +8.436707e+02 -1.156558e+01
+7.302202e+01 +8.215278e+02 -7.844285e-01 +3.632129e+04 +2.652793e+06 +2.653042e+06 -1.557105e+00 +8.214508e+02 -1.124707e+01
+7.647758e+01 +7.993056e+02 -7.824893e-01 +3.555621e+04 +2.603351e+06 +2.603593e+06 -1.557139e+00 +7.992310e+02 -1.091579e+01
+8.009667e+01 +7.777778e+02 -7.805500e-01 +3.480285e+04 +2.554523e+06 +2.554760e+06 -1.557173e+00 +7.777056e+02 -1.059547e+01
+8.388702e+01 +7.576389e+02 -7.776411e-01 +3.398649e+04 +2.503935e+06 +2.504166e+06 -1.557224e+00 +7.575691e+02 -1.028266e+01
+8.785674e+01 +7.375000e+02 -7.747323e-01 +3.321229e+04 +2.456084e+06 +2.456309e+06 -1.557275e+00 +7.374326e+02 -9.971897e+00
+9.201432e+01 +7.180556e+02 -7.708538e-01 +3.240731e+04 +2.408615e+06 +2.408833e+06 -1.557342e+00 +7.179906e+02 -9.660382e+00
+9.636864e+01 +6.986111e+02 -7.679449e-01 +3.168424e+04 +2.363795e+06 +2.364008e+06 -1.557393e+00 +6.985484e+02 -9.363321e+00
