Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+5.794984e+01 +2.537625e+02 -9.880503e-01 +1.866274e+05 +1.082121e+07 +1.082282e+07 -1.553552e+00 +2.537248e+02 -4.375849e+00
+6.069215e+01 +2.499750e+02 -9.977466e-01 +1.826698e+05 +1.048878e+07 +1.049038e+07 -1.553382e+00 +2.499371e+02 -4.352835e+00
+6.356424e+01 +2.442938e+02 -1.002595e+00 +1.793393e+05 +1.024775e+07 +1.024932e+07 -1.553298e+00 +2.442563e+02 -4.274575e+00
+6.657224e+01 +2.386125e+02 -1.005504e+00 +1.758217e+05 +1.001767e+07 +1.001922e+07 -1.553247e+00 +2.385758e+02 -4.187279e+00
+6.972259e+01 +2.335625e+02 -1.007443e+00 +1.718379e+05 +9.771841e+06 +9.773352e+06 -1.553213e+00 +2.335264e+02 -4.106563e+00
+7.302202e+01 +2.285125e+02 -1.009382e+00 +1.680223e+05 +9.536499e+06 +9.537979e+06 -1.553179e+00 +2.284770e+02 -4.025506e+00
+7.647758e+01 +2.234625e+02 -1.011321e+00 +1.643710e+05 +9.311372e+06 +9.312823e+06 -1.553145e+00 +2.234277e+02 -3.944107e+00
+8.009667e+01 +2.184125e+02 -1.013261e+00 +1.608807e+05 +9.096206e+06 +9.097628e+06 -1.553112e+00 +2.183783e+02 -3.862366e+00
+8.388702e+01 +2.133625e+02 -1.015200e+00 +1.575482e+05 +8.890764e+06 +8.892160e+06 -1.553078e+00 +2.133290e+02 -3.780283e+00
+8.785674e+01 +2.083125e+02 -1.019078e+00 +1.546649e+05 +8.694828e+06 +8.696204e+06 -1.553010e+00 +2.082796e+02 -3.704908e+00
+9.201432e+01 +2.032625e+02 -1.021018e+00 +1.516335e+05 +8.508216e+06 +8.509567e+06 -1.552976e+00 +2.032302e+02 -3.621970e+00
+9.636864e+01 +1.988438e+02 -1.022957e+00 +1.482805e+05 +8.304304e+06 +8.305627e+06 -1.552942e+00 +1.988121e+02 -3.549961e+00
