Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+5.794984e+01 +1.701389e+02 -1.159674e+00 +3.266992e+05 +1.613895e+07 +1.614226e+07 -1.550556e+00 +1.701040e+02 -3.443399e+00
+6.069215e+01 +1.666667e+02 -1.166462e+00 +3.202998e+05 +1.573073e+07 +1.573399e+07 -1.550438e+00 +1.666321e+02 -3.392865e+00
+6.356424e+01 +1.625000e+02 -1.172279e+00 +3.152333e+05 +1.540505e+07 +1.540827e+07 -1.550336e+00 +1.624660e+02 -3.324540e+00
+6.657224e+01 +1.583333e+02 -1.177128e+00 +3.101880e+05 +1.509604e+07 +1.509922e+07 -1.550252e+00 +1.582999e+02 -3.252690e+00
+6.972259e+01 +1.541667e+02 -1.181976e+00 +3.054297e+05 +1.480348e+07 +1.480663e+07 -1.550167e+00 +1.541339e+02 -3.180135e+00
+7.302202e+01 +1.506944e+02 -1.185854e+00 +2.993276e+05 +1.446026e+07 +1.446336e+07 -1.550099e+00 +1.506622e+02 -3.118709e+00
+7.647758e+01 +1.465278e+02 -1.189733e+00 +2.948911e+05 +1.419948e+07 +1.420254e+07 -1.550032e+00 +1.464962e+02 -3.042395e+00
+8.009667e+01 +1.423611e+02 -1.194581e+00 +2.909885e+05 +1.395468e+07 +1.395771e+07 -1.549947e+00 +1.423302e+02 -2.967924e+00
+8.388702e+01 +1.388889e+02 -1.198459e+00 +2.857109e+05 +1.365724e+07 +1.366022e+07 -1.549879e+00 +1.388585e+02 -2.904936e+00
+8.785674e+01 +1.347222e+02 -1.203308e+00 +2.823761e+05 +1.344343e+07 +1.344639e+07 -1.549795e+00 +1.346925e+02 -2.829185e+00
+9.201432e+01 +1.312500e+02 -1.208156e+00 +2.778648e+05 +1.317555e+07 +1.317848e+07 -1.549710e+00 +1.312208e+02 -2.767371e+00
+9.636864e+01 +1.277778e+02 -1.212034e+00 +2.733940e+05 +1.292206e+07 +1.292496e+07 -1.549642e+00 +1.277492e+02 -2.702808e+00
+1.009290e+02 +1.243056e+02 -1.215913e+00 +2.691911e+05 +1.268282e+07 +1.268567e+07 -1.549575e+00 +1.242776e+02 -2.637775e+00
+1.057052e+02 +1.208333e+02 -1.219791e+00 +2.652571e+05 +1.245772e+07 +1.246054e+07 -1.549507e+00 +1.208060e+02 -2.572272e+00
+1.107074e+02 +1.173611e+02 -1.223670e+00 +2.615940e+05 +1.224673e+07 +1.224952e+07 -1.549439e+00 +1.173343e+02 -2.506298e+00
+1.159463e+02 +1.138889e+02 -1.227548e+00 +2.582049e+05 +1.204986e+07 +1.205263e+07 -1.549372e+00 +1.138628e+02 -2.439855e+00
+1.214332e+02 +1.111111e+02 -1.232396e+00 +2.536995e+05 +1.179301e+07 +1.179574e+07 -1.549287e+00 +1.110854e+02 -2.389746e+00
+1.271797e+02 +1.083333e+02 -1.237245e+00 +2.494247e+05 +1.154886e+07 +1.155155e+07 -1.549202e+00 +1.083081e+02 -2.339167e+00
+1.331981e+02 +1.055556e+02 -1.241123e+00 +2.451880e+05 +1.131720e+07 +1.131986e+07 -1.549135e+00 +1.055308e+02 -2.286332e+00
+1.395013e+02 +1.027778e+02 -1.245971e+00 +2.413758e+05 +1.109788e+07 +1.110050e+07 -1.549050e+00 +1.027535e+02 -2.234860e+00
+1.461028e+02 +1.000000e+02 -1.249850e+00 +2.376086e+05 +1.089076e+07 +1.089335e+07 -1.548982e+00 +9.997621e+01 -2.181226e+00
+1.530167e+02 +9.722222e+01 -1.253728e+00 +2.340786e+05 +1.069576e+07 +1.069832e+07 -1.548915e+00 +9.719895e+01 -2.127216e+00
+1.602578e+02 +9.513889e+01 -1.257607e+00 +2.291027e+05 +1.043610e+07 +1.043861e+07 -1.548847e+00 +9.511597e+01 -2.088072e+00
+1.678416e+02 +9.236111e+01 -1.261485e+00 +2.260247e+05 +1.026422e+07 +1.026671e+07 -1.548779e+00 +9.233873e+01 -2.033357e+00
+1.757842e+02 +9.027778e+01 -1.266333e+00 +2.216406e+05 +1.002659e+07 +1.002904e+07 -1.548695e+00 +9.025573e+01 -1.995129e+00
+1.841027e+02 +8.750000e+01 -1.269242e+00 +2.188458e+05 +9.877460e+06 +9.879884e+06 -1.548644e+00 +8.747853e+01 -1.938181e+00
+1.928149e+02 +8.472222e+01 -1.273121e+00 +2.164679e+05 +9.740360e+06 +9.742765e+06 -1.548576e+00 +8.470131e+01 -1.882385e+00
+2.019393e+02 +8.263889e+01 -1.277969e+00 +2.127044e+05 +9.534694e+06 +9.537066e+06 -1.548492e+00 +8.261833e+01 -1.843088e+00
+2.114955e+02 +7.986111e+01 -1.281847e+00 +2.107954e+05 +9.420520e+06 +9.422878e+06 -1.548424e+00 +7.984113e+01 -1.786540e+00
+2.215040e+02 +7.777778e+01 -1.286696e+00 +2.074434e+05 +9.235779e+06 +9.238109e+06 -1.548339e+00 +7.775817e+01 -1.746514e+00
+2.319860e+02 +7.569444e+01 -1.292513e+00 +2.044419e+05 +9.061159e+06 +9.063465e+06 -1.548238e+00 +7.567519e+01 -1.707417e+00
+2.429641e+02 +7.291667e+01 -1.298331e+00 +2.035527e+05 +8.981309e+06 +8.983616e+06 -1.548136e+00 +7.289795e+01 -1.652161e+00
+2.544617e+02 +7.083333e+01 -1.305118e+00 +2.011174e+05 +8.827694e+06 +8.829985e+06 -1.548018e+00 +7.081496e+01 -1.613346e+00
+2.665034e+02 +6.875000e+01 -1.310936e+00 +1.987310e+05 +8.684222e+06 +8.686496e+06 -1.547916e+00 +6.873201e+01 -1.572873e+00
+2.791150e+02 +6.736111e+01 -1.317724e+00 +1.946665e+05 +8.462777e+06 +8.465015e+06 -1.547798e+00 +6.734330e+01 -1.549076e+00
+2.923233e+02 +6.527778e+01 -1.324511e+00 +1.927905e+05 +8.338257e+06 +8.340485e+06 -1.547679e+00 +6.526034e+01 -1.508897e+00
+3.061567e+02 +6.319444e+01 -1.330329e+00 +1.909830e+05 +8.223948e+06 +8.226166e+06 -1.547578e+00 +6.317741e+01 -1.467156e+00
+3.206447e+02 +6.180556e+01 -1.337116e+00 +1.874026e+05 +8.028793e+06 +8.030980e+06 -1.547459e+00 +6.178873e+01 -1.442230e+00
+3.358183e+02 +5.972222e+01 -1.342934e+00 +1.859825e+05 +7.933420e+06 +7.935600e+06 -1.547358e+00 +5.970582e+01 -1.399678e+00
+3.517100e+02 +5.763889e+01 -1.348752e+00 +1.847945e+05 +7.848731e+06 +7.850906e+06 -1.547256e+00 +5.762292e+01 -1.356703e+00
+3.683537e+02 +5.625000e+01 -1.355539e+00 +1.817111e+05 +7.679112e+06 +7.681261e+06 -1.547138e+00 +5.623426e+01 -1.330673e+00
+3.857850e+02 +5.486111e+01 -1.362326e+00 +1.787836e+05 +7.517741e+06 +7.519867e+06 -1.547019e+00 +5.484560e+01 -1.304314e+00
+4.040412e+02 +5.347222e+01 -1.370083e+00 +1.761364e+05 +7.364479e+06 +7.366585e+06 -1.546884e+00 +5.345694e+01 -1.278531e+00
+4.231614e+02 +5.138889e+01 -1.377840e+00 +1.759865e+05 +7.316768e+06 +7.318884e+06 -1.546748e+00 +5.137403e+01 -1.235673e+00
+4.431863e+02 +5.000000e+01 -1.383658e+00 +1.734314e+05 +7.180210e+06 +7.182304e+06 -1.546647e+00 +4.998542e+01 -1.207352e+00
+4.641589e+02 +4.861111e+01 -1.390446e+00 +1.711617e+05 +7.051638e+06 +7.053715e+06 -1.546528e+00 +4.859680e+01 -1.179572e+00
+4.861239e+02 +4.722222e+01 -1.396263e+00 +1.689384e+05 +6.931030e+06 +6.933088e+06 -1.546427e+00 +4.720820e+01 -1.150663e+00
+5.091284e+02 +4.652778e+01 -1.403051e+00 +1.645083e+05 +6.716612e+06 +6.718627e+06 -1.546308e+00 +4.651383e+01 -1.139252e+00
+5.332215e+02 +4.513889e+01 -1.408869e+00 +1.625795e+05 +6.610439e+06 +6.612438e+06 -1.546207e+00 +4.512524e+01 -1.109826e+00
+5.584547e+02 +4.375000e+01 -1.412747e+00 +1.606024e+05 +6.512115e+06 +6.514096e+06 -1.546139e+00 +4.373670e+01 -1.078638e+00
+5.848820e+02 +4.236111e+01 -1.414686e+00 +1.585908e+05 +6.421731e+06 +6.423689e+06 -1.546105e+00 +4.234820e+01 -1.045829e+00
+6.125599e+02 +4.097222e+01 -1.416626e+00 +1.567726e+05 +6.339416e+06 +6.341354e+06 -1.546072e+00 +4.095970e+01 -1.012926e+00
+6.415476e+02 +4.027778e+01 -1.417595e+00 +1.523740e+05 +6.157335e+06 +6.159220e+06 -1.546055e+00 +4.026545e+01 -9.964392e-01
+6.719071e+02 +3.958333e+01 -1.419534e+00 +1.482441e+05 +5.982259e+06 +5.984096e+06 -1.546021e+00 +3.957119e+01 -9.805985e-01
+7.037033e+02 +3.819444e+01 -1.421474e+00 +1.468933e+05 +5.919659e+06 +5.921481e+06 -1.545987e+00 +3.818269e+01 -9.474839e-01
+7.370041e+02 +3.680556e+01 -1.422443e+00 +1.456480e+05 +5.865473e+06 +5.867281e+06 -1.545970e+00 +3.679421e+01 -9.136526e-01
+7.718807e+02 +3.541667e+01 -1.422443e+00 +1.445207e+05 +5.820073e+06 +5.821867e+06 -1.545970e+00 +3.540575e+01 -8.791752e-01
+8.084079e+02 +3.472222e+01 -1.421474e+00 +1.406545e+05 +5.668243e+06 +5.669987e+06 -1.545987e+00 +3.471154e+01 -8.613490e-01
+8.466635e+02 +3.402778e+01 -1.421474e+00 +1.370400e+05 +5.522580e+06 +5.524280e+06 -1.545987e+00 +3.401731e+01 -8.441220e-01
+8.867295e+02 +3.333333e+01 -1.421474e+00 +1.335740e+05 +5.382903e+06 +5.384560e+06 -1.545987e+00 +3.332308e+01 -8.268951e-01
+9.286915e+02 +3.263889e+01 -1.419534e+00 +1.300745e+05 +5.249041e+06 +5.250653e+06 -1.546021e+00 +3.262887e+01 -8.085637e-01
+9.726393e+02 +3.125000e+01 -1.418565e+00 +1.296285e+05 +5.234620e+06 +5.236225e+06 -1.546038e+00 +3.124042e+01 -7.736280e-01
+1.018667e+03 +2.986111e+01 -1.416626e+00 +1.293511e+05 +5.230573e+06 +5.232172e+06 -1.546072e+00 +2.985198e+01 -7.382342e-01
+1.066872e+03 +2.916667e+01 -1.412747e+00 +1.261010e+05 +5.113154e+06 +5.114708e+06 -1.546139e+00 +2.915780e+01 -7.190922e-01
+1.117359e+03 +2.847222e+01 -1.409838e+00 +1.230860e+05 +5.001203e+06 +5.002718e+06 -1.546190e+00 +2.846360e+01 -7.005259e-01
+1.170235e+03 +2.777778e+01 -1.406929e+00 +1.202141e+05 +4.894616e+06 +4.896092e+06 -1.546241e+00 +2.776940e+01 -6.820300e-01
+1.225613e+03 +2.708333e+01 -1.404020e+00 +1.174822e+05 +4.793295e+06 +4.794735e+06 -1.546292e+00 +2.707520e+01 -6.636047e-01
+1.283612e+03 +2.638889e+01 -1.399172e+00 +1.147283e+05 +4.697165e+06 +4.698566e+06 -1.546376e+00 +2.638102e+01 -6.443569e-01
+1.344355e+03 +2.569444e+01 -1.395294e+00 +1.121933e+05 +4.606150e+06 +4.607516e+06 -1.546444e+00 +2.568683e+01 -6.256614e-01
+1.407973e+03 +2.500000e+01 -1.391415e+00 +1.097936e+05 +4.520200e+06 +4.521533e+06 -1.546512e+00 +2.499263e+01 -6.070598e-01
+1.474602e+03 +2.430556e+01 -1.385598e+00 +1.073772e+05 +4.439283e+06 +4.440582e+06 -1.546613e+00 +2.429845e+01 -5.877298e-01
+1.544383e+03 +2.361111e+01 -1.379780e+00 +1.050979e+05 +4.363377e+06 +4.364643e+06 -1.546715e+00 +2.360427e+01 -5.685407e-01
+1.617467e+03 +2.291667e+01 -1.376871e+00 +1.031721e+05 +4.292477e+06 +4.293716e+06 -1.546765e+00 +2.291005e+01 -5.506558e-01
+1.694009e+03 +2.222222e+01 -1.372992e+00 +1.013027e+05 +4.226611e+06 +4.227825e+06 -1.546833e+00 +2.221584e+01 -5.324654e-01
+1.774173e+03 +2.152778e+01 -1.368144e+00 +9.949309e+04 +4.165826e+06 +4.167014e+06 -1.546918e+00 +2.152164e+01 -5.140048e-01
+1.858131e+03 +2.083333e+01 -1.364266e+00 +9.788595e+04 +4.110190e+06 +4.111356e+06 -1.546985e+00 +2.082743e+01 -4.960141e-01
+1.946062e+03 +2.013889e+01 -1.358448e+00 +9.627370e+04 +4.059812e+06 +4.060953e+06 -1.547087e+00 +2.013323e+01 -4.774360e-01
+2.038154e+03 +1.944444e+01 -1.351661e+00 +9.473105e+04 +4.014827e+06 +4.015944e+06 -1.547205e+00 +1.943903e+01 -4.586699e-01
+2.134604e+03 +1.875000e+01 -1.345843e+00 +9.339709e+04 +3.975409e+06 +3.976506e+06 -1.547307e+00 +1.874483e+01 -4.403855e-01
+2.235618e+03 +1.875000e+01 -1.340025e+00 +8.879161e+04 +3.795793e+06 +3.796831e+06 -1.547408e+00 +1.874487e+01 -4.384822e-01
+2.341412e+03 +1.805556e+01 -1.335177e+00 +8.772194e+04 +3.763686e+06 +3.764709e+06 -1.547493e+00 +1.805065e+01 -4.207147e-01
+2.452213e+03 +1.736111e+01 -1.327420e+00 +8.660266e+04 +3.737385e+06 +3.738388e+06 -1.547628e+00 +1.735645e+01 -4.021836e-01
+2.568257e+03 +1.666667e+01 -1.320632e+00 +8.569465e+04 +3.717213e+06 +3.718201e+06 -1.547747e+00 +1.666224e+01 -3.841224e-01
+2.689793e+03 +1.597222e+01 -1.312875e+00 +8.487872e+04 +3.703581e+06 +3.704554e+06 -1.547882e+00 +1.596803e+01 -3.659555e-01
+2.817080e+03 +1.527778e+01 -1.304149e+00 +8.416427e+04 +3.696990e+06 +3.697948e+06 -1.548035e+00 +1.527382e+01 -3.477180e-01
+2.950391e+03 +1.458333e+01 -1.298331e+00 +8.381263e+04 +3.698046e+06 +3.698996e+06 -1.548136e+00 +1.457959e+01 -3.304323e-01
+3.090010e+03 +1.388889e+01 -1.290574e+00 +8.352497e+04 +3.707512e+06 +3.708453e+06 -1.548272e+00 +1.388537e+01 -3.128175e-01
