Freq Z_mod Z_Fase Err Eri E_mod E_fase R X
+5.794984e+01 +6.250000e+02 -7.572790e-01 +5.807758e+04 +4.393898e+06 +4.394282e+06 -1.557579e+00 +6.249454e+02 -8.260392e+00
+6.069215e+01 +6.090278e+02 -7.640664e-01 +5.741774e+04 +4.305384e+06 +4.305767e+06 -1.557461e+00 +6.089736e+02 -8.121433e+00
+6.356424e+01 +5.944444e+02 -7.718234e-01 +5.673854e+04 +4.211692e+06 +4.212074e+06 -1.557325e+00 +5.943905e+02 -8.007435e+00
+6.657224e+01 +5.805556e+02 -7.776411e-01 +5.588901e+04 +4.117591e+06 +4.117970e+06 -1.557224e+00 +5.805021e+02 -7.879289e+00
+6.972259e+01 +5.666667e+02 -7.844285e-01 +5.514881e+04 +4.027896e+06 +4.028274e+06 -1.557105e+00 +5.666136e+02 -7.757912e+00
+7.302202e+01 +5.527778e+02 -7.921856e-01 +5.451377e+04 +3.942523e+06 +3.942900e+06 -1.556970e+00 +5.527249e+02 -7.642598e+00
+7.647758e+01 +5.395833e+02 -7.980033e-01 +5.371499e+04 +3.856429e+06 +3.856803e+06 -1.556869e+00 +5.395310e+02 -7.514958e+00
+8.009667e+01 +5.263889e+02 -8.038211e-01 +5.295677e+04 +3.774472e+06 +3.774844e+06 -1.556767e+00 +5.263371e+02 -7.384638e+00
+8.388702e+01 +5.131944e+02 -8.096388e-01 +5.223934e+04 +3.696579e+06 +3.696949e+06 -1.556665e+00 +5.131432e+02 -7.251639e+00
+8.785674e+01 +5.000000e+02 -8.144870e-01 +5.150174e+04 +3.622690e+06 +3.623056e+06 -1.556581e+00 +4.999495e+02 -7.107500e+00
+9.201432e+01 +4.875000e+02 -8.203047e-01 +5.079580e+04 +3.547689e+06 +3.548053e+06 -1.556479e+00 +4.874500e+02 -6.979308e+00
+9.636864e+01 +4.750000e+02 -8.241833e-01 +5.001231e+04 +3.476529e+06 +3.476889e+06 -1.556412e+00 +4.749509e+02 -6.832502e+00
+1.009290e+02 +4.631944e+02 -8.290314e-01 +4.925768e+04 +3.404045e+06 +3.404401e+06 -1.556327e+00 +4.631460e+02 -6.701878e+00
+1.057052e+02 +4.513889e+02 -8.329099e-01 +4.848786e+04 +3.335239e+06 +3.335592e+06 -1.556259e+00 +4.513412e+02 -6.561618e+00
+1.107074e+02 +4.395833e+02 -8.367884e-01 +4.776170e+04 +3.270061e+06 +3.270410e+06 -1.556192e+00 +4.395365e+02 -6.419760e+00
+1.159463e+02 +4.277778e+02 -8.406669e-01 +4.707937e+04 +3.208471e+06 +3.208817e+06 -1.556124e+00 +4.277317e+02 -6.276304e+00
+1.214332e+02 +4.166667e+02 -8.435758e-01 +4.631054e+04 +3.145190e+06 +3.145531e+06 -1.556073e+00 +4.166215e+02 -6.134435e+00
